Feature.ID	WT.1.norm	WT.2.norm	WT.3.norm	GeneA.KO.1.norm	GeneA.KO.2.norm	GeneA.KO.3.norm	GeneB.KO.1.norm	GeneB.KO.2.norm	GeneB.KO.3.norm
ENSG00000224738	10.9148	4.6833	7.4049	8.3975	7.6534	5.5402	11.4494	9.7733	6.209
ENSG00000182628	1793.3014	1651.3365	1405.073	1766.264	1699.9082	1535.7301	1653.9159	1767.7524	1304.7678
ENSG00000252212	0	0	0.9256	0	0.8504	0	0	0	0
ENSG00000211514	0	0	0	0	0	1.108	0	0	0
ENSG00000207996	0	0.9367	0	0	0	0	0	0	0
ENSG00000068489	3727.4036	3663.2881	2452.8613	3463.4823	3552.0342	3139.05	3199.5831	3289.9496	2877.4077
ENSG00000266537	0	0	0	0	0	0	0	0	0
ENSG00000265303	0	0	0	0	0	0	0	0	0
ENSG00000265415	0	0	0.9256	0	0	0	0	0	0.887
ENSG00000167447	614.5031	634.1207	607.1989	484.253	507.6764	565.0955	459.0163	552.1936	549.9361
ENSG00000153982	309.9803	359.6785	370.2432	136.2253	135.2103	126.3155	120.739	109.95	137.484
ENSG00000207235	0	0	0.9256	0	0	0	0	0	0
ENSG00000271063	2.183	1.8733	0	0.9331	0	1.108	2.0817	1.2217	0
ENSG00000175155	44.7507	81.4897	85.1559	167.016	278.074	181.717	165.4957	240.6684	182.7207
ENSG00000278863	0	0	0	0	0	0	0	0	0.887
ENSG00000263857	0	0	0	0	0	0	0	0	0
ENSG00000266002	0	0	0	0	0	0	0	0	0
ENSG00000265313	0	0	0	0	0	0	0	0	0
ENSG00000200889	0	0	0	0	0	0	0	0	0
ENSG00000108406	1846.7839	1881.7555	1816.043	2033.1164	1891.2435	2060.9365	1937.028	1776.304	2040.0856
ENSG00000273702	17.4637	16.8599	9.2561	24.2593	17.858	21.0526	22.8988	21.99	14.1919
ENSG00000141367	21630.9474	20913.8062	20277.2952	21476.0161	18845.2549	20351.1938	21078.3203	20679.1599	19314.2886
ENSG00000141378	950.6789	1108.0721	1078.3334	858.4062	1078.2809	821.0505	836.8461	1009.0971	782.3285
