transcript_id	gene_id	transcript_biotype	gene_name
ENSRNOT00000074888	ENSRNOG00000047782	protein_coding	RGD1309808
ENSRNOT00000092095	ENSRNOG00000047782	protein_coding	RGD1309808
ENSRNOT00000025564	ENSRNOG00000018895	protein_coding	Mchr1
ENSRNOT00000005679	ENSRNOG00000004229	protein_coding	Tac3
ENSRNOT00000005694	ENSRNOG00000004312	protein_coding	Tmbim4
ENSRNOT00000115970	ENSRNOG00000004312	protein_coding	Tmbim4
ENSRNOT00000012017	ENSRNOG00000008885	protein_coding	Chst11
ENSRNOT00000094578	ENSRNOG00000004306	protein_coding	Zbtb39
ENSRNOT00000070937	ENSRNOG00000049407	protein_coding	Shisa8
ENSRNOT00000120226	ENSRNOG00000049407	protein_coding	Shisa8
ENSRNOT00000005794	ENSRNOG00000004316	protein_coding	Llph-ps1
ENSRNOT00000011572	ENSRNOG00000008713	protein_coding	Slc41a2
ENSRNOT00000005995	ENSRNOG00000004517	protein_coding	Igf1
ENSRNOT00000118307	ENSRNOG00000004517	protein_coding	Igf1
ENSRNOT00000085680	ENSRNOG00000004517	protein_coding	Igf1
ENSRNOT00000038780	ENSRNOG00000004517	protein_coding	Igf1
ENSRNOT00000005685	ENSRNOG00000004311	protein_coding	Gpr182
ENSRNOT00000005693	ENSRNOG00000004311	protein_coding	Gpr182
ENSRNOT00000107610	ENSRNOG00000004311	protein_coding	Gpr182
ENSRNOT00000009776	ENSRNOG00000007365	protein_coding	Il22
ENSRNOT00000018031	ENSRNOG00000012812	protein_coding	Sharpin
ENSRNOT00000113856	ENSRNOG00000009585	protein_coding	Tcf20
ENSRNOT00000012699	ENSRNOG00000009585	protein_coding	Tcf20
ENSRNOT00000110190	ENSRNOG00000009585	protein_coding	Tcf20
ENSRNOT00000026220	ENSRNOG00000019377	protein_coding	Amh
ENSRNOT00000009532	ENSRNOG00000007230	protein_coding	Kank3
ENSRNOT00000120241	ENSRNOG00000007230	protein_coding	Kank3
ENSRNOT00000098702	ENSRNOG00000022778	protein_coding	Pphln1
ENSRNOT00000090908	ENSRNOG00000022778	protein_coding	Pphln1
ENSRNOT00000055688	ENSRNOG00000022778	protein_coding	Pphln1
ENSRNOT00000102144	ENSRNOG00000022778	protein_coding	Pphln1
ENSRNOT00000115812	ENSRNOG00000022778	protein_coding	Pphln1
ENSRNOT00000010720	ENSRNOG00000007834	protein_coding	Cand1
ENSRNOT00000111987	ENSRNOG00000007834	protein_coding	Cand1
ENSRNOT00000037218	ENSRNOG00000029651	protein_coding	Rdh16
ENSRNOT00000051075	ENSRNOG00000029651	protein_coding	Rdh16
ENSRNOT00000077912	ENSRNOG00000029651	protein_coding	Rdh16
ENSRNOT00000097465	ENSRNOG00000029651	protein_coding	Rdh16
ENSRNOT00000075248	ENSRNOG00000070111	protein_coding	Apol2
ENSRNOT00000074293	ENSRNOG00000070111	protein_coding	Apol2
ENSRNOT00000082524	ENSRNOG00000022877	protein_coding	Poldip3
ENSRNOT00000055988	ENSRNOG00000022877	protein_coding	Poldip3
ENSRNOT00000026202	ENSRNOG00000019349	protein_coding	Sf3a2
ENSRNOT00000114856	ENSRNOG00000019349	protein_coding	Sf3a2
ENSRNOT00000031871	ENSRNOG00000026793	protein_coding	Nt5dc3
ENSRNOT00000018240	ENSRNOG00000013514	protein_coding	Maf1
ENSRNOT00000098036	ENSRNOG00000013514	protein_coding	Maf1
ENSRNOT00000039228	ENSRNOG00000022296	protein_coding	Pnpla5
ENSRNOT00000103466	ENSRNOG00000022296	protein_coding	Pnpla5
ENSRNOT00000072176	ENSRNOG00000046214	protein_coding	Cyp27b1
ENSRNOT00000086559	ENSRNOG00000056446	protein_coding	Endou
ENSRNOT00000093791	ENSRNOG00000053510	protein_coding	Hcfc2
ENSRNOT00000086905	ENSRNOG00000053510	protein_coding	Hcfc2
ENSRNOT00000086116	ENSRNOG00000006304	protein_coding	Mdm2
ENSRNOT00000096862	ENSRNOG00000006304	protein_coding	Mdm2
ENSRNOT00000066767	ENSRNOG00000006304	protein_coding	Mdm2
ENSRNOT00000102407	ENSRNOG00000006304	protein_coding	Mdm2
ENSRNOT00000013994	ENSRNOG00000010539	protein_coding	Mcat
ENSRNOT00000004703	ENSRNOG00000016156	protein_coding	Nptxr
ENSRNOT00000051467	ENSRNOG00000032546	protein_coding	Dot1l
ENSRNOT00000118608	ENSRNOG00000032546	protein_coding	Dot1l
ENSRNOT00000116154	ENSRNOG00000032546	protein_coding	Dot1l
ENSRNOT00000037030	ENSRNOG00000024967	protein_coding	Uqcrb
ENSRNOT00000118483	ENSRNOG00000024967	protein_coding	Uqcrb
ENSRNOT00000035216	ENSRNOG00000025046	protein_coding	AABR07058366.1
ENSRNOT00000018365	ENSRNOG00000013593	protein_coding	Upk3a
ENSRNOT00000006185	ENSRNOG00000004492	protein_coding	Mterf3
ENSRNOT00000085280	ENSRNOG00000054624	protein_coding	AC096792.1
ENSRNOT00000101445	ENSRNOG00000046955	protein_coding	Cbx6
ENSRNOT00000068033	ENSRNOG00000046955	protein_coding	Cbx6
ENSRNOT00000109862	ENSRNOG00000046955	protein_coding	Cbx6
ENSRNOT00000005844	ENSRNOG00000004302	protein_coding	Pah
ENSRNOT00000100186	ENSRNOG00000004302	protein_coding	Pah
ENSRNOT00000118112	ENSRNOG00000004302	protein_coding	Pah
ENSRNOT00000055978	ENSRNOG00000010141	protein_coding	Ttll1
ENSRNOT00000110361	ENSRNOG00000010141	protein_coding	Ttll1
ENSRNOT00000083959	ENSRNOG00000052289	protein_coding	Ptdss1
ENSRNOT00000087143	ENSRNOG00000052289	protein_coding	Ptdss1
ENSRNOT00000078383	ENSRNOG00000055408	protein_coding	Gcat
ENSRNOT00000109213	ENSRNOG00000025742	protein_coding	Lmnb2
ENSRNOT00000022336	ENSRNOG00000025742	protein_coding	Lmnb2
ENSRNOT00000094689	ENSRNOG00000025742	protein_coding	Lmnb2
ENSRNOT00000114820	ENSRNOG00000025742	protein_coding	Lmnb2
ENSRNOT00000010106	ENSRNOG00000007601	protein_coding	Inhbe
ENSRNOT00000009203	ENSRNOG00000006541	protein_coding	Nup107
ENSRNOT00000106167	ENSRNOG00000006541	protein_coding	Nup107
ENSRNOT00000067483	ENSRNOG00000005614	protein_coding	Txn2
