Group.A.vs.Group.A	Group.B.vs.Group.A	Group.B.vs.Group.B	Group.C.vs.Group.A	Group.C.vs.Group.B	Group.C.vs.Group.C	Group.D.vs.Group.A	Group.D.vs.Group.B	Group.D.vs.Group.C	Group.D.vs.Group.D	Group.E.vs.Group.A	Group.E.vs.Group.B	Group.E.vs.Group.C	Group.E.vs.Group.D	Group.E.vs.Group.E	Group.F.vs.Group.A	Group.F.vs.Group.B	Group.F.vs.Group.C	Group.F.vs.Group.D	Group.F.vs.Group.E	Group.F.vs.Group.F
0	54.7891554119974	0	46.4597804076816	74.5289174745615	0	91.1299008416008	96.3993483836898	48.2336784789425	0	31.2695643738268	24.8564349513139	62.5874420361377	96.0952100585294	0	48.2749216041663	62.3933119602446	16.7336859923449	43.1240523840745	55.353670147264	0
3.63359018052394	55.4789141051805	1.32789986444762	46.0116292267509	73.5793941302862	0.984659722950016	90.019735939626	95.9164565611136	46.9548461810919	1.35910483775167	34.9536803763567	26.0345130289103	69.55182660867	103.423684695395	7.3638210262336	24.5453156162821	54.024772640585	24.6421586439764	66.6348523830803	38.5142952823208	23.7375244251649
15.3550197094924	54.9026328462488	1.28891038090319	49.136269477037	76.2936635586469	2.67876595655537	87.5830202252126	94.3917801485384	44.3773359889933	3.90607771684077	38.9804363631309	21.573345627883	71.2517729503351	103.179903425755	8.84857600026129	38.9724044332512	53.6086637720891	21.3143763397126	53.4047194555397	44.8257102435154	10.6645896237267
17.0355133083098	55.0816983361987	0.743785264710186	46.0460486501285	75.6103945174868	1.92541923746492	86.466391677923	93.0099928691536	43.5320447207571	4.73080083706765	33.5684344025753	27.0488615220678	68.5650218747869	102.910301662953	6.83617306896922	78.1894273644359	84.657816414897	36.6922317459214	13.1306717498535	83.1930803670143	30.048562543383
19.2166312565444	54.4043135208965	0.587148941921894	45.574134284482	74.5888194899209	1.26699416336461	83.4547169727392	90.640801910398	40.6186331986934	7.72863302272789	47.4518120135997	20.8636963413007	79.8700476492208	110.113276193547	17.7689510936415	71.8858571337673	77.4020172094785	32.6998076981257	20.2312774722804	75.9013157670702	23.612501128631
18.4644974820762	55.5067408493779	1.08496034950592	36.041872837576	73.6995494461126	13.5691250289029	87.430029499366	93.674192766311	44.5169628619249	3.74490960371542	45.9152491640849	32.8160651803351	84.1102310272062	118.154133327616	22.2632046476894	83.9036266200693	86.6339361647617	43.515187028094	9.84222133666989	87.0213948804827	35.6295708505225
3.63359018052394	64.9041743653673	19.9788658249161	45.7348426310838	75.7711661467606	0.984659722950016	91.3517920535771	97.7128256005833	48.1762551689107	1.35910483775167	45.3239972811313	31.8497098526815	83.1765766107863	117.070441108334	21.2212180797168	71.4270387577254	81.5661141419499	29.2093032303682	19.7484656261088	78.2056815848113	23.7363089989071
0	64.280878890149	19.2056941777693	45.3561543883518	74.8232917183547	0	90.2111550978037	97.2323827514784	46.9072083895429	0	49.0278677756396	24.8451893988675	83.2839567043473	114.328982570447	20.7710712190994	78.2307716660625	84.9294387419792	36.58584374183	13.0264370823184	83.3741593595288	30.1194269950542
17.7827832282492	65.3851378372792	20.698777441192	48.4120714768538	77.5478814929847	3.22339762672866	87.7414594435835	95.7112689645269	44.3339977607479	2.58322032548523	49.8032120502909	23.3275069499988	83.2310949827397	113.639578841137	20.8962680789006	71.2759455862523	81.1655478205772	29.2542451400203	19.8721129736724	77.8932374018599	23.5112334248036
15.5115058852969	73.9002284651408	19.4569705730363	45.1770686580039	76.8424705828749	2.74415437794596	86.6597200902472	94.3294432139298	43.4644486239041	3.55344324845635	56.5438932272478	24.7254183004939	89.3645612707431	118.276192987593	27.3983975710716	86.2881797870948	88.8830933499167	45.5321605342861	7.85236858597455	89.453809779589	38.0136889974441
17.513217421422	75.0255073090479	20.4447266770676	44.7813825452051	75.8229924461571	1.82321079417604	83.6455405541742	91.963000245153	40.533773598075	6.56676779245315	48.5233495970352	17.6774902403056	79.1623326654167	108.205791363624	17.9521252159626	46.3235183696457	62.2231023333207	15.3141859209329	44.9289949872785	54.3264198785453	2.19982410890053
16.8212922529038	74.3153276306443	19.5762674197611	34.6088584180409	74.8367022785612	13.7158607815915	87.631469566703	94.9924401360972	44.4506433901693	2.59684633738695	50.2186872651018	13.5641409042409	78.4556793699226	105.839502782648	19.0502697986774	82.3653810386985	87.3713967127114	40.90968511563	9.35410056445835	86.74137269779	34.1610273093536
15.3550197094924	58.3782059131659	1.32789986444762	38.6262906970227	73.8150295786705	2.67876595655537	78.9906734748534	95.24833558887	45.9118474034753	3.90607771684077	60.6407299292019	31.449371489211	95.450580512768	125.157415258108	33.0174976043385	80.7206775258979	86.4691230923501	39.1417562463669	10.7178249901741	85.4441862199465	32.5553555755178
17.7827832282492	59.0785326680513	0	37.9296399477361	72.8618148679403	3.22339762672866	77.9753690102901	94.7732641854759	44.6204008556624	2.58322032548523	45.2079674888409	29.0252015330144	81.8216531301226	114.93415325213	19.4585188643329	68.9179385529225	75.070567399377	30.3027506924107	23.1192016609657	73.0937148926917	20.6487162763209
0	58.4778904223639	2.49515405937189	41.1481828716032	75.5510402912495	0	75.6545959895557	93.2620221368806	42.0389516007476	0	53.3591088436417	29.9467925485785	89.2125509281828	120.64390465662	26.6251942658622	75.7595545192922	85.0300275189982	33.1076029967076	15.4597419127746	82.2917173153951	28.0478948769351
