PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73
Group.B.5	35.1352	15.7157	15.7576	-20.1715	3.39531	14.9846	1.16545	-2.22818	2.20012	0.236493	1.9909	2.43253	2.81317	2.31197	0.158268	1.41254	-0.625251	1.15173	0.886204	-0.700279	0.577907	-2.00415	-0.166511	0.0538594	-0.851619	0.445287	-0.107234	0.319344	-0.363191	-0.597942	0.148465	-0.298151	0.73768	-1.84538	0.565283	-0.449229	-0.428944	0.155132	0.150737	0.462706	0.010381	-0.655311	0.255246	-1.39007	0.716045	1.38692	-0.481281	3.09574	1.89704	-2.33455	-0.454995	-0.135255	-0.879355	-1.70461	2.94175	0.351484	-2.88707	2.80716	-0.0601203	1.1315	-0.0303092	2.54447	-2.05627	1.53079	0.379332	-2.41875	0.76375	-0.553145	-0.175713	-0.270345	-0.705223	0.0912797	1.04E-14
Group.B.6	35.889	16.5989	15.9479	-18.8344	1.56404	14.6724	2.73685	-1.8959	1.88116	-0.982083	0.737103	1.92547	2.0948	1.71995	-0.270496	0.337305	0.0404154	0.223688	2.16339	-0.943795	0.540944	-1.99214	1.57276	1.06455	-0.0312587	-1.51067	0.110469	0.185576	1.45683	-1.50687	-0.300213	-0.413692	0.987369	-0.0697662	0.0077021	-0.607763	-0.18094	-0.649851	1.25111	0.217745	-0.00564171	-1.44238	1.7479	2.15273	-1.12843	0.216093	-1.79142	1.29046	0.951018	1.50135	0.723911	-2.33495	1.097	-1.71566	0.191287	-0.378945	2.72634	1.08042	-1.74384	1.52942	1.19078	0.627084	-0.802406	-1.69665	0.860528	2.96192	-2.61385	0.140522	0.607872	-1.51607	0.0587616	-0.141916	8.44E-15
Group.B.7	54.8447	16.3189	-5.10703	18.2854	-8.14578	-2.81128	10.0525	15.7122	-1.82342	-8.96863	-4.07284	2.29162	10.7767	0.228486	1.65558	-2.7296	1.08956	1.30397	0.319505	2.30344	0.739628	2.48598	1.12575	0.242271	-0.24654	-0.608606	-1.98349	-0.905032	-0.0282342	-0.130613	0.177772	0.0342438	0.322607	-0.143933	0.301178	-0.469651	-0.21695	0.279795	-0.829033	0.209456	0.961306	-0.111393	-0.840052	1.9506	-2.28243	-1.03066	-0.680621	-0.833217	-0.633373	-0.413652	1.07389	-2.40992	1.26881	-0.294427	2.12286	0.806136	-2.63469	2.05039	-0.306489	0.797534	1.18639	-1.88546	2.47061	-0.181974	1.8437	0.159893	0.542741	-1.00202	1.29349	1.46924	0.449407	0.084622	2.29E-14
Group.B.8	54.0714	16.1312	-4.94141	18.7736	-7.94658	-3.84631	10.0482	16.7183	-1.3955	-8.08215	-2.58101	2.84106	10.166	0.12532	0.936268	-2.60437	0.63639	0.67224	1.38122	1.86846	-0.0707	1.18337	2.14057	-0.748244	0.615544	0.237909	0.404854	-0.816462	0.989432	-0.463978	-0.533478	-0.00173048	0.483665	1.24521	-0.207201	0.476045	-0.957145	-0.0280985	-0.255488	-0.910709	-0.442959	-0.999967	1.04226	-1.23778	1.09254	2.5322	-0.444429	0.720487	1.91324	-0.23104	-1.02739	-0.772381	1.15578	-2.31078	-1.41115	0.333415	-0.712889	0.0769915	1.90644	-1.69046	-2.076	-0.100487	0.495288	-1.05796	-2.39587	0.0943382	0.258986	1.4412	-1.49977	-2.23512	-0.286796	-0.137014	1.22E-14
Group.B.9	55.5644	16.3625	-4.69663	18.7149	-8.13511	-4.73523	10.3799	16.0882	-2.02282	-9.47909	-2.25067	2.37205	10.7482	0.359613	0.927766	-2.28314	1.18607	1.74098	0.198044	1.87549	-1.23332	2.85095	1.9294	-0.0372273	0.357896	0.690124	1.09619	-1.45287	0.290997	-0.821011	-1.35938	0.477106	0.230969	-1.10741	0.155038	-0.420508	0.813832	-0.625617	1.16057	0.25937	0.711026	1.1408	-0.0130018	-0.343984	1.66952	-1.29024	0.94472	0.715698	-0.573364	-0.716951	-0.812271	3.22289	-2.24372	1.27982	0.621966	-1.06579	3.11489	-2.71629	-1.52647	1.68903	1.38108	0.964196	-2.89866	0.153074	0.348953	-0.146499	0.545887	-0.292274	0.249377	0.415708	-0.236274	0.00128171	2.66E-15
Group.B.10	45.7778	32.3467	11.698	12.1514	6.13569	-23.03	-1.84592	-4.40359	5.08877	10.0886	-2.62479	-4.95937	-5.32256	-5.57807	-1.89326	2.78203	0.0990596	-4.33628	-0.56598	-0.600679	-0.499395	0.123053	0.0962311	-1.25845	-0.732059	-0.562366	-0.712301	-0.530639	-0.876539	0.466089	0.720293	-0.5942	-0.761635	-0.715952	-0.194926	-0.0789519	-0.101539	-0.827262	0.433007	-0.720138	-0.426971	0.249502	-0.753501	-0.516578	0.574279	0.137086	0.897451	1.56127	1.05601	-1.92076	-0.429738	-1.27836	-0.23387	-1.0056	-1.08744	1.07954	0.215249	0.474685	-0.185386	0.585307	-2.40115	-0.429328	-1.73236	-2.98697	-1.28022	0.167796	-0.445949	-2.35762	0.609652	1.96726	0.928298	-0.0558469	6.44E-15
Group.B.11	45.4311	33.7408	10.8619	12.1611	6.69391	-21.6564	-1.6755	-4.23243	5.15826	9.68924	-3.19296	-5.74879	-5.33331	-5.19264	-0.698061	2.46145	-0.482816	-3.47233	-0.973037	0.126303	1.08331	-0.245781	-0.652091	0.157922	-0.124593	-1.3023	-0.161837	1.07136	-0.899369	-0.0404926	1.20462	-0.274036	-0.0910337	-1.04535	-0.167463	-1.43026	0.120104	0.43846	-0.310951	0.383762	0.947408	0.681063	-1.4352	0.500422	0.137211	1.67249	0.397679	-1.12693	-0.772011	-2.24374	-0.182759	-0.241986	-1.74139	0.781955	-0.408755	1.50299	-0.0258537	1.7371	-0.757931	0.55011	1.62078	-1.05544	-0.497063	1.21178	0.782802	0.9189	0.773293	3.95636	0.459865	-1.06203	-0.480057	-0.0131917	1.21E-14
Group.B.12	43.54	33.7872	10.7118	11.8241	5.91064	-23.2941	-1.2444	-4.10475	5.75681	8.06934	-3.7945	-3.93534	-6.28133	-4.75179	-0.858758	3.15014	-0.101583	-4.41603	-0.508023	-2.16693	-0.0302447	-2.54382	-0.172091	0.332477	-0.076328	-0.44468	0.620156	0.216935	-0.267841	-1.0883	0.44777	-0.734751	-0.260159	0.433805	-1.05379	0.793619	-0.242629	-0.162641	1.14709	0.55775	-0.113976	-1.13498	1.22936	0.286977	-0.844317	-1.2594	-1.62696	1.23561	0.204682	2.88983	-0.350952	0.922307	1.56938	-0.754473	2.8397	-2.51509	0.148772	-2.44899	0.784766	-0.00184482	1.73306	0.562102	2.23469	0.622654	0.236498	-0.874128	0.781752	-1.53321	-1.1512	-1.38128	-0.586945	-0.0614324	3.44E-15
Group.C.1	-29.6463	-21.0817	-7.36477	11.0009	0.251191	6.37725	-4.40016	-3.8852	13.3456	2.78456	-4.15873	0.679967	0.740422	-0.437797	-1.79471	-1.09508	-1.45868	2.9726	-0.0101043	0.837641	-0.913811	-0.00691678	0.649799	-0.952201	0.238487	-0.685221	-0.187097	-0.337615	-0.621863	-0.133321	-1.48911	-2.4551	-0.0549815	-0.175831	2.66021	-1.58411	-0.0776712	-1.36449	-0.895109	-0.944088	-1.67369	1.85531	-2.27144	0.83944	1.90892	-6.42867	2.51282	2.09942	-2.25311	-0.606618	-2.89076	-1.02975	3.24089	-1.09302	-0.356108	1.06793	-1.15481	-0.15478	-0.956412	1.69886	-0.0248325	0.892101	0.180026	-0.251986	-0.0804088	0.342991	0.29396	0.816198	-1.01718	-0.794552	0.115433	0.0282879	4.00E-15
Group.C.2	-28.9537	-20.3818	-8.69114	8.61117	1.43183	6.38111	-4.84264	-1.14791	14.0876	1.45053	-5.72111	1.93293	0.884267	-0.333396	-2.05512	0.901654	-1.43348	3.23913	-0.142397	-1.29189	0.518476	-0.432564	2.73337	-0.896016	2.00435	-0.75779	0.949432	0.53973	-4.15795	-4.10878	-0.412077	-5.03457	1.19944	3.1206	-1.56776	-3.89437	-0.0940635	-0.0506487	-2.64389	-3.00422	-4.81649	4.55276	3.08404	-1.08469	1.63193	2.21306	-1.65799	-0.257575	2.06086	-0.378968	1.82157	-0.261526	-1.53988	-0.290083	0.289514	-0.904516	0.902684	0.332279	-0.743829	0.0881188	0.769772	-1.47704	0.476712	-0.173606	0.211224	-0.379939	0.561987	-0.48825	0.2791	0.149848	-0.283346	-0.0626125	7.22E-15
