PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73
Group.E.1	31.6448	-8.40933	-4.53551	-7.31418	28.6328	1.40437	1.93267	-1.08227	0.344707	1.37137	-10.0567	-3.04754	0.534405	8.09459	7.93357	-5.88776	-0.390965	-8.37965	-0.136248	3.42551	-1.17304	4.27925	-1.49679	2.44834	-1.09326	-0.0587586	-3.04816	0.0497089	1.00548	-5.01739	-0.0249308	-0.853109	-1.44961	2.98289	0.787851	2.42372	-0.759052	3.0571	1.31096	-2.87851	-0.25188	1.95473	1.91015	1.53698	-2.97603	0.999962	0.333862	0.913744	-4.59696	-0.773301	-0.651852	0.700453	0.181079	-0.00627758	0.887213	-0.271905	0.43767	0.470802	-0.742487	-1.51691	-1.22348	0.244925	-0.62561	0.15872	-0.207848	-0.192722	-0.138363	-0.023231	-0.196256	0.0282001	-0.187425	0.112601	6.22E-15
Group.E.2	38.9307	-9.47775	-6.58197	-5.58311	23.1678	-1.6657	-0.317106	-0.698766	-3.41309	-0.0220167	-11.2102	-1.23727	2.27717	6.98414	0.133089	-5.25074	-6.25673	-4.82089	-3.15908	-1.86352	-3.44822	1.70061	-1.11219	-2.28417	-2.89029	3.62939	1.71975	-0.522514	2.03866	1.90754	0.814596	-1.44692	-1.20744	0.791429	0.679499	-1.10659	2.7457	1.90437	-1.07813	2.27398	1.48033	-0.661901	-1.37275	-1.0532	1.09182	-0.520396	-0.276986	-2.98691	3.86385	2.31161	-0.913547	-0.230068	1.49992	0.064673	-2.24346	-1.89676	0.00810792	1.8403	-2.24462	0.714268	1.08579	0.164172	-0.256094	0.0765063	-0.923493	-0.55097	1.11158	-0.159188	0.115717	0.133969	0.450424	-0.14149	6.44E-15
Group.E.3	39.7164	-4.78351	-8.01143	1.50742	6.0212	-3.71431	-0.520306	-9.13034	-10.9849	-7.76664	-9.62539	5.26789	2.04755	-3.15603	-0.104272	-1.6804	-7.53277	3.50359	2.49098	3.29477	-4.32197	-4.23059	-0.801474	-5.13355	-2.58183	0.859022	3.0999	4.32714	1.65914	2.3555	3.11839	-3.60396	-3.55947	0.349033	-0.395321	-2.55995	2.88014	0.81373	-1.11747	2.18466	0.365879	1.60769	-1.0458	0.224721	-1.47822	0.134193	-0.494084	2.69193	0.73179	-1.66111	0.304789	-0.509068	-1.02645	1.79	0.418445	1.10538	-0.0561539	-1.71568	1.26025	-1.21759	-1.1845	0.290889	0.440348	0.362837	1.78	0.699054	-1.45142	-0.275944	-0.815875	-0.20823	-0.234679	-0.0438096	9.99E-15
Group.E.4	38.1152	-10.6155	-3.79143	-4.28489	31.1638	-1.24247	-1.74428	1.88358	2.04032	2.04932	-9.82652	-0.245194	3.23178	6.28344	-1.39828	-4.67752	1.35383	-3.07976	-4.86947	-3.58524	-5.12832	1.53614	-2.44515	-1.51101	2.84643	-2.74451	-1.45039	-1.36989	-3.41843	1.93549	-3.43715	5.35757	3.15834	-2.98688	0.336775	0.741252	-1.15909	-1.99986	0.190663	-0.943968	-1.4679	-1.49081	1.86358	-1.97857	1.3289	-1.28907	0.97778	-0.263522	1.69352	-0.140478	1.93218	0.527087	-1.04012	0.0282597	-0.210714	1.90035	-0.379781	-1.35898	2.69534	0.976904	-0.0147709	0.0546642	0.873115	0.25333	1.33774	0.264476	-1.33348	0.340941	0.0336467	0.0313551	0.0183138	0.259611	1.11E-14
Group.E.5	47.4921	-0.371998	-2.98447	-0.43779	3.28662	-2.40591	1.38074	-11.3463	-6.5799	-4.16539	-9.65773	6.47545	0.516385	-7.08455	-1.07128	-1.88567	-2.7354	7.52658	0.150694	2.28664	-4.78793	-5.2529	-0.34873	0.690405	4.09198	-4.59381	3.53324	-0.364512	-2.04428	3.47566	-2.91096	-0.569147	2.52407	-3.92031	-2.52974	0.273678	-2.10568	0.132631	-0.567165	0.67298	0.482585	-1.27729	0.608722	0.588853	2.22703	0.913927	-1.019	-1.25435	-5.02364	1.33575	1.4122	-0.500146	0.208877	-0.775739	-0.271471	-1.20094	0.136941	1.21598	-1.60826	-0.818779	-0.489122	0.385597	-0.0573176	0.129387	-1.52154	-0.663853	0.0870423	-0.0285813	0.241543	0.603942	-0.406257	-0.136333	1.80E-14
Group.E.6	53.8036	-10.5629	-15.4438	14.6547	1.15055	14.6896	10.4235	2.48839	-4.93901	5.96443	2.27201	4.65032	-5.21543	2.98933	-3.18721	4.32376	2.60629	-6.94092	-1.9542	-7.56142	2.94141	2.40159	-0.222538	0.138192	0.758431	2.48777	0.760664	-1.09188	1.11308	-0.502432	2.11384	0.108295	0.866198	1.13468	-1.898	-3.05018	1.96198	-3.11838	0.370406	1.76221	-1.11263	-0.161839	-0.663345	-1.19381	-0.168646	-0.499657	-1.16555	1.10093	-1.6986	-0.563723	-0.477281	-0.924639	0.154431	0.490075	-0.204851	-0.309182	-0.50717	0.0929018	0.819514	-0.668354	0.723556	1.16197	0.544873	1.25723	-2.21711	1.37225	-0.986794	0.136168	0.748938	1.64173	-2.20649	-0.352287	9.99E-16
Group.E.7	52.7999	-10.0832	-14.1191	13.8123	0.0982254	16.6371	12.6805	-0.735492	-3.70668	6.04852	3.09496	5.92164	-6.79202	0.713362	-3.47953	4.47238	1.93512	-5.9903	-2.58653	-3.89238	3.76759	1.55716	-0.649815	2.00612	0.508039	2.33835	0.328278	-1.27684	0.0538862	1.77839	0.533244	0.964481	-0.694426	0.0820632	-0.332635	-1.50554	1.01661	-2.99428	0.181516	0.34554	-0.44934	-0.9625	-1.18415	0.690099	1.79576	0.541313	0.087487	-1.05839	-1.50079	0.429793	1.14189	-0.515642	-1.08498	-0.0444734	0.640965	-0.388725	0.151522	0.0965075	-2.06029	-1.07762	-2.00217	-0.942306	-0.492527	-0.509934	2.62287	-1.47752	-0.0655822	-0.219346	-1.44163	-1.55066	1.96451	0.0764741	7.99E-15
Group.E.8	51.4778	-2.23766	-6.25432	13.1839	-7.54441	11.885	10.4685	-10.7923	-10.9446	4.99415	-3.27091	7.27839	-5.62556	-4.90644	-1.31252	1.05714	-1.64591	2.47295	-0.0412152	-0.443852	0.346624	-1.35617	0.219127	-0.236485	0.253119	-1.88523	-2.68083	1.72501	0.339504	-1.30544	0.347143	0.443794	0.745348	1.42561	1.12926	1.28155	-1.82339	1.93709	0.476496	-1.3644	-0.762336	1.05258	1.1339	0.161987	-1.55155	-0.997219	0.513214	0.0082827	1.56078	-0.577707	-0.249314	0.916068	0.553504	0.60337	-0.222024	0.64237	0.509556	0.0506169	1.57695	-0.238625	1.65125	1.3218	-0.00463129	1.49489	-1.85581	-0.107047	0.0882832	0.0410152	1.90917	-0.580541	3.22525	0.557307	6.61E-15
Group.E.9	51.0226	-0.589171	-4.64405	11.4248	-8.45612	14.0809	12.1058	-13.5501	-8.13307	4.97469	-2.14472	6.0798	-7.74509	-5.19318	-2.07479	1.40009	-0.97353	4.52391	-1.31977	2.46098	1.81203	-0.739947	-0.483828	1.72221	-0.898713	-1.00287	-2.5365	0.732245	0.22695	-1.14551	-1.12219	1.99955	-0.00351996	1.39174	2.82249	3.14496	-1.60786	2.71163	0.475774	-1.54723	0.330985	0.962139	0.319799	0.174587	-1.5101	-0.190955	1.58461	-1.99476	2.59914	0.819559	0.194646	1.46276	0.963351	-0.397036	-1.12346	-0.0207759	-0.190736	0.0314727	-0.0702573	1.21661	-0.618476	-0.666846	-0.459626	-1.19977	1.49577	-0.21575	0.171749	0.212602	-1.17762	0.913069	-2.87185	-0.234759	6.22E-15
Group.E.10	56.2014	3.74162	-21.2247	-9.85676	-23.416	-4.11628	1.36123	-0.38696	10.4867	-5.82664	8.64328	-6.29787	-4.69458	2.52944	1.26045	-3.22831	4.26915	-1.88092	0.507484	-7.22649	-7.90966	1.02148	-0.321263	3.21113	8.70232	-4.70579	2.83139	4.59972	2.4035	0.405617	0.352448	0.1553	-0.707541	-1.56397	0.69792	-2.44146	1.71985	3.1685	0.118247	-0.956258	1.91741	0.613582	2.91247	-2.36591	-1.90105	-0.738639	2.51721	-0.0325815	0.819153	-0.135454	-0.655325	-1.57675	0.675579	1.20649	-0.126821	-0.72062	-0.128193	0.0817807	-0.689237	-0.647917	-0.569177	-0.230926	-0.150752	0.317167	0.30331	-0.375288	-0.140171	0.0481548	-0.225821	0.129637	0.0899506	0.012437	5.33E-15
Group.E.11	45.936	2.45531	-25.1762	-13.3634	-18.6825	1.78065	-0.223928	-1.86759	11.6643	-6.73586	7.37971	-4.91011	-4.19363	-2.94016	7.74905	-5.89808	-1.27383	-7.35364	-3.97929	0.76643	-1.98581	0.843008	-2.04743	0.836608	-2.29721	0.672785	1.69877	-0.717602	-1.35728	1.38027	0.930593	-1.94343	1.36173	-0.0451944	-0.231729	0.775001	-1.15226	-0.716736	-2.93356	0.464349	-0.47453	-0.148093	-2.40077	4.92627	0.54126	-0.306705	-2.20408	-0.669828	0.909348	-2.16374	3.71376	2.60325	2.0128	-1.57212	-0.835999	1.14458	1.21753	-0.602022	0.700882	-0.0545529	-0.218772	0.972158	0.0125282	0.52962	-0.173245	-0.284882	0.156095	-0.0403732	-0.00213904	0.21451	-0.210409	0.15491	5.30E-15
Group.E.12	43.9323	6.14849	-23.5268	-9.13343	-25.4369	-2.30558	-6.25141	-9.2762	6.74724	-7.83698	4.31003	-2.74572	-1.2917	-6.03957	2.95677	-8.22256	-4.7152	-1.77439	-0.00783055	1.93068	-1.25362	-0.850794	-2.5289	-8.39148	-6.74228	0.45981	-8.12063	-0.819881	0.302906	-3.06328	-1.57703	3.07245	1.06643	1.34851	-0.280033	0.484349	1.35771	-3.28502	1.97469	0.317166	-2.06526	-0.907751	0.648657	-2.39219	1.12219	0.692329	0.97821	-0.505311	-1.13555	1.94228	-1.02983	-1.35171	-1.76984	0.76472	0.234915	-0.620299	-0.687109	0.458888	-0.632199	-0.123092	0.166047	-0.164618	0.124766	0.272242	-0.0824644	0.0820624	-0.401407	0.0183064	-0.0268043	-0.0440149	0.0381978	-0.134264	4.72E-15
Group.E.13	62.9505	2.08392	-18.627	-4.29892	0.348135	-9.38952	-5.14361	-1.53906	2.00887	3.67204	5.63128	-6.97207	1.27268	8.58754	-10.0752	-0.0831746	3.41579	9.29862	2.58317	3.69324	1.97929	4.7752	-5.71174	5.05903	-0.501153	-5.06353	-1.51148	0.143872	3.22397	1.14431	2.04358	-1.69104	0.135309	4.06033	-1.32054	-1.48615	-0.241709	1.72029	1.70639	2.65573	-0.694925	1.57823	-0.916898	0.412626	2.51039	-0.084333	-2.44087	-1.11962	-0.893805	2.08844	-1.15118	2.14626	-1.26065	-0.856567	-0.363075	0.914359	-1.05214	0.654411	1.58451	0.552533	-0.116126	0.521771	-0.127938	-0.361808	0.413385	0.0228789	-0.86546	-0.296592	-0.020522	0.0493893	0.315569	0.208808	9.55E-15
Group.E.14	51.0946	-7.82689	-24.6014	-3.6554	8.29348	0.132038	-2.37793	7.63192	3.81129	-0.0361097	11.6398	4.34898	-2.55087	-4.44824	9.03108	3.43592	1.37036	-2.43418	-1.78055	-0.046289	1.86919	-3.52931	4.86477	-0.305814	-0.429455	5.25917	6.72667	1.13304	-3.26534	1.00032	-3.35218	-4.27355	-3.50872	-1.40611	-0.522286	4.80369	0.447816	2.41849	1.06608	-1.22729	-0.36042	0.525276	-0.0179816	-1.7782	0.750312	0.222055	-0.245556	-0.793795	-1.01293	2.47298	-2.275	0.719194	-1.67373	-0.122949	-0.142627	1.1271	-1.14217	0.995813	1.40448	1.10697	0.444023	0.209163	0.344342	-0.592048	0.546115	0.676885	-0.714731	-0.0429856	0.604716	-0.00789801	0.211923	0.248731	5.55E-15
Group.E.15	57.7347	-3.09726	-23.526	-1.67287	14.5419	-7.83148	-9.10087	6.32515	1.69084	6.96565	11.3204	-0.393429	1.36264	3.07166	-4.39812	3.22465	-0.601234	6.98305	2.49426	2.61856	1.63222	-2.12203	3.09182	-0.771146	-2.38454	1.19619	-0.0781308	-1.98324	-0.863813	0.380343	0.321842	1.56019	1.2639	0.20422	1.00827	0.591546	-1.6496	-1.09054	-1.93223	-0.414936	0.406132	-1.14676	-0.24523	-0.0365968	-1.67338	0.0705758	1.08049	0.875468	0.773829	-0.469168	0.887077	-1.13919	0.905285	1.53793	-0.0478222	-0.924155	1.03311	0.11344	-1.56692	-1.24417	-0.140646	-0.122334	-0.00925478	0.59147	-0.481927	0.151389	-0.00951686	-0.0334598	-0.55773	0.239761	-0.578573	2.96843	5.77E-15
Group.E.16	57.6868	-3.65769	-23.0756	-2.06333	14.8053	-8.41575	-9.15232	6.36218	1.00344	6.56432	11.9078	-1.12384	1.76562	3.41506	-4.01263	2.94472	-1.0439	6.25026	2.00035	3.24669	2.31623	-2.04637	2.85855	0.370894	-2.2761	0.508553	0.178236	-1.2416	-1.14866	0.113172	-0.676206	1.63122	0.15349	-0.154502	2.0218	0.593817	-1.03135	-0.30772	-1.36701	-0.812105	-0.340331	-0.600479	0.265856	0.352803	-1.94654	-0.127194	1.14242	0.446754	0.247642	-0.705837	1.5535	-0.615522	0.788022	0.857721	-0.517553	-0.948423	0.260306	-0.420783	-0.342701	-0.530752	-0.30128	0.520874	-0.0954397	1.0011	0.0476289	-0.305054	0.00352435	0.10823	0.371667	-0.02005	0.541062	-3.21683	1.11E-14
Group.E.17	45.2665	-9.51908	20.1797	8.22627	7.76735	4.95563	-22.273	1.28494	-3.91012	0.380109	1.06768	0.981506	5.44791	-7.6753	18.6999	8.62208	9.67003	3.78323	-5.91534	3.91415	-0.80547	-2.55189	-2.15714	-0.38301	4.56958	2.27771	-1.50088	2.64892	3.27748	-1.51858	2.10145	3.34485	2.38881	2.42278	1.29313	-2.37353	1.53592	-1.38567	1.29365	1.03682	0.44655	1.27143	0.136482	0.0203001	0.792258	-0.84857	-1.04452	-1.09896	0.42092	0.0273678	0.233595	0.149669	0.667957	-0.153174	-0.685857	-0.204376	-0.0130049	0.179401	-0.174594	-0.387114	-0.28984	0.149639	-0.120693	0.117062	0.107511	-0.398927	-0.255524	-0.0630688	-0.142542	0.141027	0.123071	0.00302647	4.44E-16
Group.E.18	50.2348	-3.21063	21.4467	5.52664	-21.4219	4.52006	-17.6156	-7.92335	-8.05488	-4.70846	-10.0866	-4.48663	1.94804	6.22243	1.68436	1.94707	5.05392	-1.00732	0.955825	-0.317264	2.12459	4.74898	-2.89695	2.93871	1.31582	-0.70251	2.58399	-2.14758	1.9947	2.41386	-0.0589384	-3.83782	-0.817759	1.05516	-3.03995	7.2442	-1.57802	-2.13052	-2.39557	-1.7215	-3.15289	-1.68948	-2.07523	-1.02971	-0.15694	0.298223	1.5584	1.58864	1.11865	0.154405	0.237708	-1.38203	-0.369128	1.84779	-0.280471	-0.547643	-0.0507251	-0.164993	-0.710769	0.209233	0.324641	-0.272673	0.0182858	0.679495	0.183029	0.0674624	-0.12587	0.152688	0.0374487	-0.0574361	-0.0376169	-0.148095	1.05E-14
Group.E.19	45.7833	0.0603813	14.7476	6.48399	-27.4268	1.83294	-25.3013	-8.50523	-9.06443	0.845234	-7.1899	-3.94418	3.85449	6.93012	-6.65137	-1.0926	-2.04559	-3.51316	5.2255	-3.64614	5.85077	1.90936	5.36021	-2.23867	-0.127439	5.54973	2.09917	-1.14756	-3.93008	-1.87519	-1.73131	2.37394	-1.19938	-2.72157	2.39309	-3.38214	-0.0903969	1.53458	0.669167	-0.792381	2.79835	0.729102	2.11021	0.744544	-0.287673	-0.46742	-1.07981	-1.43506	-1.19896	0.282637	0.341462	1.57121	0.457997	-0.872438	-0.350547	0.560331	-0.081176	0.227807	0.810435	-0.38719	-0.684496	0.467514	0.0988659	0.00379177	0.238259	0.00314938	-0.244671	-0.014492	-0.0326939	0.119774	0.0879865	0.202416	6.66E-16
Group.F.1	-23.6306	-5.46672	11.664	-1.63874	15.3985	-10.5305	9.00216	-9.29135	1.15399	-15.679	3.96825	-3.86963	2.65842	-1.61976	5.99848	-4.8152	1.16658	-2.80317	2.67588	-5.70199	16.7889	-1.64319	3.36313	-1.42516	1.06128	-5.33712	-2.44583	1.77626	0.201939	3.27387	-2.88153	-1.19038	1.13374	1.91033	0.504188	-0.56294	-3.03156	-1.18573	-0.950021	0.541626	2.83233	2.73565	-1.34683	-2.29372	-0.0812119	-0.71204	-0.669656	0.0647509	0.445161	0.166545	0.377752	0.121435	0.109625	0.736871	-0.877161	-0.613797	-0.119745	-0.119509	-0.329434	-0.303793	-0.427388	0.528365	0.0268471	0.362769	0.197242	-0.0652395	-0.394078	-0.190875	-0.131648	0.0373356	0.0318302	0.00554642	9.94E-15
Group.F.2	-5.01987	-20.2014	28.7273	12.4512	9.54655	-2.7313	12.6252	-6.97831	0.385293	-12.5543	6.27035	-14.8129	3.92303	-3.69346	-7.2579	2.361	7.2366	6.6269	-4.51808	-3.74446	0.0233586	0.297882	-4.779	0.648803	-5.89309	2.3944	0.702405	1.9984	-1.35433	-4.55478	-2.45206	-2.96609	1.03584	-3.65559	1.72769	1.8549	5.71803	0.0943331	-1.44993	0.26196	-0.752762	-1.16084	1.70477	1.14582	-0.778043	0.16676	-0.0323065	-0.758611	-0.427178	0.327805	0.332184	-0.413573	0.468401	-0.0275873	-0.358409	0.313181	0.363254	0.106264	0.360348	-0.69436	-0.502088	0.442804	-0.126917	0.35348	-0.118118	-0.294897	-0.152774	0.194886	0.0514225	0.141113	0.164699	0.166773	1.34E-14
Group.F.3	-13.1728	-7.55667	29.4769	9.23787	9.59757	6.93916	-3.52863	-0.614259	2.86577	-7.50482	8.42352	-2.51966	2.14816	-12.5375	-4.79362	-7.03249	-5.97825	-1.24332	3.15742	-3.84644	-9.2511	2.32386	1.70248	8.98528	-2.09536	4.61925	2.94291	-0.897669	-1.00217	-1.47736	2.06728	2.72312	-0.710045	4.12666	-0.290972	0.40591	-6.14879	-1.59642	-0.173092	2.36712	0.711372	0.863629	0.4817	-0.971177	0.00626378	-0.624766	-0.0287358	-0.271755	-0.122641	-0.253245	-0.498195	-0.113499	-0.879376	0.689192	-0.513213	-0.414158	-0.693149	0.365071	-0.0239071	0.162681	-0.31931	-0.0569305	0.233618	0.370279	0.273182	0.231511	-0.457681	-0.121457	-0.065067	0.00903625	0.150233	-0.0642022	8.55E-15
Group.F.4	-49.5427	9.74772	-1.918	-10.4954	-1.71745	-8.88266	7.99676	-0.355255	-1.02317	1.18146	-4.38568	-2.82864	3.18669	-0.572953	4.11583	-0.508763	-3.38116	2.87567	3.21837	0.598545	4.72552	-0.520325	-2.06954	2.99307	-3.33369	0.110062	7.49725	4.34947	3.41487	2.73456	2.08535	2.47961	-4.59232	1.67419	2.79496	-2.41254	0.697305	-4.79946	2.56707	-4.89378	-3.27173	-2.78241	2.2461	-0.00388538	-0.166648	-1.09481	1.61407	-1.71818	-0.44889	-0.339411	1.37189	1.23711	-0.379787	-1.09357	-0.0754916	-0.18186	-0.556435	0.470937	-0.0637014	0.0932293	0.611247	-0.139068	0.197204	0.10174	-0.538439	-0.418508	-0.288387	0.171976	0.304031	0.374958	-0.130188	0.245937	6.87E-15
Group.F.5	-42.2071	9.10942	6.37935	-5.39811	-5.4753	-11.7384	0.865884	5.63301	5.55856	-5.40447	-2.11116	7.66037	-4.80695	1.45969	1.38868	-0.133855	-6.27222	4.79801	-2.55545	-3.62913	5.11991	1.14998	-3.20744	0.0764631	0.105127	3.78356	0.580678	-4.3693	-2.84178	3.84162	8.71813	1.00011	5.67066	0.74893	-0.480717	4.33279	3.17013	1.75161	1.05051	-0.479392	1.25574	2.76222	4.39967	0.927081	1.33286	-0.666575	0.955804	0.372856	-0.683744	0.0359639	0.0506098	-0.942609	0.667679	0.313535	-0.278429	-0.133123	-0.417269	0.0187863	0.114572	-0.00261049	-0.183633	0.079603	-0.459318	0.212319	0.286265	-0.021208	-0.534826	0.247383	-0.0633667	-0.0124745	0.110286	-0.049405	9.33E-15
Group.F.6	-51.7678	16.3911	-4.16162	-11.4344	-5.01055	-4.34724	1.37904	4.52537	1.63676	4.66151	-5.72234	2.90397	-0.192402	1.05667	0.640358	-1.17758	-4.01968	2.99065	-1.25508	-0.853427	2.26188	3.33874	-1.29507	0.776001	2.38834	-1.06982	5.91644	3.81502	-2.89768	-4.52439	-3.00642	2.60807	4.75181	-1.75054	0.167898	0.790334	-0.0111451	-2.43534	2.2881	1.48413	-2.17331	1.97432	-4.42476	2.53438	-1.54169	2.31799	-0.148579	-2.06799	1.42675	-0.463068	-3.56113	-0.0756541	0.765145	1.9772	0.558876	-1.04824	0.0837185	0.345835	0.158231	-0.623723	-1.31533	0.974611	0.499414	0.358119	0.369996	0.495952	-0.396508	-0.428046	-0.339571	0.197047	0.34778	-0.0373009	7.22E-15
Group.F.7	-45.6736	3.33774	5.58787	5.98796	-5.90534	4.59063	12.4471	3.25069	-4.85756	14.6135	-1.92987	-9.14312	-3.93076	5.46405	11.9677	-1.54286	5.66318	3.67162	9.58222	-0.703675	-5.84824	-1.18961	-1.6012	-1.96335	-2.60863	1.26079	0.493446	-2.66845	-2.9684	0.398181	-0.638004	-1.92441	1.1453	-0.475667	-0.542793	-1.96977	-1.21814	-2.51609	-0.492872	0.761443	2.88342	3.01124	-0.435772	2.05582	0.0069372	1.09984	3.25342	1.66402	0.680923	3.68008	1.6638	0.467238	-0.72069	0.0890465	-0.508603	-0.156568	-1.02971	0.42243	0.520879	-0.202834	0.165049	0.120146	-0.148372	0.152182	-0.203304	-0.116794	-0.502968	0.226496	-0.156311	0.159026	0.146626	-0.0706041	1.27E-14
Group.F.8	-49.7924	9.45776	5.71455	2.5397	-10.0165	4.21612	9.30751	4.07124	-4.5807	15.7098	-0.0788401	-6.93507	-2.75874	3.67111	8.44792	-2.36452	1.95562	3.84475	6.01863	-0.211441	-2.78391	-0.970084	-0.163526	-1.07721	-2.40242	-0.695466	-1.01765	-0.956541	-2.46372	1.76011	-1.46982	0.996044	-1.30929	0.75603	0.281503	2.27225	0.668371	1.75832	-1.71343	1.14889	-0.987666	-1.46475	1.97511	-3.656	1.68312	-2.43413	-5.43636	-1.8381	-0.43096	-3.87256	-1.36082	-0.329344	0.848886	1.50406	-0.022763	-0.334823	0.983251	0.266692	-0.791239	-0.270916	-0.645691	0.204027	0.633404	0.0377142	0.611705	0.0570671	-0.397222	-0.159671	-0.139913	-0.143042	-0.0614493	-0.0933336	1.51E-14
Group.F.9	-45.3134	3.62362	-0.283863	-5.09913	2.38473	-6.79984	-0.959879	3.66985	-0.279798	-1.33088	0.14222	7.643	1.15628	-1.34405	3.13579	7.75948	-1.91683	0.461679	4.05951	-7.6005	-1.85229	4.22427	0.942868	-6.42993	0.875071	-3.3421	0.10193	-2.12346	3.42281	-6.47064	4.67277	-5.63266	2.2911	-1.29462	4.33813	0.0797859	-3.91616	1.39726	-0.97113	1.17215	-0.645487	-4.81174	-0.6532	-0.831522	0.219433	-1.06116	0.466329	-1.48053	-0.959943	0.736537	1.15142	1.56583	-1.02324	0.6256	-0.543734	0.601962	-0.0363087	0.443139	0.296343	-0.0088479	-0.742492	0.0798717	0.00288652	-0.0605525	0.436064	0.0660831	-0.00258804	-0.125156	-0.242635	0.0651503	-0.0159621	-0.0860241	8.88E-16
Group.F.10	-54.0097	17.3839	-3.29492	-9.75086	-4.29758	-7.15386	-1.55055	4.88697	2.27041	5.54378	-3.88601	9.65562	-0.00316384	-4.94564	0.110016	1.4845	-1.1054	4.34674	-1.22588	-3.19049	0.986034	7.86021	-3.34143	2.12169	-0.502127	3.65207	-2.54748	6.50834	-1.26775	-1.03722	-3.71956	3.42688	-0.754842	2.94361	-2.40574	-0.813713	1.99108	2.15066	-6.87414	-2.1487	2.53959	-2.07876	-2.04439	-1.77566	0.0582418	0.177013	-0.31731	2.54163	-1.20571	1.89298	1.06008	0.499872	0.078437	-0.814413	-0.81626	0.461669	0.0940986	-0.155732	-0.245426	-0.0456476	0.178509	0.382068	-0.322411	0.158203	0.240354	0.0425341	-0.346889	-0.0537941	0.245716	0.00071669	0.0968572	-0.00369459	1.13E-14
Group.F.11	-22.6731	-7.44723	20.2927	8.11513	10.0822	8.84777	4.2726	1.47508	-1.29703	-4.9828	9.58887	-6.60602	-3.76159	-3.98777	-6.28435	-3.81508	4.02304	-4.11902	6.74654	7.51077	-0.648075	5.36738	0.31324	-10.6354	6.26791	0.171278	2.82515	2.37154	-3.39805	2.48108	3.77757	3.5445	0.763046	1.57838	-0.0907558	0.203858	0.88642	3.79193	1.34731	-2.66658	-2.41394	-1.25761	-2.82422	0.514607	0.511372	0.37092	-0.433321	0.581551	-0.205489	1.12349	0.708141	0.098852	0.407911	0.029889	0.168225	-0.360636	0.0526411	0.439353	-0.507485	0.195103	0.426182	0.345316	-0.0908229	0.315008	-0.045574	-0.0870544	-0.17212	-0.111014	-0.093971	0.0474455	-0.0933599	-0.0380338	5.66E-15
Group.F.12	-52.4412	12.8888	-4.08498	-7.67961	-0.994357	-2.05809	2.58933	-2.92224	1.40337	-1.49876	-7.3155	-0.0736498	-2.05724	-3.39263	-0.924123	-4.61609	5.02538	-4.8917	4.52841	7.04908	3.38186	-6.86875	7.8815	8.15375	0.178605	1.04595	1.03659	-5.43522	2.92195	-3.679	0.0275507	1.44903	3.6803	-0.0122845	-1.4368	-1.39852	4.73169	3.55797	-0.825787	2.0766	-2.71721	-1.65495	-1.5895	-2.08943	0.696869	-0.999306	2.02619	0.232015	0.310277	0.557074	1.47864	0.578176	-0.0167725	0.421201	-0.595826	0.629125	-0.362552	0.0428337	0.400371	-0.495289	-0.378698	0.112745	0.16722	0.487896	0.362593	0.0965045	-0.34165	-0.0575877	0.0567604	0.220973	0.25136	0.101983	1.67E-15
Group.F.13	-51.4684	11.4125	-3.67407	-7.75133	-3.43747	-6.64003	2.76502	0.920652	4.82546	-2.089	-6.45611	3.65541	-0.578886	4.14859	-7.94074	0.955759	9.65108	-2.00071	-0.726619	-1.52465	-4.14233	-4.26503	6.87881	-2.412	2.01023	0.898444	-2.2649	3.41053	3.50617	0.617224	2.02996	3.7212	-4.3941	-0.20317	5.56185	5.17197	-0.301071	-2.6364	-3.76244	2.33796	-1.10785	3.83894	0.241169	1.97225	1.32057	1.33678	-1.36897	-0.372156	-0.89807	0.890003	0.294744	-0.291409	-0.702414	-0.355721	-0.408253	-0.216371	-0.54217	-0.0208879	-0.146455	0.0906792	0.210305	0.228654	-0.186461	0.412769	-0.33785	-0.0177875	-0.0983059	-0.080899	0.104163	0.141789	-0.0161311	0.0611109	5.77E-15
Group.F.14	-39.6951	7.50638	5.87381	-4.65518	1.05875	-6.38336	-3.65844	3.20099	6.18598	-5.80638	-3.08179	7.58171	-1.54991	-4.57114	-3.8917	-2.61264	8.51874	4.22816	-0.6191	-7.12911	-3.42438	-4.50674	-4.06614	-1.23511	1.19956	3.22521	-3.42053	-9.60974	1.33101	4.50705	-3.38675	-1.31262	-2.98805	2.14234	0.507861	-2.97685	-0.0692251	1.3872	2.27288	-4.1602	-0.711497	-0.541701	-2.14586	1.62246	-2.52662	1.18046	-1.00454	-0.910553	0.51633	-0.444072	-1.29623	1.16224	0.0815087	1.04248	0.199843	-0.00238529	0.273617	0.617961	-0.0696905	-0.536212	-0.343837	0.828173	0.0307918	0.380196	0.183468	0.145501	-0.328217	0.00323699	-0.0503205	0.00802536	-0.0703771	-0.0690856	1.73E-14
