A	Coef.REF - HET	Coef.REF - KO	Coef.REF - WT	Coef.HET - REF	Coef.HET - KO	Coef.HET - WT	Coef.KO - REF	Coef.KO - HET	Coef.KO - WT	Coef.WT - REF	Coef.WT - HET	Coef.WT - KO	t.REF - HET	t.REF - KO	t.REF - WT	t.HET - REF	t.HET - KO	t.HET - WT	t.KO - REF	t.KO - HET	t.KO - WT	t.WT - REF	t.WT - HET	t.WT - KO	p.value.REF - HET	p.value.REF - KO	p.value.REF - WT	p.value.HET - REF	p.value.HET - KO	p.value.HET - WT	p.value.KO - REF	p.value.KO - HET	p.value.KO - WT	p.value.WT - REF	p.value.WT - HET	p.value.WT - KO	p.value.adj.REF - HET	p.value.adj.REF - KO	p.value.adj.REF - WT	p.value.adj.HET - REF	p.value.adj.HET - KO	p.value.adj.HET - WT	p.value.adj.KO - REF	p.value.adj.KO - HET	p.value.adj.KO - WT	p.value.adj.WT - REF	p.value.adj.WT - HET	p.value.adj.WT - KO	F	F.p.value
ACTL6A	-1.9168242	6.357552	5.82923117	4.32137719	-6.357552	-0.52832083	-2.03617482	-5.82923117	0.52832083	-1.50785399	-4.32137719	2.03617482	1.50785399	2.8663738	2.6281744	1.9483415	-2.8663738	-0.3368648	-1.2982938	-2.6281744	0.3368648	-0.961429	-1.9483415	1.2982938	0.961429	0.021104279	0.0304527523	0.0874810184	0.021104279	0.7449479353	0.2306169671	0.0304527523	0.7449479353	0.3646906546	0.0874810184	0.2306169671	0.3646906546	0.23016854233	0.27605222233	0.58608349622	0.23016854233	0.99268824044	0.9429959267	0.27605222233	0.99268824044	1	0.58608349622	0.9429959267	1	3.0672693	0.0915502029
ACTN4	3.4790288	-0.66887811	-0.1343906	-0.73375428	0.66887811	0.53448751	-0.06487617	0.1343906	-0.53448751	-0.59936368	0.73375428	0.06487617	0.59936368	-0.6378474	-0.1281559	-0.6997138	0.6378474	0.7208126	-0.0874923	0.1281559	-0.7208126	-0.8083049	0.6997138	0.0874923	0.8083049	0.5415225803	0.9012113437	0.5040818171	0.5415225803	0.4916944535	0.9324460009	0.9012113437	0.4916944535	0.4424523445	0.5040818171	0.9324460009	0.4424523445	0.82890910273	0.99797941095	0.85024860792	0.82890910273	0.96986823178	1	0.99797941095	0.96986823178	1	0.85024860792	1	1	0.3578329	0.7851695654
ACTR1A	-2.6879431	0	1.5849625	1.5849625	0	1.5849625	1.5849625	-1.5849625	-1.5849625	0	-1.5849625	-1.5849625	0	0	1.3872421	1.3872421	0	1.9618566	1.9618566	-1.3872421	-1.9618566	0	-1.3872421	-1.9618566	0	1	0.2030547406	0.2030547406	1	0.0856771814	0.0856771814	0.2030547406	0.0856771814	1	0.2030547406	0.0856771814	1	1	0.6114973713	0.75077574638	1	0.91076806248	0.94046537353	0.6114973713	0.91076806248	1	0.75077574638	0.94046537353	1	2.0527367	0.1856045014
ADAM10	-0.8879783	-2.6356302	-2.52074747	-2.95678824	2.6356302	0.11488272	-0.32115804	2.52074747	-0.11488272	-0.43604077	2.95678824	0.32115804	0.43604077	-1.0503898	-1.0046051	-1.1783824	1.0503898	0.0647494	-0.1810089	1.0046051	-0.0647494	-0.2457583	1.1783824	0.1810089	0.2457583	0.3244480016	0.3447103151	0.2727434968	0.3244480016	0.9499736743	0.8608946415	0.3447103151	0.9499736743	0.8121013572	0.2727434968	0.8608946415	0.8121013572	0.7255779528	0.74081098833	0.8032698766	0.7255779528	1	1	0.74081098833	1	1	0.8032698766	1	1	0.4862888	0.7012511249
ADAR	-1.9160613	5.24713908	6.30378075	4.77545991	-5.24713908	1.05664167	-0.47167917	-6.30378075	-1.05664167	-1.52832083	-4.77545991	0.47167917	1.52832083	2.6436653	3.176033	2.4060193	-2.6436653	0.7528815	-0.3360823	-3.176033	-0.7528815	-1.0889638	-2.4060193	0.3360823	1.0889638	0.02973171	0.0131992771	0.0429904094	0.02973171	0.4732451796	0.7455159107	0.0131992771	0.4732451796	0.3081074817	0.0429904094	0.7455159107	0.3081074817	0.29229202234	0.19602330665	0.45749061416	0.29229202234	0.96986823178	1	0.19602330665	0.96986823178	1	0.45749061416	1	1	3.4218022	0.0733346251
ADD1	-2.7634318	0	-0.52832083	-1.33333333	0	-0.52832083	-1.33333333	0.52832083	0.52832083	-0.8050125	1.33333333	1.33333333	0.8050125	0	-0.3319008	-0.8376243	0	-0.4693786	-1.1845797	0.3319008	0.4693786	-0.7152011	0.8376243	1.1845797	0.7152011	1	0.7485536502	0.4267286561	1	0.6514156426	0.2704201757	0.7485536502	0.6514156426	0.4949698533	0.4267286561	0.2704201757	0.4949698533	1	0.92804697668	0.85024860792	1	0.99268824044	0.9429959267	0.92804697668	0.99268824044	1	0.85024860792	0.9429959267	1	0.5352479	0.6711073886
ADGRL2	-0.3466871	1.60535081	0.79182661	2.5501248	-1.60535081	-0.8135242	0.94477399	-0.79182661	0.8135242	1.75829819	-2.5501248	-0.94477399	-1.75829819	0.5681882	0.2802543	0.9025758	-0.5681882	-0.4072	0.4728955	-0.2802543	0.4072	0.8800955	-0.9025758	-0.4728955	-0.8800955	0.5856090339	0.7864438915	0.3933020756	0.5856090339	0.6946154394	0.6490116125	0.7864438915	0.6946154394	0.4046516173	0.3933020756	0.6490116125	0.4046516173	0.83070515893	0.94350105879	0.84047382362	0.83070515893	0.99268824044	1	0.94350105879	0.99268824044	1	0.84047382362	1	1	0.3949385	0.760292872
ADRM1	-0.5209899	2.81098647	0.15418862	-0.35176081	-2.81098647	-2.65679785	-3.16274728	-0.15418862	2.65679785	-0.50594943	0.35176081	3.16274728	0.50594943	1.9505379	0.1069912	-0.2440861	-1.9505379	-2.6071687	-3.103667	-0.1069912	2.6071687	-0.4964983	0.2440861	3.103667	0.4964983	0.0871854025	0.9174493229	0.8133515122	0.0871854025	0.0314591561	0.0147162373	0.9174493229	0.0314591561	0.6329918926	0.8133515122	0.0147162373	0.6329918926	0.44081241992	1	0.96550910797	0.44081241992	0.77322961993	0.8874201335	1	0.77322961993	1	0.96550910797	0.8874201335	1	3.8520674	0.0568665883
AHCY	3.9654734	-2.29457801	-1.62739781	-1.65366309	2.29457801	0.6671802	0.64091492	1.62739781	-0.6671802	-0.02626528	1.65366309	-0.64091492	0.02626528	-2.9865426	-2.1181641	-2.1523501	2.9865426	1.2280726	1.1797263	2.1181641	-1.2280726	-0.0483463	2.1523501	-1.1797263	0.0483463	0.0175703693	0.0672670982	0.0637893692	0.0175703693	0.2545693945	0.2722382873	0.0672670982	0.2545693945	0.9626339774	0.0637893692	0.2722382873	0.9626339774	0.21389530708	0.40319971773	0.50660757369	0.21389530708	0.96986823178	0.9429959267	0.40319971773	0.96986823178	1	0.50660757369	0.9429959267	1	2.9856064	0.0965138236
AIFM1	-2.0820537	2.06261564	2.39594897	1.9749375	-2.06261564	0.33333333	-0.08767814	-2.39594897	-0.33333333	-0.42101147	-1.9749375	0.08767814	0.42101147	1.066714	1.2391026	1.0213699	-1.066714	0.2437942	-0.0641263	-1.2391026	-0.2437942	-0.3079205	-1.0213699	0.0641263	0.3079205	0.3174518127	0.2506745427	0.3371809615	0.3174518127	0.8135697956	0.9504543653	0.2506745427	0.8135697956	0.7660636732	0.3371809615	0.9504543653	0.7660636732	0.71709179698	0.66147119943	0.84005331988	0.71709179698	0.99268824044	1	0.66147119943	0.99268824044	1	0.84005331988	1	1	0.5271993	0.6759861146
