A	Coef.REF - HET	Coef.REF - KO	Coef.REF - WT	Coef.HET - REF	Coef.HET - KO	Coef.HET - WT	Coef.KO - REF	Coef.KO - HET	Coef.KO - WT	Coef.WT - REF	Coef.WT - HET	Coef.WT - KO	t.REF - HET	t.REF - KO	t.REF - WT	t.HET - REF	t.HET - KO	t.HET - WT	t.KO - REF	t.KO - HET	t.KO - WT	t.WT - REF	t.WT - HET	t.WT - KO	p.value.REF - HET	p.value.REF - KO	p.value.REF - WT	p.value.HET - REF	p.value.HET - KO	p.value.HET - WT	p.value.KO - REF	p.value.KO - HET	p.value.KO - WT	p.value.WT - REF	p.value.WT - HET	p.value.WT - KO	p.value.adj.REF - HET	p.value.adj.REF - KO	p.value.adj.REF - WT	p.value.adj.HET - REF	p.value.adj.HET - KO	p.value.adj.HET - WT	p.value.adj.KO - REF	p.value.adj.KO - HET	p.value.adj.KO - WT	p.value.adj.WT - REF	p.value.adj.WT - HET	p.value.adj.WT - KO	F	F.p.value
CXADR	2.8453259	-1.90848999	-1.96182271	-2.04614243	1.90848999	-0.05333272	-0.13765245	1.96182271	0.05333272	-0.08431973	2.04614243	0.13765245	0.08431973	-1.987703	-2.0432493	-2.1310688	1.987703	-0.0785544	-0.2027499	2.0432493	0.0785544	-0.1241955	2.1310688	0.2027499	0.1241955	0.082326964	0.0755510141	0.0659329367	0.082326964	0.939330255	0.8444284195	0.0755510141	0.939330255	0.9042463562	0.0659329367	0.8444284195	0.9042463562	0.43865817447	0.43003932224	0.51134655324	0.43865817447	1	1	0.43003932224	1	1	0.51134655324	1	1	1.7015119	0.2439001752
CYB5B	0.273496	-3.28391635	-4.65176222	-4.04906831	3.28391635	-1.36784587	-0.76515196	4.65176222	1.36784587	0.60269391	4.04906831	0.76515196	-0.60269391	-1.7449589	-2.4717845	-2.151534	1.7449589	-1.0278867	-0.5749841	2.4717845	1.0278867	0.4529027	2.151534	0.5749841	-0.4529027	0.1194186298	0.0388119066	0.0638702958	0.1194186298	0.3342885041	0.5812209995	0.0388119066	0.3342885041	0.6627355457	0.0638702958	0.5812209995	0.6627355457	0.52777781777	0.32250846233	0.50660757369	0.52777781777	0.96986823178	1	0.32250846233	0.96986823178	1	0.50660757369	1	1	2.1562822	0.1717551699
CYP26B1	-0.5594381	1.28343569	0.61676902	1.91446395	-1.28343569	-0.66666667	0.63102827	-0.61676902	0.66666667	1.29769493	-1.91446395	-0.63102827	-1.29769493	0.6233534	0.2995593	0.9298383	-0.6233534	-0.4579141	0.4334351	-0.2995593	0.4579141	0.8913491	-0.9298383	-0.4334351	-0.8913491	0.5505304718	0.7722033656	0.3798504261	0.5505304718	0.6592824798	0.6762307153	0.7722033656	0.6592824798	0.3989409334	0.3798504261	0.6762307153	0.3989409334	0.82890910273	0.93902081735	0.84005331988	0.82890910273	0.99268824044	1	0.93902081735	0.99268824044	1	0.84005331988	1	1	0.4174648	0.7454221212
DAD1	-2.1100989	0	-1.56681324	-2.4726175	0	-1.56681324	-2.4726175	1.56681324	1.56681324	-0.90580427	2.4726175	2.4726175	0.90580427	0	-0.7327665	-1.1563927	0	-1.0362883	-1.6353862	0.7327665	1.0362883	-0.5990978	1.1563927	1.6353862	0.5990978	1	0.4847636809	0.281119329	1	0.3305878296	0.1408837513	0.4847636809	0.3305878296	0.5658009808	0.281119329	0.1408837513	0.5658009808	1	0.84161726002	0.80868161329	1	0.96986823178	0.9429959267	0.84161726002	0.96986823178	1	0.80868161329	0.9429959267	1	1.071352	0.4144304685
DARS1	-1.150222	0.79349733	1.30827083	1.22562833	-0.79349733	0.51477351	0.432131	-1.30827083	-0.51477351	-0.0826425	-1.22562833	-0.432131	0.0826425	0.3616719	0.596303	0.558635	-0.3616719	0.3318184	0.2785478	-0.596303	-0.3318184	-0.0532706	-0.558635	-0.2785478	0.0532706	0.7270306589	0.5675761015	0.5918085251	0.7270306589	0.7486135316	0.7877069626	0.5675761015	0.7486135316	0.958831887	0.5918085251	0.7877069626	0.958831887	0.90457647048	0.8476958493	0.86169969675	0.90457647048	0.99268824044	1	0.8476958493	0.99268824044	1	0.86169969675	1	1	0.1445669	0.9302790796
DBH	3.4699898	-3.45494659	-5.22644757	-4.60048226	3.45494659	-1.77150099	-1.14553567	5.22644757	1.77150099	0.62596531	4.60048226	1.14553567	-0.62596531	-4.3547452	-6.587612	-5.7986216	4.3547452	-3.1577505	-2.0419496	6.587612	3.1577505	1.1158008	5.7986216	2.0419496	-1.1158008	0.0024722259	0.0001772606	0.0004170349	0.0024722259	0.0135663356	0.0757031806	0.0001772606	0.0135663356	0.2971280421	0.0004170349	0.0757031806	0.2971280421	0.07597908413	0.01767541149	0.02689196895	0.07597908413	0.52607234819	0.94046537353	0.01767541149	0.52607234819	1	0.02689196895	0.94046537353	1	15.8751182	0.0010195223
DBN1	-1.2219633	2.47167917	2.43318676	1.42858483	-2.47167917	-0.03849241	-1.04309434	-2.43318676	0.03849241	-1.00460193	-1.42858483	1.04309434	1.00460193	0.888188	0.8743559	0.5133562	-0.888188	-0.0195615	-0.5300922	-0.8743559	0.0195615	-0.5105306	-0.5133562	0.5300922	0.5105306	0.400539173	0.4075866221	0.6216743573	0.400539173	0.9848756737	0.6105438001	0.4075866221	0.9848756737	0.6235639615	0.6216743573	0.6105438001	0.6235639615	0.78130205972	0.7969060566	0.87452047222	0.78130205972	1	1	0.7969060566	1	1	0.87452047222	1	1	0.3506591	0.7900276105
DBNL	-1.1216466	-1.16434667	1.5849625	-2.47167917	1.16434667	2.74930917	-1.3073325	-1.5849625	-2.74930917	-4.05664167	2.47167917	1.3073325	4.05664167	-0.7430706	1.0115021	-1.5773929	0.7430706	2.4813405	-1.1799099	-1.0115021	-2.4813405	-3.6612503	1.5773929	1.1799099	3.6612503	0.4788405839	0.341597325	0.1536324087	0.4788405839	0.0382398902	0.2721693432	0.341597325	0.0382398902	0.0064705855	0.1536324087	0.2721693432	0.0064705855	0.82890910273	0.74081098833	0.73448918679	0.82890910273	0.79151029812	0.9429959267	0.74081098833	0.79151029812	0.56688550029	0.73448918679	0.9429959267	0.56688550029	4.7325929	0.0353223769
DCHS1	1.2984191	2.79240205	1.45809622	0.71009269	-2.79240205	-1.33430583	-2.08230936	-1.45809622	1.33430583	-0.74800353	-0.71009269	2.08230936	0.74800353	1.464592	0.7647595	0.3724378	-1.464592	-0.9897126	-1.5445393	-0.7647595	0.9897126	-0.5548267	-0.3724378	1.5445393	0.5548267	0.1814631974	0.4665287642	0.7193093928	0.1814631974	0.3515059025	0.1613120559	0.4665287642	0.3515059025	0.5942898985	0.7193093928	0.1613120559	0.5942898985	0.61189039515	0.83716160853	0.92634309261	0.61189039515	0.96986823178	0.9429959267	0.83716160853	0.96986823178	1	0.92634309261	0.9429959267	1	1.1170726	0.3981306339
DCX	-2.2216466	0	-2.4726175	-1.1949875	0	-2.4726175	-1.1949875	2.4726175	2.4726175	1.27763	1.1949875	1.1949875	-1.27763	0	-1.3146392	-0.63535	0	-1.8591806	-0.8985205	1.3146392	1.8591806	0.9606601	0.63535	0.8985205	-0.9606601	1	0.2253239742	0.5430684235	1	0.1003277531	0.3953322308	0.2253239742	0.1003277531	0.3650541769	0.5430684235	0.3953322308	0.3650541769	1	0.63654987825	0.85370108555	1	0.92177541338	0.95192067899	0.63654987825	0.92177541338	1	0.85370108555	0.95192067899	1	1.3216114	0.3337218299
DDB1	-1.3568923	7.72109919	7.72109919	3.74467972	-7.72109919	0	-3.97641947	-7.72109919	0	-3.97641947	-3.74467972	3.97641947	3.97641947	3.5170539	3.5170539	1.7057468	-3.5170539	0	-2.5615751	-3.5170539	0	-2.5615751	-1.7057468	2.5615751	2.5615751	0.0079719527	0.0079719527	0.1267244345	0.0079719527	1	0.033762093	0.0079719527	1	0.033762093	0.1267244345	0.033762093	0.033762093	0.15898351321	0.16365949889	0.69625604477	0.15898351321	1	0.8874201335	0.16365949889	1	1	0.69625604477	0.8874201335	1	6.311188	0.0169337262
DDOST	-1.8305363	-1.8306177	-1.87156995	-1.26911831	1.8306177	-0.04095225	0.56149939	1.87156995	0.04095225	0.60245164	1.26911831	-0.56149939	-0.60245164	-0.8866312	-0.9064658	-0.6146777	0.8866312	-0.0280503	0.3846003	0.9064658	0.0280503	0.4126507	0.6146777	-0.3846003	-0.4126507	0.4013279583	0.3913617914	0.5559644282	0.4013279583	0.9783140546	0.7106276267	0.3913617914	0.9783140546	0.690777479	0.5559644282	0.7106276267	0.690777479	0.78130205972	0.77947956866	0.85624022475	0.78130205972	1	1	0.77947956866	1	1	0.85624022475	1	1	0.3285468	0.8050858535
DDX1	-2.8049356	3.5849625	3.05664167	3.5849625	-3.5849625	-0.52832083	0	-3.05664167	0.52832083	0.52832083	-3.5849625	0	-0.52832083	4.1589205	3.5460147	4.1589205	-4.1589205	-0.8667797	0	-3.5460147	0.8667797	0.8667797	-4.1589205	0	-0.8667797	0.0032209656	0.0076430357	0.0032209656	0.0032209656	0.4114840225	1	0.0076430357	0.4114840225	0.4114840225	0.0032209656	1	0.4114840225	0.086470538	0.16365949889	0.09367641617	0.086470538	0.96986823178	1	0.16365949889	0.96986823178	1	0.09367641617	1	1	6.5895175	0.0150666601
DDX17	-0.450076	4.94528513	5.9934151	4.18642927	-4.94528513	1.04812997	-0.75885585	-5.9934151	-1.04812997	-1.80698582	-4.18642927	0.75885585	1.80698582	1.87734	2.2752334	1.5892615	-1.87734	0.5627062	-0.4074046	-2.2752334	-0.5627062	-0.9701108	-1.5892615	0.4074046	0.9701108	0.0975730682	0.0526935106	0.1509407182	0.0975730682	0.5891620774	0.6944712043	0.0526935106	0.5891620774	0.3606045832	0.1509407182	0.6944712043	0.3606045832	0.47961972964	0.36955374197	0.73164320359	0.47961972964	0.98347640088	1	0.36955374197	0.98347640088	1	0.73164320359	1	1	1.781659	0.228841417
DDX21	-2.1804596	4.51142619	4.01628391	5.28540222	-4.51142619	-0.49514228	0.77397603	-4.01628391	0.49514228	1.26911831	-5.28540222	-0.77397603	-1.26911831	2.7518123	2.4497928	3.2239106	-2.7518123	-0.42712	0.6676479	-2.4497928	0.42712	1.0947679	-3.2239106	-0.6676479	-1.0947679	0.025162024	0.0401614457	0.0122866382	0.025162024	0.6806355946	0.5232817012	0.0401614457	0.6806355946	0.3057060149	0.0122866382	0.5232817012	0.3057060149	0.25667377492	0.32596150111	0.23178576868	0.25667377492	0.99268824044	0.97935209382	0.32596150111	0.99268824044	1	0.23178576868	0.97935209382	1	3.5610145	0.0674260996
DDX39B	-0.8683386	4.33567576	3.18253188	2.27755212	-4.33567576	-1.15314387	-2.05812364	-3.18253188	1.15314387	-0.90497976	-2.27755212	2.05812364	0.90497976	1.7322801	1.2715519	0.9099754	-1.7322801	-0.6515681	-1.1629145	-1.2715519	0.6515681	-0.5113464	-0.9099754	1.1629145	0.5113464	0.1217367173	0.2395042603	0.3896172026	0.1217367173	0.5330770536	0.2786136113	0.2395042603	0.5330770536	0.6230181242	0.3896172026	0.2786136113	0.6230181242	0.52777781777	0.64051330919	0.84047382362	0.52777781777	0.96986823178	0.9429959267	0.64051330919	0.96986823178	1	0.84047382362	0.9429959267	1	1.1337697	0.3923622846
DDX3X	1.4123914	3.57656822	2.13495303	1.84074724	-3.57656822	-1.44161519	-1.73582098	-2.13495303	1.44161519	-0.29420579	-1.84074724	1.73582098	0.29420579	1.6398647	0.9788808	0.8439868	-1.6398647	-0.9347723	-1.1255413	-0.9788808	0.9347723	-0.190769	-0.8439868	1.1255413	0.190769	0.139940721	0.3565120408	0.4233685511	0.139940721	0.3774524706	0.2932212684	0.3565120408	0.3774524706	0.8534930172	0.4233685511	0.2932212684	0.8534930172	0.56766896742	0.75309497293	0.85024860792	0.56766896742	0.96986823178	0.9429959267	0.75309497293	0.96986823178	1	0.85024860792	0.9429959267	1	1.0166974	0.4349233867
DDX5	1.3120661	4.83412185	3.8416952	1.96603059	-4.83412185	-0.99242664	-2.86809125	-3.8416952	0.99242664	-1.87566461	-1.96603059	2.86809125	1.87566461	2.5047115	1.9905039	1.0186627	-2.5047115	-0.7271994	-2.1015905	-1.9905039	0.7271994	-1.374391	-1.0186627	2.1015905	1.374391	0.0368766259	0.0819716136	0.3383881838	0.0368766259	0.4879835142	0.0690195224	0.0819716136	0.4879835142	0.2068517816	0.3383881838	0.0690195224	0.2068517816	0.30378650523	0.45354402233	0.84005331988	0.30378650523	0.96986823178	0.94046537353	0.45354402233	0.96986823178	1	0.84005331988	0.94046537353	1	2.870005	0.1041224393
DEFA1B	-0.9985511	1.23819926	2.25069083	2.09985343	-1.23819926	1.01249157	0.86165417	-2.25069083	-1.01249157	-0.1508374	-2.09985343	-0.86165417	0.1508374	0.4080737	0.7417608	0.6920493	-0.4080737	0.4719049	0.4016022	-0.7417608	-0.4719049	-0.0703027	-0.6920493	-0.4016022	0.0703027	0.6939995875	0.479590847	0.5086302786	0.6939995875	0.6496883201	0.6985667653	0.479590847	0.6496883201	0.9456907379	0.5086302786	0.6985667653	0.9456907379	0.88878131968	0.8410914855	0.85024860792	0.88878131968	0.99268824044	1	0.8410914855	0.99268824044	1	0.85024860792	1	1	0.2372063	0.8680151967
DHX9	-0.6756552	6.47647185	8.49126989	6.27665116	-6.47647185	2.01479804	-0.19982069	-8.49126989	-2.01479804	-2.21461873	-6.27665116	0.19982069	2.21461873	2.0388675	2.673149	1.9759616	-2.0388675	0.8970095	-0.0889623	-2.673149	-0.8970095	-0.9859718	-1.9759616	0.0889623	0.9859718	0.076065233	0.0284072777	0.0838328866	0.076065233	0.39609064	0.9313143634	0.0284072777	0.39609064	0.3532287472	0.0838328866	0.9313143634	0.3532287472	0.43716396592	0.26464663889	0.58266484034	0.43716396592	0.96986823178	1	0.26464663889	0.96986823178	1	0.58266484034	1	1	2.3845535	0.1454301122
DIAPH1	-2.1138463	0	-4.02693918	0	0	-4.02693918	0	4.02693918	4.02693918	4.02693918	0	0	-4.02693918	0	-5.6330019	0	0	-7.9662677	0	5.6330019	7.9662677	7.9662677	0	0	-7.9662677	1	0.0005040448	1	1	4.69001e-05	1	0.0005040448	4.69001e-05	4.69001e-05	1	1	4.69001e-05	1	0.02520636377	1	1	0.01304468377	1	0.02520636377	0.01304468377	0.03273626851	1	1	0.03273626851	29.6153295	0.0001156193
DLST	-1.4419658	-2.35893853	-1.56681324	-2.34078927	2.35893853	0.79212529	0.01814926	1.56681324	-0.79212529	-0.77397603	2.34078927	-0.01814926	0.77397603	-0.9445998	-0.6274057	-0.9373322	0.9445998	0.4485802	0.0102779	0.6274057	-0.4485802	-0.4383023	0.9373322	-0.0102779	0.4383023	0.3727096183	0.548003142	0.3762127674	0.3727096183	0.6657208639	0.9920530416	0.548003142	0.6657208639	0.672844752	0.3762127674	0.9920530416	0.672844752	0.77657108533	0.8476958493	0.84005331988	0.77657108533	0.99268824044	1	0.8476958493	0.99268824044	1	0.84005331988	1	1	0.3672875	0.778789525
DNAJA1	-1.7411926	-2.60245164	-1.33333333	-1.33333333	2.60245164	1.26911831	1.26911831	1.33333333	-1.26911831	0	1.33333333	-1.26911831	0	-1.085091	-0.5559327	-0.5559327	1.085091	0.7483428	0.7483428	0.5559327	-0.7483428	0	0.5559327	-0.7483428	0	0.3097181483	0.5935686636	0.5935686636	0.3097181483	0.4758283452	0.4758283452	0.5935686636	0.4758283452	1	0.5935686636	0.4758283452	1	0.71598468686	0.8476958493	0.86169969675	0.71598468686	0.96986823178	0.97691592331	0.8476958493	0.96986823178	1	0.86169969675	0.97691592331	1	0.4634128	0.7157092482
DPM3	-1.2209439	-3.45653245	0	-3.54674831	3.45653245	3.45653245	-0.09021586	0	-3.45653245	-3.54674831	3.54674831	0.09021586	3.54674831	-1.5434397	0	-1.5837236	1.5434397	2.1827533	-0.0569701	0	-2.1827533	-2.2397234	1.5837236	0.0569701	2.2397234	0.1615749902	1	0.1521912687	0.1615749902	0.0608456632	0.9559762638	1	0.0608456632	0.0556868484	0.1521912687	0.9559762638	0.0556868484	0.59046776524	1	0.73261727961	0.59046776524	0.91076806248	1	1	0.91076806248	1	0.73261727961	1	1	2.6088553	0.1242263413
DPP6	-2.4657039	-1.79743914	0	-1.05664167	1.79743914	1.79743914	0.74079747	0	-1.79743914	-1.05664167	1.05664167	-0.74079747	1.05664167	-0.899001	0	-0.5284863	0.899001	1.2713794	0.523987	0	-1.2713794	-0.7473925	0.5284863	-0.523987	0.7473925	0.3950913002	1	0.611607218	0.3950913002	0.2395624994	0.6145919125	1	0.2395624994	0.4763703973	0.611607218	0.6145919125	0.4763703973	0.78130205972	1	0.87220069313	0.78130205972	0.96986823178	1	1	0.96986823178	1	0.87220069313	1	1	0.6349128	0.6132803652
DPY30	-2.1605031	-0.77397603	-1.68146471	-1.41597584	0.77397603	-0.90748867	-0.64199981	1.68146471	0.90748867	0.26548887	1.41597584	0.64199981	-0.26548887	-0.3177531	-0.6903193	-0.5813238	0.3177531	-0.5268882	-0.3727453	0.6903193	0.5268882	0.1541429	0.5813238	0.3727453	-0.1541429	0.7588660706	0.5096605201	0.5771441636	0.7588660706	0.6126664689	0.7190893772	0.5096605201	0.6126664689	0.8813420773	0.5771441636	0.7190893772	0.8813420773	0.92119742132	0.84169124448	0.86169969675	0.92119742132	0.98347640088	1	0.84169124448	0.98347640088	1	0.86169969675	1	1	0.2101214	0.8865997577
DPYSL2	4.4807303	-2.83381758	-2.77310701	-2.90884508	2.83381758	0.06071057	-0.07502751	2.77310701	-0.06071057	-0.13573807	2.90884508	0.07502751	0.13573807	-3.8570457	-3.7744139	-3.959164	3.8570457	0.116859	-0.144417	3.7744139	-0.116859	-0.261276	3.959164	0.144417	0.261276	0.0048967057	0.0055042629	0.0042434495	0.0048967057	0.9098729088	0.8887686897	0.0055042629	0.9098729088	0.8005274714	0.0042434495	0.8887686897	0.8005274714	0.11322996603	0.13248191395	0.11392029871	0.11322996603	1	1	0.13248191395	1	1	0.11392029871	1	1	5.9936198	0.0194309767
DPYSL3	2.2769414	-5.43598262	-6.54584882	-6.68106696	5.43598262	-1.1098662	-1.24508434	6.54584882	1.1098662	-0.13521814	6.68106696	1.24508434	0.13521814	-5.0167772	-6.0410541	-6.1658446	5.0167772	-1.4485463	-1.6250268	6.0410541	1.4485463	-0.1764805	6.1658446	1.6250268	0.1764805	0.0010538902	0.0003180339	0.0002774191	0.0010538902	0.1857679294	0.1430875121	0.0003180339	0.1857679294	0.8643337826	0.0002774191	0.1430875121	0.8643337826	0.04597596044	0.02459902432	0.02420481656	0.04597596044	0.96986823178	0.9429959267	0.02459902432	0.96986823178	1	0.02420481656	0.9429959267	1	14.244699	0.0014607374
DPYSL4	-2.6879431	-1.05664167	-1.05664167	0	1.05664167	0	1.05664167	1.05664167	0	1.05664167	0	-1.05664167	-1.05664167	-0.6417207	-0.6417207	0	0.6417207	0	0.9075301	0.6417207	0	0.9075301	0	-0.9075301	-0.9075301	0.539130356	0.539130356	1	0.539130356	1	0.390832115	0.539130356	1	0.390832115	1	0.390832115	0.390832115	0.82890910273	0.8476958493	1	0.82890910273	1	0.95133964463	0.8476958493	1	1	1	0.95133964463	1	0.4392592	0.7312203672
DPYSL5	-0.8260873	-1.72330833	-1.91829583	-4.67786502	1.72330833	-0.1949875	-2.95455669	1.91829583	0.1949875	-2.75956919	4.67786502	2.95455669	2.75956919	-0.6354722	-0.7073741	-1.7249687	0.6354722	-0.1016846	-1.5407808	0.7073741	0.1016846	-1.4390962	1.7249687	1.5407808	1.4390962	0.5429927289	0.4995616966	0.1230925175	0.5429927289	0.9215274057	0.1622123792	0.4995616966	0.9215274057	0.1883452361	0.1230925175	0.1622123792	0.1883452361	0.82890910273	0.84169124448	0.68734861752	0.82890910273	1	0.9429959267	0.84169124448	1	1	0.68734861752	0.9429959267	1	1.4083646	0.3101461905
DSG1	3.4223643	0.65894359	1.06377843	0.11170582	-0.65894359	0.40483484	-0.54723777	-1.06377843	-0.40483484	-0.95207261	-0.11170582	0.54723777	0.95207261	0.4402589	0.7107405	0.0746338	-0.4402589	0.3825188	-0.5170719	-0.7107405	-0.3825188	-0.8995907	-0.0746338	0.5170719	0.8995907	0.6714858495	0.4975834165	0.9423517162	0.6714858495	0.7121103172	0.6191940547	0.4975834165	0.7121103172	0.3947957671	0.9423517162	0.6191940547	0.3947957671	0.87280656041	0.84169124448	1	0.87280656041	0.99268824044	1	0.84169124448	0.99268824044	1	1	1	1	0.3385295	0.79827301
DSTN	-1.1343791	-2.9639279	-3.13291456	-1.1949875	2.9639279	-0.16898666	1.7689404	3.13291456	0.16898666	1.93792706	1.1949875	-1.7689404	-1.93792706	-1.1538298	-1.2196148	-0.4651976	1.1538298	-0.093034	0.973873	1.2196148	0.093034	1.066907	0.4651976	-0.973873	-1.066907	0.2821089836	0.2575899911	0.6542792694	0.2821089836	0.9281806898	0.3588446524	0.2575899911	0.9281806898	0.3173698351	0.6542792694	0.3588446524	0.3173698351	0.69102003264	0.66349226597	0.88505218996	0.69102003264	1	0.9429959267	0.66349226597	1	1	0.88505218996	0.9429959267	1	0.8237672	0.5168673914
DUT	-1.2018829	-2.75246261	-3.5403787	-0.77397603	2.75246261	-0.78791609	1.97848658	3.5403787	0.78791609	2.76640267	0.77397603	-1.97848658	-2.76640267	-1.3334686	-1.7151855	-0.3749634	1.3334686	-0.5398292	1.3555311	1.7151855	0.5398292	1.8953602	0.3749634	-1.3555311	-1.8953602	0.2193556392	0.1249287432	0.7175029564	0.2193556392	0.6041170644	0.2125357547	0.1249287432	0.6041170644	0.0949109417	0.7175029564	0.2125357547	0.0949109417	0.65153291983	0.50697827194	0.92634309261	0.65153291983	0.98347640088	0.9429959267	0.50697827194	0.98347640088	1	0.92634309261	0.9429959267	1	1.7923337	0.2269215533
DYNC1H1	-1.4803358	-1.10730936	-3.0786714	-1.95266033	1.10730936	-1.97136203	-0.84535097	3.0786714	1.97136203	1.12601107	1.95266033	0.84535097	-1.12601107	-0.3769581	-1.048063	-0.6647384	0.3769581	-0.9490858	-0.4069829	1.048063	0.9490858	0.5421029	0.6647384	0.4069829	-0.5421029	0.7160776077	0.3254549245	0.525045833	0.7160776077	0.3705593885	0.6947684992	0.3254549245	0.3705593885	0.6026215733	0.525045833	0.6947684992	0.6026215733	0.89896073771	0.74081098833	0.85024860792	0.89896073771	0.96986823178	1	0.74081098833	0.96986823178	1	0.85024860792	1	1	0.4963763	0.6949499129
DYNC1I2	-2.3434646	3.12319912	4.39231742	3.86399659	-3.12319912	1.26911831	0.74079747	-4.39231742	-1.26911831	-0.52832083	-3.86399659	-0.74079747	0.52832083	2.0306658	2.855831	2.5123232	-2.0306658	1.1669598	0.6811665	-2.855831	-1.1669598	-0.4857933	-2.5123232	-0.6811665	0.4857933	0.0770368848	0.0214476626	0.0364433516	0.0770368848	0.2770685499	0.5151327249	0.0214476626	0.2770685499	0.6402327512	0.0364433516	0.5151327249	0.6402327512	0.43716396592	0.22682528006	0.43114337987	0.43716396592	0.96986823178	0.97935209382	0.22682528006	0.96986823178	1	0.43114337987	0.97935209382	1	2.8911745	0.1026751653
DYNLL1	1.6229013	-0.52788085	0.35612259	-0.46138148	0.52788085	0.88400344	0.06649937	-0.35612259	-0.88400344	-0.81750407	0.46138148	-0.06649937	0.81750407	-0.5220328	0.3521773	-0.4562701	0.5220328	1.2363197	0.0930024	-0.3521773	-1.2363197	-1.1433173	0.4562701	-0.0930024	1.1433173	0.6158906566	0.7338678943	0.6604143014	0.6158906566	0.2516524913	0.9282049433	0.7338678943	0.2516524913	0.2861980661	0.6604143014	0.9282049433	0.2861980661	0.84779947211	0.91635025081	0.8892850153	0.84779947211	0.96986823178	1	0.91635025081	0.96986823178	1	0.8892850153	1	1	0.6494926	0.6052267248
DYNLRB1	-1.6300115	2.11328333	1.3393073	1.47410405	-2.11328333	-0.77397603	-0.63917928	-1.3393073	0.77397603	0.13479675	-1.47410405	0.63917928	-0.13479675	0.8790159	0.5570822	0.6131506	-0.8790159	-0.4552831	-0.3759903	-0.5570822	0.4552831	0.0792927	-0.6131506	0.3759903	-0.0792927	0.4052025009	0.5928196068	0.5569241576	0.4052025009	0.6610942663	0.7167689741	0.5928196068	0.6610942663	0.9387613269	0.5569241576	0.7167689741	0.9387613269	0.78130205972	0.8476958493	0.85624022475	0.78130205972	0.99268824044	1	0.8476958493	0.99268824044	1	0.85624022475	1	1	0.2655162	0.8484754181
DYNLT1	-2.0926959	3.05294001	4.24792751	2.76145031	-3.05294001	1.1949875	-0.29148971	-4.24792751	-1.1949875	-1.48647721	-2.76145031	0.29148971	1.48647721	1.5029577	2.0912483	1.3594578	-1.5029577	0.8319685	-0.2029396	-2.0912483	-0.8319685	-1.034908	-1.3594578	0.2029396	1.034908	0.1715278228	0.070135653	0.2113413077	0.1715278228	0.4297311912	0.8442850812	0.070135653	0.4297311912	0.3311936414	0.2113413077	0.8442850812	0.3311936414	0.60603720479	0.41487021884	0.75077574638	0.60603720479	0.96986823178	1	0.41487021884	0.96986823178	1	0.75077574638	1	1	1.4915884	0.2893623113
ECH1	-1.0283206	0.75511486	-1.56666525	0.90595226	-0.75511486	-2.3217801	0.1508374	1.56666525	2.3217801	2.4726175	-0.90595226	-0.1508374	-2.4726175	0.3348796	-0.6947873	0.4017732	-0.3348796	-1.4561688	0.0946019	0.6947873	1.4561688	1.5507706	-0.4017732	-0.0946019	-1.5507706	0.7463891586	0.507002511	0.6984459063	0.7463891586	0.1837118221	0.9269743507	0.507002511	0.1837118221	0.1598292879	0.6984459063	0.9269743507	0.1598292879	0.91654304754	0.84169124448	0.91294989251	0.91654304754	0.96986823178	1	0.84169124448	0.96986823178	1	0.91294989251	1	1	1.0076927	0.4384087668
ECHS1	-1.7141631	-1.74930917	-2.6741226	-0.93578497	1.74930917	-0.92481343	0.8135242	2.6741226	0.92481343	1.73833763	0.93578497	-0.8135242	-1.73833763	-0.6921875	-1.0581287	-0.3702825	0.6921875	-0.517519	0.4552423	1.0581287	0.517519	0.9727613	0.3702825	-0.4552423	-0.9727613	0.5085480496	0.32111642	0.7208524228	0.5085480496	0.6188959521	0.661122346	0.32111642	0.6188959521	0.3593640013	0.7208524228	0.661122346	0.3593640013	0.82890910273	0.7386444122	0.92662060983	0.82890910273	0.98347640088	1	0.7386444122	0.98347640088	1	0.92662060983	1	1	0.5157164	0.6829993023
ECI1	-2.4879431	-2.25162917	-0.52832083	0	2.25162917	1.72330833	2.25162917	0.52832083	-1.72330833	0.52832083	0	-2.25162917	-0.52832083	-1.2791233	-0.3001327	0	1.2791233	1.3845018	1.8089536	0.3001327	-1.3845018	0.4244517	0	-1.8089536	-0.4244517	0.2369590717	0.77178177	1	0.2369590717	0.2038592625	0.1083371647	0.77178177	0.2038592625	0.6825007688	1	0.1083371647	0.6825007688	0.67445914748	0.93902081735	1	0.67445914748	0.96986823178	0.94046537353	0.93902081735	0.96986823178	1	1	0.94046537353	1	1.3040283	0.3387541297
EEF1A1	4.3303091	0.23761844	0.35089662	0.3594874	-0.23761844	0.11327818	0.12186895	-0.35089662	-0.11327818	0.00859078	-0.3594874	-0.12186895	-0.00859078	0.2395744	0.353785	0.3624465	-0.2395744	0.1615182	0.1737674	-0.353785	-0.1615182	0.0122492	-0.3624465	-0.1737674	-0.0122492	0.8167274884	0.7327083291	0.7264739761	0.8167274884	0.8757186251	0.8663957422	0.7327083291	0.8757186251	0.9905289101	0.7264739761	0.8663957422	0.9905289101	0.9418789889	0.91635025081	0.92744733482	0.9418789889	1	1	0.91635025081	1	1	0.92744733482	1	1	0.0531436	0.9826895434
