Gene.ID	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10
ENSG00000207616	0	0	0	0	0	0	0	0	0	0
ENSG00000207810	0	6.56	0	0	0	0	0	0	0	0
ENSG00000283540	0	0	0	0	5.05	0	0	0	0	0.45
ENSG00000207615	0	0	0	0	0	0	0	0	0	0
ENSG00000207788	0	0	0	0	0	0	0	0	0	0
ENSG00000221421	0	2.19	0	0	0	0	0	0	0	0
ENSG00000207594	0	0	2.04	0	0	0	1.51	0	0	0
ENSG00000207580	0	0	0	0	0	0	0.76	0.58	0	0
ENSG00000207825	0	0	0	0	0	0	0	0	0	0
ENSG00000207711	0	0	0	0	7.57	0	0	0	0	0
ENSG00000283455	0	4.38	0	0	0	0	0	0	0	0
ENSG00000207706	0	0	0	0	0	78.93	1.51	0	0	0.45
ENSG00000207722	0	0	0	0	2.52	0	0	0	0	0.9
ENSG00000207862	0	0	0	0	0	0	0	0	0	0.45
ENSG00000207629	0	0	0	0	0	0	0	0	0	0
ENSG00000207738	0	0	0	0	10.09	0	0	2.88	0	3.14
ENSG00000283490	0	0	0	0	0	0	0	0	0	0
ENSG00000283289	0	2.19	0	0	0	0	0	0	0	0
ENSG00000207734	0	6.56	0	0	0	0	0	0.58	0	0
ENSG00000207981	0	0	0	0	0	0	1.51	0.58	4.09	0
ENSG00000207549	0	0	0	0	0	0	0	0	0	1.35
ENSG00000251843	0	0	0	0	0	0	0	0	0	0
ENSG00000207735	0	0	0	0	0	38.27	0	0	0.58	0
ENSG00000207837	2.73	13.13	0	0	15.14	0	2.27	3.45	1.17	2.69
ENSG00000207799	0	0	0	0	7.57	0	0	0.58	2.34	0
ENSG00000207925	0	0	0	0	0	0	0	0	0	0
ENSG00000211532	0	4.38	0	0	0	7.18	0	0.58	1.75	0
ENSG00000207987	0	0	0	0	0	0	0	1.73	0	0
ENSG00000207803	0	0	0	0	0	0	0	0	0	0
ENSG00000252734	0	0	0	28.3	0	0	0.76	1.73	0	0
ENSG00000283330	0	4.38	0.68	0	0	0	0	0	0	0
ENSG00000207946	0	0	0	0	0	4.78	0	0	0	0
ENSG00000207699	0	0	0	0	0	0	0	0	0	0
ENSG00000207838	0	4.38	0.68	0	0	0	0.76	1.15	0	0.45
ENSG00000207861	0	0	0	0	2.52	0	0	0	0	0.45
ENSG00000252025	0	0	0	0	0	2.39	0	0	0	0
ENSG00000207634	0	4.38	0	20.22	0	0	0	0	1.17	1.35
ENSG00000252191	0	4.38	0	0	0	0	0	0	0	0
ENSG00000283685	0	0	1.36	0	0	0	0	0	0	0
ENSG00000207992	0	6.56	0	0	0	0	0	0	0	0.9
ENSG00000207979	0	0	0	0	0	0	0	0	0	0
ENSG00000207767	0	0	0	0	0	0	0	0	0	0
ENSG00000221548	0	0	0.68	0	0	0	0	0.58	0	0.45
ENSG00000252063	0	0	0	0	0	0	0	0	0	0
ENSG00000207620	0	2.19	0	36.39	2.52	7.18	0	2.3	2.34	1.35
ENSG00000269842	0.55	26.25	8.86	8.09	45.41	2.39	3.02	20.14	10.52	8.97
ENSG00000284362	0	0	0	0	0	0	0	0	0	0
ENSG00000079313	159.67	341.31	222.1	893.57	610.52	923.22	204.78	272.69	189.87	116.21
ENSG00000267007	0	0	0	0	0	0	0	0	0	0
ENSG00000284216	0	0	0	0	0	0	0	0	0	0
ENSG00000267244	6.56	50.32	5.45	0	10.09	40.66	13.6	3.45	15.19	3.59
ENSG00000267125	0	0	0	0	0	0	0	0	0	0
ENSG00000129911	47.02	59.07	69.49	20.22	83.25	26.31	111.08	130.59	89.39	29.16
ENSG00000267141	0	28.44	0	0	0	0	0	1.73	1.17	0
ENSG00000267232	0	0	0	0	0	0	0	0	0	0
ENSG00000129968	129.04	190.35	165.55	727.79	681.16	978.23	215.36	226.67	173.52	94.67
ENSG00000213638	7.66	24.07	11.58	97.04	40.37	2.39	15.11	11.51	11.1	8.08
ENSG00000133275	355.97	301.93	425.13	1560.71	1248.8	1602.48	429.22	545.38	496.59	274.59
ENSG00000180846	2.19	8.75	2.04	68.74	0	21.53	1.51	3.45	2.34	2.69
ENSG00000267283	0	0	0	0	0	0	0	1.73	0	0
ENSG00000279426	0	21.88	0	121.3	5.05	0	0.76	6.33	0	0.9
ENSG00000181786	0	6.56	0	0	15.14	0	0	0.58	0	0
ENSG00000269244	0.55	19.69	4.09	28.3	0	0	0.76	2.3	0	4.94
ENSG00000286880	2.19	24.07	0	0	10.09	0	0	3.45	1.17	2.24
ENSG00000130332	94.6	124.71	134.9	283.03	418.79	562.07	167.76	127.14	167.09	103.64
ENSG00000099800	721.23	159.72	1002.86	772.27	1488.47	1911.02	1014.1	549.41	1114.71	502.51
ENSG00000176619	643.04	1745.94	867.97	4690.21	2202.43	2238.7	729.97	996.42	751.32	440.15
ENSG00000283728	0	0	0	0	0	0	0	0	0	0
ENSG00000267201	0	0	0	24.26	10.09	0	2.27	1.15	0	0
ENSG00000099860	76.55	146.59	105.6	64.69	27.75	14.35	126.95	98.95	129.7	6.28
ENSG00000267522	0	13.13	0.68	16.17	2.52	14.35	0.76	3.45	0	1.35
ENSG00000142409	136.15	496.65	215.29	1018.91	696.3	1229.37	238.79	324.47	217.92	101.85
ENSG00000279959	0	0	0.68	0	0	0	0.76	0.58	0	0
ENSG00000167685	197.94	304.12	380.84	1055.3	1052.02	827.55	394.46	360.71	293.87	179.92
ENSG00000279794	6.01	8.75	6.81	28.3	0	16.74	2.27	6.33	4.67	6.28
ENSG00000197487	0	37.19	6.13	97.04	5.05	74.14	0	5.75	1.17	3.59
ENSG00000224543	2.73	6.56	6.13	60.65	0	43.05	6.05	11.51	5.26	1.35
ENSG00000099797	399.71	102.83	549.8	1629.44	1168.07	937.57	550.12	546.53	515.29	313.62
ENSG00000283822	0	0	0	0	0	0	0	0	0	0
ENSG00000099795	444	428.83	545.71	428.59	1420.35	2819.9	705.79	430.9	614.02	504.76
ENSG00000243488	1.09	0	0	0	0	0	0.76	2.88	0	1.79
ENSG00000243066	0	4.38	0.68	0	0	0	0	4.03	0	2.24
ENSG00000105429	1100.71	1881.59	1212.7	6942.32	3622.78	5570.43	1308.05	1656.86	1176.05	632.63
ENSG00000277533	0	0	0	0	0	0	0	0	0	0
ENSG00000105427	7.66	28.44	12.26	56.61	2.52	0	21.16	24.74	14.61	6.28
ENSG00000079435	46.48	85.33	68.81	274.94	269.94	198.52	27.2	52.35	30.96	49.8
ENSG00000268605	0	0	0	0	0	0	0	0	0	0
ENSG00000189377	3.83	59.07	2.04	0	42.89	4.78	14.36	16.68	2.92	6.73
ENSG00000253048	0	6.56	0	0	0	0	0.76	1.73	0	0.45
ENSG00000269374	0	0	0	0	0	0	0.76	0	0	0
ENSG00000079385	7.66	102.83	13.63	109.17	25.23	38.27	22.67	40.85	38.56	11.67
ENSG00000230558	0	13.13	0	0	0	0	0	1.73	2.34	1.79
ENSG00000124469	3.83	19.69	2.73	48.52	25.23	2.39	1.51	10.36	1.75	8.08
ENSG00000233681	1.09	15.32	0	20.22	17.66	0	1.51	3.45	1.17	6.73
ENSG00000132002	768.8	1015.19	947.68	2616.01	2124.22	3130.83	1054.91	1266.81	1362.42	492.64
ENSG00000076826	258.64	470.4	401.96	1055.3	946.06	2056.92	216.12	279.02	197.47	163.32
ENSG00000273657	0	0	0.68	0	0	0	0	6.9	0	0
ENSG00000076924	240.59	470.4	282.05	1285.76	1072.2	1516.38	293.95	360.14	302.63	157.48
ENSG00000174788	1.09	8.75	0.68	32.35	25.23	0	1.51	1.73	6.43	0.9
ENSG00000268204	0	8.75	0.68	0	5.05	16.74	0	2.88	0.58	0.9
ENSG00000269228	0.55	15.32	5.45	28.3	17.66	4.78	3.02	6.33	4.67	2.69
ENSG00000104918	0	13.13	0	0	0	0	0	0.58	0.58	0
ENSG00000269711	0	0	0	0	0	0	0	0	0	0
ENSG00000181029	19.14	133.46	29.98	283.03	143.8	174.6	30.23	33.94	14.61	30.06
ENSG00000104921	0	43.76	0.68	0	15.14	2.39	6.05	5.75	1.75	5.38
ENSG00000242636	0	6.56	1.36	0	2.52	31.09	2.27	1.15	0.58	4.49
ENSG00000268297	1.64	4.38	0	0	10.09	19.13	1.51	0.58	0.58	0
ENSG00000269763	0	24.07	1.36	0	5.05	2.39	2.27	1.15	0.58	0.9
ENSG00000183248	568.67	343.5	1018.53	4872.16	2197.38	1604.88	559.19	667.92	424.73	360.28
ENSG00000268120	0	0	0	0	0	0	0	0	0	0
ENSG00000269153	1.09	0	4.09	0	2.52	0	0	0.58	0	0.45
ENSG00000285674	1.09	8.75	0	0	7.57	0	0	0.58	0	0.9
ENSG00000171017	0.55	17.5	1.36	0	0	83.71	2.27	12.08	3.51	2.24
ENSG00000214248	2.19	21.88	2.73	44.48	20.18	2.39	7.56	6.33	4.67	3.14
ENSG00000076984	336.83	656.37	466	1718.4	1268.98	1205.45	363.47	570.7	419.48	236.45
ENSG00000268149	0	0	0	0	0	0	0	0	0	0
ENSG00000260500	0.55	0	0	24.26	0	0	0	0	0	2.24
ENSG00000178531	367.45	157.53	716.72	683.32	1233.66	4570.67	369.52	355.53	345.86	339.2
ENSG00000269139	8.75	0	8.18	0	20.18	14.35	14.36	11.51	30.38	23.78
ENSG00000104980	405.72	702.32	495.3	3428.71	1695.34	2080.84	451.13	540.21	432.33	275.48
ENSG00000269813	0	0	0	0	0	0	0	0	0	0
ENSG00000005206	160.21	282.24	162.83	1099.77	507.09	1090.65	184.38	253.71	161.25	100.95
ENSG00000268731	0.55	2.19	0.68	0	0	0	0.76	0.58	0.58	1.35
ENSG00000213976	1.09	0	0	0	0	0	0	0	0	0
ENSG00000196268	125.22	258.17	140.35	1233.2	577.73	478.35	9.82	19.56	8.76	11.22
ENSG00000269237	0	0	0	0	0	0	0	0	0	0
ENSG00000268658	1.64	85.33	2.73	0	25.23	43.05	1.51	8.63	5.26	7.18
