Feature.ID	baseMean	log2(brain/UHR)	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm
ABCB11	1.42355527201841	-0.320143823027272	-0.21934587236617	0.826380630843967	0.879593954626126	1	3	1	1	0.84	2.43	1.25	1.17
ABCB4	8.3874542410975	-2.35318835666724	-2.51084673696543	0.0120441975269194	0.0217842279506571	13	22	1	3	10.93	17.85	1.25	3.52
ABCB5	8.8669805270364	-3.32974725632324	-3.06070414138926	0.00220817172426322	0.00442611617902371	20	20	1	1	16.82	16.23	1.25	1.17
ABCB6	411.389299809115	-0.829952553815107	-6.46078363980775	1.04162157281937e-10	3.75544457129833e-10	607	669	240	250	510.42	542.94	299.06	293.13
ABCB7	104.150334516605	-1.62424049159841	-6.22067208546345	4.95029789445505e-10	1.71927271404645e-09	173	209	41	43	145.48	169.62	51.09	50.42
ABCB8	389.013753190861	0.228606802868345	1.78342498422025	0.0745171492281077	0.116338247916699	439	428	335	360	369.15	347.35	417.44	422.11
ABCB9	211.025492320117	1.99809039345364	10.9399611997806	7.42316703140982e-28	5.02682389716901e-27	98	106	259	301	82.41	86.03	322.74	352.93
ABCC1	514.271751046733	-2.88846587284458	-20.3493154125287	4.70803467566111e-92	9.54757309172982e-91	1061	1135	94	108	892.19	921.13	117.13	126.63
ABCC10	226.337206832193	0.0676938479809017	0.405356139630982	0.685215746016044	0.768796385556045	274	261	175	209	230.41	211.82	218.07	245.06
ABCC11	5.86839661336391	0.995186621057431	1.02783617478037	0.304026896679015	0.404419554449526	4	5	11	2	3.36	4.06	13.71	2.35
ABCC12	6.99073063769462	3.47292267600511	3.05533377591082	0.00224810180536046	0.00449951520849817	1	1	7	15	0.84	0.81	8.72	17.59
ABCC13	1.22066307892648	-0.0210806190976561	-0.0141016536678546	0.98874888115114	0.990471779176035	1	2	1	1	0.84	1.62	1.25	1.17
ABCC2	201.101828722116	-6.20428776328854	-11.9520864580684	6.33154160640361e-33	4.89786841956118e-32	480	482	3	5	403.63	391.18	3.74	5.86
ABCC3	108.94712182958	-4.76322391730615	-10.459354928218	1.32756381247451e-25	8.51126351226496e-25	244	266	9	3	205.18	215.88	11.21	3.52
ABCC4	111.19010245336	-3.09023461647029	-10.1121209522453	4.88158436298014e-24	3.00315322615162e-23	230	253	20	18	193.41	205.33	24.92	21.11
ABCC5	451.685305374161	1.30895737431169	10.2158514816961	1.68394125817786e-24	1.04919523789909e-23	294	335	481	587	247.22	271.88	599.38	688.27
