Feature.ID	baseMean	log2(brain/UHR)	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm
DAPK1	350.787611830835	0.823449195108131	6.07542270392851	1.2366153606638e-09	4.19901774197552e-09	305	308	347	396	256.47	249.96	432.4	464.32
DAPK2	39.4610959222986	1.18593637258182	2.95718522286056	0.00310461560256864	0.00610303790696857	21	37	47	44	17.66	30.03	58.57	51.59
DAPK3	606.448346782774	0.522367973902258	4.8883349265934	1.01692415738371e-06	2.82269536287071e-06	607	598	552	633	510.42	485.32	687.85	742.2
DAPL1	1.43821909346141	-0.333532133772604	-0.228865555578416	0.81897341271449	0.877272322041959	3	1	1	1	2.52	0.81	1.25	1.17
DAPP1	8.23228622524951	-2.31772658578477	-2.49670078616282	0.0125354679582195	0.0225825998201772	17	17	2	2	14.3	13.8	2.49	2.35
DARC	156.929237587958	6.55817652975326	11.7871129557532	4.54867723769208e-32	3.45133380196963e-31	3	4	246	269	2.52	3.25	306.54	315.41
DARS	255.453800390543	-1.56714696775356	-9.36649273871408	7.49827662904997e-21	4.16931359362141e-20	445	481	102	111	374.2	390.36	127.1	130.15
DARS2	143.123612143523	-2.69086674078746	-10.6118616808588	2.62466541792617e-26	1.71156618374329e-25	303	298	27	36	254.79	241.85	33.64	42.21
DAXX	431.227383155229	-1.03342053420317	-7.98442881435114	1.4117446132878e-15	6.39081533411722e-15	688	716	209	260	578.54	581.08	260.44	304.85
DAZAP1	697.801540963438	-1.27922501831678	-11.6754782101964	1.70106428122247e-31	1.27392302194543e-30	1171	1224	295	380	984.69	993.36	367.6	445.56
DAZAP2	729.242703022709	0.322063262028702	3.07482275841099	0.00210627683595645	0.00423302672726505	732	839	607	737	615.54	680.91	756.38	864.14
DBC1	396.396132564247	4.74728388652025	22.8121507530377	3.47355149227998e-115	9.00189325424383e-114	35	33	627	638	29.43	26.78	781.31	748.07
DBF4	36.8875889049258	-3.10755237207439	-5.88664281114747	3.94119211240693e-09	1.29704768792742e-08	76	85	8	4	63.91	68.98	9.97	4.69
DBF4B	77.2881735820114	-0.731997918349327	-2.61118571439699	0.00902288800198877	0.0166715274962438	115	119	45	51	96.7	96.58	56.07	59.8
DBH	24.3292217925457	0.33321356364421	0.698116775968718	0.485104167506552	0.593991082993861	25	27	22	23	21.02	21.91	27.41	26.97
DBI	347.320973727445	0.386337883464497	2.84321572723219	0.0044660830064476	0.00861338648977454	348	381	328	323	292.63	309.21	408.72	378.72
DBN1	991.45336395478	-0.143440596165194	-1.64743857766677	0.0994679314420177	0.150811333643397	1252	1268	729	832	1052.8	1029.07	908.41	975.53
DBNDD1	525.018837121071	1.08686693756526	8.98578631640303	2.56890734128749e-19	1.35249807489539e-18	386	428	526	659	324.59	347.35	655.45	772.69
DBNDD2	162.50870978939	4.6640308125375	14.5495710439498	5.87704132605314e-48	6.2769837228626e-47	13	16	223	297	10.93	12.99	277.88	348.24
DBNL	626.067769296381	-0.482939057775726	-4.509371558907	6.50199453756595e-06	1.68778575455212e-05	833	936	407	458	700.47	759.63	507.16	537.01
DBP	364.114796517356	2.23578767877642	15.058909336775	3.01723616167224e-51	3.43264750402688e-50	157	151	447	550	132.02	122.55	557.01	644.88
DBR1	59.286865831923	-1.07098473651636	-3.30103097302238	0.000963302476399838	0.00201849963715331	96	99	30	33	80.73	80.35	37.38	38.69
DBT	93.2127376245619	0.804031697382034	3.14528640142289	0.00165924308451355	0.00338504096456635	78	86	104	92	65.59	69.79	129.59	107.87
DBX1	1.22799498964798	-0.0291068302141553	-0.0194900789922791	0.984450151358621	0.990471779176035	2	1	1	1	1.68	0.81	1.25	1.17
DBX2	4.92043091233735	2.93724393684169	2.47237095083369	0.0134220162976909	0.024038564543327	1	1	6	9	0.84	0.81	7.48	10.55
DCAF10	144.438408304152	-0.283879409783734	-1.35877973628424	0.174216396337688	0.248944132447078	187	197	116	99	157.25	159.88	144.55	116.08
DCAF11	549.093109214289	0.14714671620335	1.29334993995348	0.195890055599053	0.276118609678043	626	636	431	526	526.4	516.16	537.07	616.74
DCAF12	220.606462356122	-1.63019548965038	-9.00550025430228	2.14684793237651e-19	1.13374073763648e-18	407	401	82	96	342.24	325.44	102.18	112.56
DCAF12L2	12.3537872446406	2.03192446608377	2.79541932470392	0.00518324366904764	0.0099130968301452	6	5	22	11	5.05	4.06	27.41	12.9
DCAF13	103.131075681397	-2.55672923734085	-8.80890011502955	1.26379734289108e-18	6.48501566130943e-18	203	225	24	25	170.7	182.6	29.91	29.31
DCAF15	355.871976387448	-0.70771300930595	-5.2183016298607	1.80571231854387e-07	5.29657050475582e-07	530	539	221	226	445.68	437.44	275.39	264.99
DCAF16	177.658871554398	-0.796409149253731	-4.15438286429481	3.26166650298426e-05	7.91572087519349e-05	255	292	97	118	214.43	236.98	120.87	138.36
DCAF17	83.0979843655151	-0.247998792958399	-0.910940265136261	0.362326848595274	0.468377935030874	98	121	55	71	82.41	98.2	68.54	83.25
DCAF4	71.1455849638805	-0.615955566771026	-2.10598300611607	0.0352058285354293	0.0585593975516733	99	110	41	52	83.25	89.27	51.09	60.97
DCAF4L1	7.60202088686144	0.50836966807068	0.623943816810906	0.532664483009837	0.64421318756307	7	8	6	9	5.89	6.49	7.48	10.55
DCAF5	387.213058932291	0.0778851646038269	0.597660848286961	0.550066254359528	0.661608427608644	430	483	307	352	361.59	391.99	382.55	412.73
DCAF6	232.418733742439	0.918857091093833	5.60467639921327	2.08644404190355e-08	6.52446795414917e-08	193	196	236	268	162.29	159.07	294.08	314.23
DCAF7	851.28163619837	-0.858019548676337	-9.02488323602331	1.79887105211004e-19	9.53416694155397e-19	1256	1403	482	520	1056.17	1138.63	600.62	609.71
DCAF8	816.694998195242	0.691466149198763	7.48379476913956	7.22066862388323e-14	3.04481397835307e-13	747	765	811	859	628.15	620.85	1010.59	1007.19
DCAF8L1	11.8351815642291	0.755971089761024	1.11232967945597	0.265996427378183	0.360884246997365	11	10	9	16	9.25	8.12	11.21	18.76
DCAF8L2	5.49895008313486	-0.938171767815728	-0.969336631514312	0.332377258050779	0.435612526019148	7	11	2	4	5.89	8.93	2.49	4.69
DCAKD	395.346436178358	0.6099057191169	4.76906774696581	1.85080415803415e-06	5.03014669154529e-06	358	400	384	407	301.04	324.63	478.5	477.21
DCBLD1	21.6227870247249	-0.795376752449634	-1.51626381657855	0.129452657088486	0.19144859810492	28	39	11	15	23.55	31.65	13.71	17.59
DCBLD2	298.295685732521	-2.0917823836158	-12.7570644623324	2.8473024220837e-37	2.43421962574724e-36	568	603	94	93	477.63	489.38	117.13	109.04
DCC	23.0789954297254	4.80158801814223	5.4212323206088	5.91895769160789e-08	1.80173488893847e-07	1	2	26	49	0.84	1.62	32.4	57.45
DCDC1	1.32929644747812	0.812204616761749	0.548298104706253	0.58348722857444	0.684022803209098	1	1	2	1	0.84	0.81	2.49	1.17
DCDC2	36.2840533590206	-2.54154888704362	-5.26817610908592	1.37785890028647e-07	4.08440579729612e-07	68	83	9	8	57.18	67.36	11.21	9.38
DCDC2B	10.1469728950039	-0.272933977193415	-0.372268138691864	0.709693218259494	0.791126605586738	12	15	10	5	10.09	12.17	12.46	5.86
DCHS1	373.316491018184	0.321916346185145	2.45470607861967	0.0140999821164531	0.0251391751634802	409	394	327	360	343.93	319.76	407.48	422.11
DCHS2	25.5212858992911	1.72223321872695	3.43478176568541	0.000593031200474185	0.00127220474742528	17	11	36	29	14.3	8.93	44.86	34
DCI	356.360757649997	-0.934039294950469	-6.82012779013104	9.09595621146357e-12	3.47227130352117e-11	565	568	197	208	475.11	460.97	245.48	243.88
DCK	99.8819231375641	0.107359900944668	0.43535594949225	0.663304079427694	0.752422338772353	113	120	74	98	95.02	97.39	92.21	114.91
DCLK1	625.378078484777	4.0640106396061	27.973238209078	3.43939134803769e-172	1.54666908327123e-170	82	88	920	1036	68.95	71.42	1146.41	1214.73
DCLK2	299.559656951277	3.10780934438923	17.850969475358	2.84062160654348e-71	4.45093115318534e-70	70	80	436	453	58.86	64.93	543.3	531.15
DCLK3	12.0943824034188	1.86601017389959	2.58818033153832	0.0096484454809296	0.0177566495683284	3	9	14	18	2.52	7.3	17.45	21.11
DCLRE1A	67.9793759097559	-0.681220154913082	-2.26277628302119	0.0236494836365914	0.040520669945527	98	105	47	39	82.41	85.21	58.57	45.73
DCLRE1B	118.683804991829	-1.42804528918567	-5.94494573155426	2.76548460397309e-09	9.16943492012831e-09	194	226	53	53	163.13	183.41	66.04	62.14
DCLRE1C	33.9831775093821	-0.789257538713325	-1.82670761389115	0.0677437428631856	0.106713883177349	40	65	20	21	33.64	52.75	24.92	24.62
DCN	192.243925757395	-0.313736667899894	-1.68794051261781	0.0914226487684156	0.139795696906233	228	289	132	152	191.72	234.54	164.49	178.22
DCP1A	184.97171005216	-0.133976205591811	-0.738019638632122	0.460502515290243	0.568958095989283	222	247	141	151	186.68	200.46	175.7	177.05
DCP1B	71.0497620565614	-0.657269206512363	-2.24766772405705	0.0245973855669758	0.0420048000947136	98	113	46	45	82.41	91.71	57.32	52.76
DCP2	216.206878455991	-0.461545879435792	-2.72137318891591	0.00650113228811996	0.0122756142926958	291	316	146	155	244.7	256.46	181.93	181.74
DCPS	132.382982291816	-1.57066150807218	-6.75082457534538	1.47007257594391e-11	5.55166181052312e-11	217	264	52	58	182.47	214.25	64.8	68.01
DCST1	17.7123722949605	-1.49299532475686	-2.49371027547459	0.0126415682424774	0.02275649769172	30	34	6	9	25.23	27.59	7.48	10.55
DCST2	17.625852354194	-0.218157566653408	-0.388154384407349	0.69790178779524	0.780406078857272	24	22	11	16	20.18	17.85	13.71	18.76
DCT	747.498230887225	-7.17308742816244	-19.5820736950721	2.1988419802412e-85	4.1086809575784e-84	1804	1791	10	6	1516.98	1453.52	12.46	7.04
DCTD	316.193905719745	-0.838435397923754	-5.74685497003104	9.09186475497093e-09	2.91595770306958e-08	462	521	187	188	388.49	422.83	233.02	220.43
DCTN1	85.7166340606951	5.51218299418814	10.0812009742388	6.69033157200885e-24	4.09075818588082e-23	4	4	124	155	3.36	3.25	154.52	181.74
DCTN2	812.841029371963	0.702828869662439	7.43510391440499	1.04485792042679e-13	4.37685253520336e-13	716	782	832	834	602.08	634.65	1036.76	977.88
DCTN3	357.777184327791	1.02471877816419	7.38705236242144	1.50119491788107e-13	6.24988612999206e-13	269	302	360	436	226.2	245.09	448.6	511.22
DCTN4	338.610629600863	0.701925034742386	5.12693475543296	2.94497515993547e-07	8.51357408697455e-07	309	315	327	368	259.84	255.64	407.48	431.49
DCTN5	363.686357588038	-0.742944276885946	-5.52676629687077	3.26187001623686e-08	1.00873502599346e-07	535	568	221	229	449.88	460.97	275.39	268.51
DCTN6	91.4032779235665	0.777640175998037	2.97353350182811	0.00294392267412133	0.0058030359696514	74	89	82	110	62.23	72.23	102.18	128.98
DCTPP1	266.879384195743	-1.48419273078537	-8.49815909016844	1.92621002309826e-17	9.44582806377291e-17	454	500	92	141	381.77	405.78	114.64	165.32
DCUN1D1	51.553942136635	0.276835031870803	0.809022692201043	0.418502093765426	0.530342559528289	51	62	38	56	42.89	50.32	47.35	65.66
DCUN1D2	182.016687883016	1.07885332108992	5.76961261936577	7.94539649578201e-09	2.55688262802851e-08	133	150	187	223	111.84	121.74	233.02	261.47
DCUN1D3	40.666169965784	0.0687820661661831	0.182992159038179	0.854804170919701	0.903689486980189	51	45	32	37	42.89	36.52	39.88	43.38
DCUN1D4	151.683851284966	0.42642372067582	2.04149116144449	0.041202031513202	0.0677101549411774	151	162	160	127	126.98	131.47	199.38	148.91
DCUN1D5	219.246382800371	0.0724478826909396	0.427272836329971	0.669180615408274	0.756861786170286	237	281	183	189	199.29	228.05	228.04	221.61
DCX	21.9639933161162	3.1479017820961	5.08080219747612	3.75844315344451e-07	1.07849005377616e-06	5	5	30	36	4.2	4.06	37.38	42.21
DCXR	487.41066548069	0.459437879173803	3.87273583753067	0.000107620454051741	0.000249167024947933	514	479	440	495	432.22	388.74	548.28	580.4
DDA1	362.913792108683	0.471721550780434	3.52889926063144	0.000417291948356815	0.000912697187724887	372	364	324	375	312.81	295.41	403.74	439.69
DDAH1	464.97977842604	2.4533394991078	18.492512276817	2.37239862265424e-76	3.98655181979938e-75	167	180	604	700	140.43	146.08	752.65	820.76
DDAH2	319.167403802398	-1.0528828543571	-7.11149168776486	1.14795376432398e-12	4.58747405566614e-12	489	555	175	168	411.2	450.42	218.07	196.98
DDB1	1774.80188989551	-0.658810168505491	-9.4773991478335	2.60699759387699e-21	1.46847226031176e-20	2576	2687	1090	1189	2166.15	2180.69	1358.25	1394.12
DDB2	207.182424771882	-2.11297401938025	-10.6721516452645	1.37407094512149e-26	9.0098509197177e-26	414	401	69	59	348.13	325.44	85.98	69.18
DDC	11.6168116035897	-3.25567222476246	-3.45408355520806	0.000552166271983973	0.00118815688073293	23	29	1	2	19.34	23.54	1.25	2.35
DDHD1	170.986965380369	0.561465749103685	2.95535562203193	0.00312308832936527	0.006136492738476	166	168	175	162	139.59	136.34	218.07	189.95
DDHD2	341.58603149817	1.25717918608653	8.70928949358121	3.05785408482811e-18	1.54739293433361e-17	220	268	367	432	185	217.5	457.32	506.53
DDI2	35.2895696114309	-0.816239811606335	-1.92419553757608	0.0543300782737867	0.0874062925095828	65	44	21	21	54.66	35.71	26.17	24.62
DDIT3	129.971309501493	0.666071416892528	3.11036317522665	0.00186857442723175	0.00378369414038772	119	124	131	133	100.07	100.63	163.24	155.94
DDIT4	1684.23819862659	-1.71040257004942	-22.6007735278185	4.25846920033182e-113	1.08294921295069e-111	3119	3128	618	687	2622.76	2538.59	770.09	805.52
DDIT4L	12.737104866411	3.27231947303584	3.96896022474462	7.21869287677657e-05	0.000170238006325371	2	3	15	24	1.68	2.43	18.69	28.14
DDN	1033.12373283877	5.34794551302247	34.8314776719165	8.12203645134252e-266	6.95934132330799e-264	50	69	1591	1750	42.04	56	1982.55	2051.9
DDO	13.9780818991027	0.234547924462754	0.377005036417491	0.706169862097564	0.787891554743379	14	17	14	11	11.77	13.8	17.45	12.9
DDOST	1129.88813622369	-2.00533517955325	-22.3306861646236	1.86048902721309e-110	4.63829911869559e-109	2159	2222	370	375	1815.5	1803.31	461.06	439.69
DDR1	1523.87502202186	1.0193841430677	13.6114434024609	3.4241368149673e-42	3.28959244920748e-41	1187	1251	1585	1797	998.14	1015.27	1975.07	2107.01
DDR2	58.2243755922999	-0.555287565826458	-1.73172487140391	0.0833225601479773	0.128607736054432	86	82	35	43	72.32	66.55	43.61	50.42
DDRGK1	407.624529219115	0.331142565037558	2.65606972011436	0.00790572677516183	0.0147304079456488	432	442	364	388	363.27	358.71	453.58	454.94
DDTL	18.2217667119461	-0.577641011236991	-1.03449870390283	0.300903082398204	0.400920126626407	29	24	12	12	24.39	19.48	14.95	14.07
DDX1	374.785379921821	-0.341468780157417	-2.48480560766105	0.0129622195160243	0.0232932183995563	463	553	251	297	389.34	448.8	312.77	348.24
DDX10	98.3695173543595	-0.807102472004515	-3.10934088413106	0.00187505248514851	0.00379600344534854	131	173	62	56	110.16	140.4	77.26	65.66
DDX11	154.934489402616	-2.42765344233362	-10.2001365940837	1.97993845107213e-24	1.23160200184088e-23	311	323	31	49	261.52	262.14	38.63	57.45
DDX11L2	11.4764251048053	-0.433805787811186	-0.624215781926061	0.532485883727092	0.644089182262288	20	12	8	8	16.82	9.74	9.97	9.38
DDX12	41.0233524191894	-4.26027401711404	-6.58935214460938	4.41749904402919e-11	1.62942925762116e-10	90	100	3	3	75.68	81.16	3.74	3.52
DDX17	2564.98200122411	0.214046967321221	3.40001820962079	0.000673813656255375	0.0014348240646244	2773	2980	2151	2413	2331.81	2418.47	2680.37	2829.28
DDX18	204.404988362046	-1.16121730358424	-6.40164782947535	1.53708886145062e-10	5.48153436867525e-10	329	356	95	114	276.65	288.92	118.38	133.67
DDX19A	235.75414509307	-0.780157542359938	-4.74210670016745	2.11507169007144e-06	5.71733603645571e-06	352	370	139	148	296	300.28	173.21	173.53
DDX19B	62.7423414305892	-0.929390063077444	-2.84640715387994	0.00442156209886601	0.00853357896150865	84	116	40	31	70.64	94.14	49.84	36.35
DDX20	65.1325927098533	-1.19905792528962	-3.81512367241267	0.00013611474669195	0.000312362735139858	114	106	33	32	95.86	86.03	41.12	37.52
DDX21	414.104097847781	-2.66516358606559	-17.5047039645644	1.3191103619672e-68	1.98513586276425e-67	826	908	93	93	694.58	736.9	115.89	109.04
DDX23	650.976916896924	-0.591047040061987	-5.73345728611827	9.84038562439768e-09	3.14700429299416e-08	936	959	410	450	787.08	778.29	510.9	527.63
DDX24	1267.49518782108	1.19202606010964	14.8473057087191	7.24213083728788e-50	8.02796111811714e-49	890	979	1388	1533	748.4	794.53	1729.59	1797.47
DDX25	51.2121355746443	3.1066001011538	7.52319208441249	5.34547996656296e-14	2.26765655495006e-13	13	12	65	88	10.93	9.74	81	103.18
DDX26B	57.0675884614338	0.440565608230038	1.38465520369294	0.166157922830532	0.23855808046512	60	57	51	58	50.45	46.26	63.55	68.01
DDX27	316.871554222724	-1.23988476835658	-8.36375799709526	6.07514690275864e-17	2.91233478791015e-16	527	552	143	169	443.15	447.99	178.19	198.16
DDX28	107.645684922093	-1.07911211500766	-4.40479071168817	1.05886055241878e-05	2.68913824140322e-05	180	174	59	55	151.36	141.21	73.52	64.49
DDX31	93.3298659098099	-0.90473259711032	-3.44022956153055	0.000581220974040762	0.00124813562522052	140	155	59	48	117.73	125.79	73.52	56.28
DDX39	483.784359372886	-2.2277007281928	-16.6266590281621	4.46824904322197e-62	6.10596503593163e-61	927	1005	143	138	779.51	815.63	178.19	161.81
DDX3X	857.407842212913	-0.471099887218546	-5.13842238607385	2.77054579816371e-07	8.01662947561153e-07	1172	1241	566	624	985.53	1007.16	705.29	731.65
DDX3Y	216.056374545016	0.288516419019369	1.70210259919886	0.0887361367692051	0.136124096259985	233	238	179	215	195.93	193.15	223.05	252.09
DDX4	1.31089991312017	0.797366326295711	0.537133775067323	0.59117521211006	0.684022803209098	1	1	1	2	0.84	0.81	1.25	2.35
DDX41	645.847600495551	-0.485988431280185	-4.70220156364678	2.5737123868501e-06	6.91582949889288e-06	904	921	422	469	760.17	747.45	525.86	549.91
DDX42	900.009757042643	-0.336843531603832	-3.77514779999524	0.000159912819596815	0.00036438208605302	1191	1242	630	687	1001.51	1007.97	785.04	805.52
DDX43	5.2201955998606	-0.493413114095663	-0.513091122963394	0.607887580800615	0.699784408254013	7	8	4	3	5.89	6.49	4.98	3.52
DDX46	331.394395754125	-0.993966027327389	-6.66643977999151	2.62083152582678e-11	9.7790226136283e-11	485	585	188	178	407.83	474.77	234.27	208.71
DDX47	207.047408020216	-1.08681830617122	-6.1013464571577	1.05178646944829e-09	3.58742733043669e-09	340	342	108	111	285.9	277.56	134.58	130.15
DDX49	291.274041935137	-0.449429775121455	-2.96015213277526	0.0030748715982531	0.00604737464247006	423	391	186	222	355.7	317.32	231.78	260.3
DDX5	1998.0423103221	-0.231125835924715	-3.491195202138	0.000480864785453402	0.0010432329311865	2532	2694	1477	1566	2129.15	2186.37	1840.49	1836.16
DDX50	112.356533313665	-0.876130411714893	-3.68795073446312	0.000226067405579353	0.000507225075363348	163	190	62	69	137.07	154.2	77.26	80.9
DDX51	307.586609420068	0.0105121324894491	0.0714320027676331	0.943053940130232	0.973663267974233	377	365	228	284	317.02	296.22	284.11	332.99
DDX52	74.7659832621956	-1.51306224169735	-4.95426862432305	7.26028499098308e-07	2.03845226713624e-06	132	137	25	39	111	111.18	31.15	45.73
DDX53	2.6629041627345	-1.42596929044052	-1.09598423241678	0.273085674777859	0.368440010328707	4	6	1	1	3.36	4.87	1.25	1.17
DDX54	582.595935441666	-1.50737066754663	-13.0198522515946	9.43532947221122e-39	8.39863534021534e-38	1008	1081	229	273	847.62	877.31	285.36	320.1
DDX55	115.43200414315	-1.73106419597754	-6.94911409748693	3.67587172022797e-12	1.43254316456006e-11	221	209	42	46	185.84	169.62	52.34	53.94
DDX56	427.509014446717	-0.625558780304826	-5.01093448348884	5.41663550060443e-07	1.53738049078629e-06	625	631	278	278	525.56	512.1	346.42	325.96
DDX58	30.3703531905232	-0.0577608297430783	-0.131333367207596	0.895511597171076	0.938225468241254	35	40	29	20	29.43	32.46	36.14	23.45
DDX59	63.1217075489366	-0.889768215786036	-2.85630991423623	0.00428596555904103	0.00828954111480208	96	103	35	38	80.73	83.59	43.61	44.56
DDX6	696.795821080931	0.62818128132875	6.25234452641057	4.0433618957012e-10	1.41124458678951e-09	632	694	661	741	531.45	563.23	823.67	868.83
DDX60	22.0519754635288	-0.442698441292138	-0.84758891165655	0.396666951739879	0.506062961502078	25	37	11	20	21.02	30.03	13.71	23.45
DDX60L	21.2088409622272	-1.60216681159451	-2.88581557987632	0.0039040084634168	0.00758937649372657	37	41	7	10	31.11	33.27	8.72	11.73
DEAF1	948.733507245941	1.53860915837159	17.010124624417	6.90906532610343e-65	9.80046537159877e-64	577	599	1102	1237	485.2	486.13	1373.2	1450.4
DECR1	76.6199266759718	-1.02549583488714	-3.5327068311225	0.000411328331823975	0.000900378311617451	126	123	46	37	105.95	99.82	57.32	43.38
DECR2	175.660965722257	-1.11151698023394	-5.64966982782605	1.60756299864649e-08	5.07199591312879e-08	296	286	80	104	248.91	232.11	99.69	121.94
DEDD	154.279387824448	0.0343003031875404	0.172541703213012	0.863011678523632	0.910595082586894	180	189	134	124	151.36	153.39	166.98	145.39
DEDD2	257.188513694344	0.78126540738732	5.00885217487249	5.47556078394178e-07	1.55317800823353e-06	220	238	253	286	185	193.15	315.26	335.34
DEF6	118.079713388042	-2.5845570245335	-9.16456797392128	4.97458324228283e-20	2.69514447264893e-19	231	260	35	20	194.25	211.01	43.61	23.45
DEF8	608.856431054596	1.16049279024259	10.757759089441	5.44788187645196e-27	3.60953009592021e-26	434	477	696	696	364.95	387.12	867.29	816.07
DEFB1	3.92338095332014	0.659882309380443	0.594931810680926	0.551889052595923	0.663424769873587	4	3	7	1	3.36	2.43	8.72	1.17
DEFB124	1.43088718273991	-0.328792270563729	-0.226546034617635	0.820776759298746	0.877272322041959	2	2	1	1	1.68	1.62	1.25	1.17
DEFB126	1.22799498964798	-0.0291068302141553	-0.0194900789922791	0.984450151358621	0.990471779176035	2	1	1	1	1.68	0.81	1.25	1.17
DEFB133	1.22066307892648	-0.0210806190976561	-0.0141016536678546	0.98874888115114	0.990471779176035	1	2	1	1	0.84	1.62	1.25	1.17
DEGS1	199.631724859336	-0.680802606864764	-3.70453476089036	0.000211779066330586	0.000476402719931457	304	291	137	116	255.63	236.17	170.72	136.01
DEGS2	143.335658563815	2.47414725111419	10.3885744000978	2.79499375673799e-25	1.77517099301069e-24	58	47	173	231	48.77	38.14	215.58	270.85
DEK	368.892886686867	-1.61497268642352	-11.3581634226822	6.75497885387743e-30	4.85429572189106e-29	643	705	149	151	540.7	572.16	185.67	177.05
DEM1	34.4464823188262	-0.505392172092287	-1.22729896482947	0.219710244551385	0.305305593677876	52	46	22	25	43.73	37.33	27.41	29.31
DENND1A	463.577972476928	0.929672120126776	7.22197401213717	5.12382665887577e-13	2.08393052608798e-12	403	369	447	562	338.88	299.47	557.01	658.95
DENND1B	17.603723106921	-0.223290346193439	-0.388066011738203	0.697967183503504	0.780433327333862	26	20	9	18	21.86	16.23	11.21	21.11
DENND1C	32.3962925452019	-1.33571031555191	-3.00527230930417	0.00265343176465413	0.00526369580010959	52	61	16	14	43.73	49.51	19.94	16.42
DENND2A	152.934409107857	1.21205352195185	5.86030882864933	4.62007137108491e-09	1.51470178594928e-08	106	117	155	200	89.14	94.95	193.15	234.5
DENND2C	6.29816360703113	0.951401603515476	1.07131847857156	0.284026253910722	0.38184658999857	5	5	7	7	4.2	4.06	8.72	8.21
DENND2D	27.5686963174615	-1.60877015586267	-3.25533590159598	0.00113258325894925	0.00235556513795458	53	48	13	9	44.57	38.96	16.2	10.55
DENND3	215.085705318611	1.16295530703204	6.76475551669927	1.33534496451193e-11	5.05893883986178e-11	163	158	231	262	137.07	128.23	287.85	307.2
DENND4A	117.919065202192	0.541783562268425	2.36911056571885	0.0178309220930334	0.0312550497653595	119	113	123	108	100.07	91.71	153.27	126.63
DENND4B	987.823910661661	0.54200302481433	6.32223277102508	2.57810624260763e-10	9.09171986408647e-10	974	973	939	1000	819.03	789.66	1170.09	1172.52
DENND4C	106.957069145086	-0.152863523386396	-0.642091746721252	0.520813614378611	0.631537358913952	131	142	74	94	110.16	115.24	92.21	110.22
DENND5A	912.399278037068	1.29578229312934	13.4106506335985	5.2377287711812e-41	4.89111814852277e-40	611	668	973	1178	513.79	542.13	1212.46	1381.22
DENND5B	252.042499137745	1.41534852417616	8.5925955021562	8.50264441053449e-18	4.22842619548202e-17	176	156	281	327	148	126.6	350.15	383.41
DENR	161.453100428775	-0.842737516136569	-4.24009727620819	2.23422943048963e-05	5.50013099867655e-05	257	245	94	97	216.11	198.83	117.13	113.73
DEPDC1	43.1996246345103	-5.61947995450025	-5.74074155867212	9.42628552554549e-09	3.01863305163176e-08	109	97	1	1	91.66	78.72	1.25	1.17
DEPDC1B	61.4497715281295	-5.35782913857052	-7.29560170501909	2.97327273331088e-13	1.2210188672936e-12	161	130	3	1	135.38	105.5	3.74	1.17
DEPDC4	1.43088718273991	-0.328792270563729	-0.226546034617635	0.820776759298746	0.877272322041959	2	2	1	1	1.68	1.62	1.25	1.17
DEPDC5	133.604736801782	1.00460417858313	4.65676496321294	3.21216798554349e-06	8.55768339229808e-06	100	115	135	161	84.09	93.33	168.22	188.78
DEPDC6	83.3406522035635	0.144966193877816	0.532692735146434	0.594246295917083	0.687074704652003	81	111	70	75	68.11	90.08	87.23	87.94
DEPDC7	12.9463973284995	-3.04912168294611	-3.54796320519771	0.000388222451403631	0.000851564514598693	26	31	1	3	21.86	25.16	1.25	3.52
DERA	96.2326548098597	-1.87306947005006	-6.71005058129797	1.94556961722154e-11	7.30818034336257e-11	183	184	27	41	153.88	149.33	33.64	48.07
DERL1	315.705385027866	-0.726394396253972	-4.95952107637385	7.06671810065678e-07	1.98586366835121e-06	486	467	179	215	408.68	379	223.05	252.09
DERL2	57.7332924342727	-0.941443361976093	-2.85493131890264	0.00430461367363055	0.00832306986174022	96	88	35	30	80.73	71.42	43.61	35.18
DERL3	86.8930887540415	-2.45014713839596	-7.83606024832091	4.64902870310783e-15	2.05947424290911e-14	168	189	18	26	141.27	153.39	22.43	30.49
DES	57.3057252101841	1.93240734142172	5.69723143000115	1.21768585320367e-08	3.86691490812022e-08	26	31	70	81	21.86	25.16	87.23	94.97
DET1	38.3896681269599	-0.156779808767559	-0.4062266949476	0.684576041365193	0.768429535852837	50	48	30	30	42.04	38.96	37.38	35.18
DEXI	287.865417098704	1.10437794952383	7.42360421259811	1.13975412059359e-13	4.76701910332703e-13	221	221	312	339	185.84	179.36	388.78	397.48
DFFA	186.36290711511	-0.839957969677014	-4.4982932055539	6.85011821485549e-06	1.77331176759637e-05	269	311	105	116	226.2	252.4	130.84	136.01
DFFB	55.5306815800333	0.220793883244871	0.685550130970667	0.492996837932105	0.601641486568583	64	60	48	51	53.82	48.69	59.81	59.8
DFNA5	126.998770422782	0.0178468250547587	0.0810417095202469	0.935408782174055	0.96834535262666	142	164	94	118	119.41	133.1	117.13	138.36
DFNB31	456.747433942132	0.185294079719757	1.56104379449708	0.1185134180804	0.176798858028812	510	525	383	422	428.86	426.07	477.26	494.8
DFNB59	10.5724286208929	0.38906004042328	0.553948250016845	0.579614262633931	0.684022803209098	11	11	9	11	9.25	8.93	11.21	12.9
