Feature.ID	UHR_1	UHR_2	brain_1	brain_2
CCDC94	156.41	162.31	200.62	146.56
CCDC96	8.41	11.36	53.58	43.38
CCDC97	276.65	298.66	215.58	226.3
CCDC99	126.98	116.05	22.43	28.14
CCHCR1	338.04	353.03	153.27	134.84
CCIN	0.84	1.62	2.49	4.69
CCK	2.52	2.43	882.24	967.33
CCKAR	2.52	2.43	1.25	1.17
CCKBR	7.57	8.12	195.64	233.33
CCL1	2.52	3.25	2.49	1.17
CCL16	7.57	7.3	1.25	1.17
CCL17	0.84	0.81	1.25	2.35
CCL19	0.84	0.81	9.97	9.38
CCL2	37	51.13	27.41	22.28
CCL20	47.09	50.32	1.25	1.17
CCL22	2.52	4.06	1.25	1.17
CCL24	1.68	0.81	1.25	1.17
CCL25	1.68	1.62	1.25	1.17
CCL26	5.05	3.25	1.25	3.52
CCL27	1.68	1.62	3.74	5.86
CCL28	29.43	33.27	3.74	2.35
CCL3	4.2	3.25	6.23	2.35
CCL4	0.84	0.81	1.25	3.52
CCL5	19.34	20.29	3.74	7.04
CCM2	463.33	431.75	827.41	945.05
CCNA1	1.68	3.25	46.11	52.76
CCNA2	433.06	437.44	9.97	18.76
CCNB1	590.31	596.5	38.63	37.52
CCNB1IP1	248.91	258.08	100.93	87.94
CCNB2	338.04	325.44	1.25	1.17
CCNB3	4.2	3.25	6.23	8.21
CCNC	114.36	131.47	77.26	77.39
CCND1	2706.85	2688.73	322.74	381.07
CCND2	933.4	938.17	686.6	695.3
CCND3	1197.44	1276.6	685.36	681.23
CCNDBP1	115.2	124.17	225.54	259.13
CCNE1	141.27	147.71	28.66	37.52
CCNE2	47.93	66.55	23.68	25.8
CCNF	611.33	612.73	129.59	130.15
CCNG1	500.33	529.95	104.67	106.7
CCNG2	110.16	115.24	370.09	422.11
CCNH	79.04	106.32	64.8	89.11
CCNI	1289.94	1241.7	2823.67	2941.84
CCNI2	3.36	4.06	31.15	30.49
CCNJ	96.7	80.35	22.43	23.45
CCNJL	96.7	98.2	173.21	174.7
CCNK	417.08	367.64	193.15	199.33
CCNL1	286.75	264.57	189.41	146.56
CCNL2	1022.53	963.33	903.42	846.56
CCNO	71.48	60.06	57.32	45.73
CCNT1	79.89	73.85	48.6	59.8
CCNT2	155.57	152.57	206.85	185.26
CCNY	392.7	383.06	502.18	501.84
CCNYL1	78.2	97.39	38.63	42.21
CCPG1	194.25	198.83	264.17	261.47
CCR1	64.75	73.04	19.94	18.76
CCR10	84.09	66.55	59.81	65.66
CCR2	35.32	37.33	2.49	1.17
CCR3	5.05	4.06	1.25	1.17
CCR4	1.68	1.62	1.25	1.17
CCR5	1.68	0.81	6.23	4.69
CCR6	7.57	8.12	7.48	4.69
CCR7	9.25	11.36	4.98	3.52
CCR8	1.68	0.81	1.25	1.17
CCR9	49.61	64.11	2.49	1.17
CCRL2	11.77	5.68	4.98	3.52
CCRN4L	71.48	71.42	49.84	39.87
CCS	217.79	224.8	181.93	188.78
CCT2	899.76	988.49	368.85	403.35
CCT3	2484.85	2567.8	878.5	967.33
CCT4	1188.19	1197.88	497.19	494.8
CCT5	2473.92	2489.08	458.57	463.14
CCT6A	939.28	1001.48	376.32	371.69
CCT6B	2.52	4.06	7.48	4.69
CCT6P1	14.3	12.99	11.21	9.38
CCT6P3	7.57	6.49	4.98	11.73
CCT7	2256.13	2349.49	1110.28	1135
CCT8	791.28	829.42	238.01	247.4
CD101	6.73	4.06	7.48	8.21
CD109	202.66	200.46	18.69	19.93
CD14	8.41	9.74	287.85	276.71
CD151	1561.54	1684.82	355.14	348.24
CD160	3.36	4.06	29.91	28.14
CD163	0.84	0.81	105.92	98.49
CD163L1	9.25	10.55	3.74	15.24
CD164	685.33	648.44	266.67	282.58
CD164L2	2.52	1.62	2.49	3.52
CD177	5.89	4.87	4.98	4.69
CD180	5.05	9.74	2.49	5.86
CD19	4.2	7.3	1.25	2.35
CD1A	26.07	22.72	1.25	1.17
CD1B	23.55	26.78	1.25	1.17
CD1C	20.18	19.48	1.25	1.17
CD1D	39.52	34.09	4.98	2.35
CD1E	23.55	21.1	2.49	1.17
CD2	5.89	6.49	1.25	1.17
CD200	49.61	47.07	302.8	341.2
CD200R1	0.84	0.81	1.25	2.35
CD207	2.52	0.81	2.49	2.35
CD209	3.36	1.62	11.21	12.9
CD22	20.18	12.17	245.48	246.23
CD226	1.68	1.62	3.74	3.52
CD24	455.77	547.81	13.71	25.8
CD244	2.52	0.81	1.25	2.35
CD247	58.02	56	9.97	17.59
CD248	126.13	116.05	59.81	53.94
CD27	9.25	6.49	11.21	9.38
CD274	6.73	6.49	14.95	8.21
CD276	713.92	746.64	124.61	146.56
CD28	105.95	105.5	2.49	1.17
CD2AP	167.34	160.69	41.12	60.97
CD2BP2	553.31	596.5	682.86	690.61
CD300A	37	47.88	27.41	26.97
CD300C	2.52	4.87	2.49	4.69
CD300E	0.84	0.81	3.74	2.35
CD300LB	0.84	2.43	2.49	1.17
CD300LF	2.52	0.81	4.98	7.04
CD302	49.61	41.39	52.34	50.42
CD320	769.42	723.92	236.76	250.92
CD33	47.09	55.19	8.72	5.86
CD34	11.77	9.74	140.81	147.74
CD36	8.41	3.25	6.23	1.17
CD37	54.66	62.49	37.38	42.21
CD38	37.84	34.9	11.21	11.73
CD3D	219.47	218.31	1.25	1.17
CD3E	294.31	297.03	4.98	5.86
CD3EAP	33.64	31.65	17.45	17.59
CD3G	29.43	42.2	1.25	1.17
CD4	37.84	36.52	93.46	91.46
CD40	61.39	58.43	32.4	42.21
CD44	2099.72	2194.48	287.85	303.68
CD46	488.56	471.52	216.82	186.43
CD47	332.99	342.48	768.85	786.76
CD48	15.98	24.35	2.49	1.17
CD5	59.7	77.1	2.49	3.52
CD52	31.11	30.03	4.98	8.21
CD53	87.45	103.88	47.35	45.73
CD55	620.58	618.42	128.35	97.32
CD58	39.52	36.52	7.48	2.35
CD59	1203.32	1309.87	1465.42	1465.65
CD5L	1.68	0.81	2.49	1.17
CD6	85.77	81.16	14.95	24.62
CD63	2207.35	2192.05	858.56	870.01
CD68	422.13	480.45	127.1	103.18
CD69	79.04	86.03	2.49	2.35
CD7	93.34	99.01	7.48	7.04
CD70	47.93	48.69	1.25	3.52
CD72	10.93	8.93	4.98	2.35
CD74	637.4	650.07	1796.88	1843.2
CD79A	6.73	9.74	1.25	1.17
CD79B	6.73	3.25	3.74	5.86
CD80	3.36	1.62	1.25	1.17
CD81	1820.54	1731.08	2888.47	2993.43
CD82	166.5	156.63	246.73	257.95
CD83	62.23	51.94	219.31	228.64
CD84	42.04	26.78	18.69	11.73
CD86	18.5	10.55	7.48	10.55
CD8A	15.14	15.42	32.4	26.97
CD8B	100.07	103.88	2.49	3.52
CD9	573.49	574.59	529.59	495.97
CD93	1.68	4.87	119.63	107.87
CD96	23.55	21.1	1.25	2.35
CD97	512.95	523.46	117.13	132.49
CD99L2	385.97	374.13	2474.76	2389.59
CDA	53.82	44.64	12.46	21.11
CDADC1	0.84	2.43	2.49	2.35
CDAN1	157.25	187.47	113.4	131.32
CDC123	260.68	266.19	148.29	193.47
CDC14A	32.79	37.33	9.97	8.21
CDC14B	97.54	102.26	107.16	96.15
CDC14C	1.68	0.81	1.25	1.17
CDC16	330.47	339.24	196.88	209.88
CDC20	750.92	776.67	7.48	10.55
CDC23	206.86	218.31	97.2	87.94
CDC25A	281.7	267.01	11.21	8.21
CDC25B	1128.48	1115.91	705.29	711.72
CDC25C	50.45	68.17	4.98	1.17
CDC26	29.43	30.84	13.71	19.93
CDC27	205.18	242.66	133.33	172.36
CDC34	609.65	636.27	573.21	634.33
CDC37	1590.98	1525.75	1354.51	1473.85
CDC37L1	38.68	32.46	89.72	87.94
CDC40	57.18	63.3	71.03	69.18
CDC42	240.5	262.95	240.5	241.54
CDC42BPA	352.34	416.33	938.31	948.57
CDC42BPB	867.81	806.7	1886.6	1982.72
CDC42BPG	116.04	90.9	238.01	247.4
CDC42EP1	739.99	712.56	813.7	947.39
CDC42EP2	69.79	73.04	180.68	181.74
CDC42EP3	142.11	124.17	41.12	41.04
CDC42EP4	453.24	494.25	1150.15	1221.76
CDC42EP5	21.02	23.54	17.45	23.45
CDC42SE1	412.04	454.48	322.74	303.68
CDC42SE2	203.5	206.14	387.54	388.1
CDC45	453.24	421.2	4.98	2.35
CDC5L	205.18	245.91	130.84	139.53
CDC6	311.13	331.93	6.23	12.9
CDC7	104.27	96.58	48.6	48.07
CDC73	134.54	144.46	79.75	106.7
CDCA2	113.52	124.17	2.49	3.52
CDCA3	233.77	218.31	6.23	7.04
CDCA4	402.79	415.52	21.18	24.62
CDCA5	606.29	628.97	32.4	34
CDCA7	326.27	325.44	3.74	7.04
CDCA7L	222	248.34	19.94	25.8
CDCA8	420.45	463.41	7.48	11.73
CDCP1	123.61	124.98	7.48	8.21
CDCP2	1.68	2.43	3.74	2.35
CDH1	334.68	309.21	17.45	16.42
CDH10	7.57	9.74	173.21	146.56
CDH11	52.98	64.93	143.3	165.32
CDH12	7.57	6.49	24.92	35.18
CDH13	300.2	288.11	309.03	286.09
CDH15	15.14	18.67	428.66	395.14
CDH16	5.89	3.25	2.49	1.17
CDH17	0.84	0.81	2.49	1.17
CDH18	18.5	11.36	170.72	180.57
CDH19	4.2	4.87	21.18	24.62
CDH2	277.5	291.35	340.19	352.93
CDH20	0.84	2.43	225.54	216.92
CDH22	2.52	3.25	1036.76	1152.58
CDH23	15.14	12.17	348.91	377.55
CDH24	236.29	215.07	143.3	170.01
CDH26	7.57	6.49	13.71	12.9
CDH3	105.11	101.45	36.14	59.8
CDH4	29.43	33.27	97.2	117.25
CDH5	10.93	9.74	216.82	225.12
CDH6	31.95	36.52	43.61	44.56
CDH7	18.5	7.3	39.88	44.56
CDH8	5.05	4.06	89.72	75.04
CDH9	5.05	4.87	26.17	21.11
CDHR1	58.02	71.42	226.79	238.02
CDHR2	52.98	59.24	31.15	24.62
CDHR3	5.89	12.17	58.57	69.18
CDHR4	4.2	4.87	1.25	2.35
CDHR5	8.41	8.93	16.2	11.73
CDIPT	731.58	692.27	1290.96	1334.32
CDK1	223.68	241.85	2.49	2.35
CDK10	441.47	423.64	307.79	402.17
CDK11A	51.29	43.01	38.63	48.07
CDK11B	107.63	79.53	107.16	103.18
CDK12	477.63	448.8	165.73	193.47
CDK13	356.54	359.52	280.37	321.27
CDK14	89.14	90.9	467.29	500.66
CDK15	1.68	0.81	1.25	1.17
CDK16	1290.78	1281.47	1753.27	1813.88
CDK17	92.5	99.01	300.31	320.1
CDK18	325.43	319.76	1404.36	1496.13
CDK19	133.7	155.82	327.72	390.45
CDK2	806.42	889.48	26.17	31.66
CDK20	42.04	57.62	184.42	198.16
CDK2AP1	501.17	463.41	518.38	517.08
CDK2AP2	382.61	353.03	260.44	327.13
CDK3	65.59	77.1	24.92	49.25
CDK4	914.9	990.11	143.3	140.7
CDK5	138.75	107.94	269.16	291.96
CDK5R1	55.5	64.11	1692.21	1793.95
CDK5R2	9.25	7.3	948.28	979.05
CDK5RAP1	184.16	215.07	94.7	106.7
CDK5RAP2	573.49	543.75	198.13	233.33
CDK5RAP3	712.24	731.22	453.58	470.18
CDK6	817.35	878.93	93.46	93.8
CDK7	57.18	64.93	27.41	26.97
CDK8	90.82	86.03	52.34	52.76
CDK9	487.72	456.91	740.18	777.38
CDKAL1	75.68	74.66	33.64	28.14
CDKL1	5.89	4.06	17.45	21.11
CDKL2	1.68	1.62	92.21	96.15
CDKL3	5.89	5.68	9.97	17.59
CDKL5	10.09	6.49	72.27	66.83
CDKN1A	480.15	455.29	533.33	499.49
CDKN1B	322.9	349.79	852.33	836
CDKN1C	325.43	305.15	453.58	565.15
CDKN2A	264.88	241.85	24.92	15.24
CDKN2AIP	94.18	94.95	98.44	98.49
CDKN2AIPNL	90.82	86.03	93.46	107.87
CDKN2B	65.59	59.24	23.68	23.45
CDKN2BAS	11.77	4.87	2.49	5.86
CDKN2C	379.24	383.87	71.03	99.66
CDKN2D	103.43	110.37	606.85	681.23
CDKN3	93.34	72.23	4.98	8.21
CDNF	10.93	8.12	9.97	4.69
CDO1	10.93	6.49	144.55	164.15
CDON	178.27	145.27	238.01	211.05
CDR1	15.98	12.99	3061.67	3134.14
CDR2	253.95	253.21	139.56	132.49
CDR2L	243.02	246.72	1061.68	1089.27
CDRT1	5.05	3.25	1.25	1.17
CDRT15	0.84	2.43	1.25	1.17
CDRT15P	3.36	4.87	1.25	2.35
CDRT4	90.82	82.78	119.63	91.46
CDS1	37	30.84	231.78	246.23
CDS2	190.88	193.15	411.21	388.1
CDSN	10.09	9.74	2.49	2.35
CDT1	1189.87	1186.51	18.69	29.31
CDV3	910.69	957.65	403.74	389.28
CDX1	0.84	0.81	2.49	1.17
CDX2	1.68	1.62	1.25	1.17
CDYL	211.91	241.04	99.69	118.42
CDYL2	47.09	29.22	105.92	125.46
CEACAM1	140.43	136.34	2.49	3.52
CEACAM16	0.84	1.62	1.25	2.35
CEACAM19	19.34	17.85	56.07	55.11
CEACAM21	0.84	0.81	4.98	3.52
CEACAM22P	3.36	0.81	1.25	1.17
CEACAM5	29.43	46.26	1.25	1.17
CEACAM6	10.93	9.74	1.25	1.17
CEBPA	208.54	199.65	173.21	182.91
CEBPB	726.53	724.73	370.09	377.55
CEBPD	190.04	176.92	355.14	355.27
CEBPE	10.09	4.87	2.49	2.35
CEBPG	247.22	254.83	221.81	221.61
CEBPZ	229.56	253.21	98.44	86.77
CECR1	76.52	60.87	97.2	112.56
CECR2	69.79	66.55	158.25	184.09
CECR4	2.52	4.06	6.23	5.86
CECR5	486.04	462.59	171.96	199.33
CECR6	15.98	26.78	231.78	233.33
CECR7	38.68	31.65	39.88	34
CEL	22.7	21.1	28.66	38.69
CELA2A	0.84	1.62	3.74	2.35
CELA2B	0.84	0.81	3.74	5.86
CELA3A	6.73	4.06	1.25	1.17
CELF1	940.96	1016.08	1212.46	1221.76
CELF2	112.68	132.29	955.76	957.95
CELF3	3.36	1.62	1059.19	1089.27
CELF4	5.05	2.43	1191.27	1235.83
CELF5	33.64	27.59	869.78	891.11
CELF6	7.57	8.93	242.99	247.4
CELP	0.84	0.81	2.49	1.17
CELSR1	443.99	409.84	8.72	10.55
CELSR2	1192.39	1171.09	3019.31	3068.47
CELSR3	352.34	351.41	1329.59	1275.7
CEMP1	66.43	53.56	67.29	69.18
CEND1	7.57	5.68	3343.29	3463.61
CENPA	95.86	91.71	1.25	1.17
CENPB	1490.07	1451.9	1364.48	1404.67
CENPBD1	119.41	124.98	95.95	80.9
CENPC1	42.04	53.56	31.15	19.93
CENPE	112.68	110.37	2.49	4.69
CENPF	988.89	1007.16	21.18	12.9
CENPH	115.2	116.87	3.74	5.86
CENPI	38.68	35.71	2.49	1.17
CENPJ	111	120.11	87.23	58.63
CENPK	52.98	34.9	1.25	1.17
CENPL	53.82	59.24	8.72	12.9
CENPM	174.07	156.63	8.72	9.38
CENPN	234.61	218.31	27.41	43.38
CENPO	64.75	73.04	13.71	17.59
CENPP	21.86	25.97	8.72	5.86
CENPQ	29.43	27.59	8.72	8.21
CENPT	426.33	413.9	427.41	527.63
CENPV	270.77	273.5	152.02	164.15
CENPW	79.89	92.52	2.49	4.69
CEP110	163.97	178.55	64.8	38.69
CEP120	90.82	81.97	99.69	75.04
CEP135	48.77	55.19	6.23	8.21
CEP152	116.04	116.87	6.23	17.59
CEP164	246.38	272.69	289.1	255.61
CEP170	94.18	112	159.5	157.12
CEP192	171.54	192.34	100.93	85.59
CEP250	998.14	947.1	518.38	528.8
CEP290	59.7	50.32	47.35	57.45
CEP350	258.16	290.54	238.01	221.61
CEP55	132.86	142.02	1.25	1.17
CEP57	217.79	217.5	95.95	78.56
CEP63	76.52	81.16	122.12	111.39
CEP68	123.61	135.53	342.68	328.3
CEP70	40.36	42.2	37.38	43.38
CEP72	100.91	97.39	41.12	37.52
CEP76	60.54	53.56	48.6	65.66
CEP78	105.95	93.33	23.68	34
CEP97	50.45	47.88	79.75	80.9
CEPT1	107.63	111.18	79.75	87.94
CER1	0.84	1.62	2.49	1.17
CERCAM	430.54	471.52	1793.14	1774.02
CERK	485.2	512.91	859.81	853.59
CERKL	5.05	10.55	29.91	30.49
CES1	104.27	85.21	11.21	5.86
CES2	396.9	393.61	398.75	393.97
CES3	61.39	65.74	21.18	31.66
CES4	1.68	3.25	1.25	1.17
CES7	0.84	0.81	3.74	7.04
CES8	7.57	10.55	378.82	423.28
CETN2	118.57	112	107.16	111.39
CETN3	36.16	42.2	12.46	25.8
CETN4P	1.68	1.62	1.25	2.35
CETP	15.98	12.99	2.49	3.52
CFB	374.2	383.06	28.66	44.56
CFD	189.2	157.44	23.68	31.66
CFDP1	225.36	241.04	188.16	209.88
CFH	52.98	43.01	66.04	60.97
CFHR4	0.84	1.62	1.25	1.17
CFI	135.38	132.29	17.45	9.38
CFL1	4522.34	4367.05	3719.62	4061.6
CFL2	179.11	192.34	348.91	369.34
CFLAR	91.66	104.69	118.38	116.08
CFLP1	2.52	1.62	6.23	4.69
CFP	6.73	2.43	16.2	9.38
CFTR	2.52	3.25	1.25	4.69
CG030	9.25	19.48	14.95	19.93
CGA	91.66	100.63	1.25	1.17
CGB7	4.2	0.81	2.49	1.17
CGGBP1	295.15	322.19	312.77	306.03
CGN	84.93	81.97	157.01	188.78
CGNL1	92.5	75.48	208.1	202.85
CGREF1	58.86	74.66	229.28	254.44
CGRRF1	14.3	19.48	33.64	37.52
CH25H	1.68	4.87	41.12	25.8
CHAC1	62.23	64.93	77.26	102.01
CHAC2	21.02	25.16	7.48	4.69
CHAD	15.98	29.22	128.35	141.87
CHADL	19.34	21.1	341.43	330.65
CHAF1A	683.65	668.73	102.18	124.29
CHAF1B	182.47	192.34	36.14	42.21
CHAT	1.68	1.62	3.74	2.35
CHCHD1	152.2	137.16	105.92	79.73
CHCHD10	383.45	371.7	758.88	766.83
CHCHD2	590.31	591.63	328.97	355.27
CHCHD3	243.02	253.21	72.27	72.7
CHCHD4	98.38	91.71	92.21	77.39
CHCHD5	122.77	105.5	66.04	57.45
CHCHD6	120.25	112.81	178.19	178.22
CHCHD7	60.54	64.93	82.24	106.7
CHCHD8	342.24	367.64	120.87	99.66
CHD1	206.02	178.55	78.5	79.73
CHD1L	352.34	380.63	138.32	140.7
CHD2	876.21	863.51	812.46	832.49
CHD3	1290.78	1265.24	1755.76	1886.58
CHD4	2463.83	2466.36	1156.38	1227.62
CHD5	16.82	16.23	2058.56	2124.6
CHD6	466.7	454.48	497.19	531.15
CHD7	367.47	377.38	519.62	558.12
CHD8	729.06	751.51	690.34	664.82
CHD9	165.66	159.07	244.24	257.95
CHDH	181.63	185.04	179.44	165.32
CHEK1	122.77	142.02	23.68	15.24
CHEK2	84.93	85.21	3.74	4.69
CHERP	892.19	865.94	625.54	716.41
CHFR	196.77	174.49	133.33	151.25
