Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
4927_at	7.46769	7.19667	7.59836	7.19068	6.98814	6.93066	6.46184	7.36071	6.9746
4928_at	6.03523	6.29628	6.28169	6.08489	5.96312	6.14558	6.64338	5.8582	6.2954
4929_at	5.80747	4.89678	7.40388	5.3388	4.87236	5.26542	6.47643	4.60146	6.0745
492_at	4.77237	5.07199	4.82312	4.96331	4.85484	4.7663	4.51503	4.78739	4.87866
4931_at	7.99625	8.12447	7.40803	7.5588	7.8014	8.03877	8.06806	7.06978	7.38104
4935_at	5.60346	5.61073	5.27646	5.33862	5.5125	5.36859	5.58866	5.62813	5.49514
4938_at	7.34116	7.61003	8.15729	7.4448	6.68318	6.09238	6.32684	6.78826	6.32707
4939_at	6.836	6.8811	7.23967	7.17739	6.387	6.21092	6.33392	6.35094	6.81059
493_at	7.01062	6.50507	6.74921	6.99817	7.55864	7.42	7.24971	7.17463	7.13995
4940_at	7.43826	7.56923	8.68691	8.56273	7.88132	7.16194	7.37932	7.89591	7.6549
4942_at	9.69268	8.58016	10.77467	8.10649	9.09838	10.49194	10.8029	9.90937	10.61249
4946_at	10.71808	10.4038	10.77806	10.96331	11.15033	10.75561	10.93626	10.82909	10.82489
4947_at	7.80759	8.29403	8.26443	7.878	8.136	8.32487	8.06844	7.96078	8.14256
4948_at	6.86303	7.65755	6.82979	6.78476	6.90448	6.80631	6.68283	6.92616	7.07318
4952_at	6.85001	6.63036	7.0499	6.63756	6.69226	6.65569	7.2204	6.76961	6.77665
4953_at	7.82451	7.57074	8.22179	8.82933	8.501	8.62057	9.0335	8.43496	8.83977
4956_at	5.51273	6.03523	5.6582	5.53803	5.48269	5.54216	5.37353	5.79038	5.46314
4957_at	5.06852	4.9512	5.26637	5.84528	5.48373	5.02686	5.07333	4.80157	5.07809
4958_at	7.03693	4.30639	4.14861	4.23964	4.34543	6.62723	4.88278	5.79253	6.3407
495_at	5.09831	5.53047	5.13726	5.18051	5.19926	4.86067	5.14661	5.16549	5.27463
4967_at	7.33683	6.13701	7.56457	7.78836	8.21333	7.00139	7.54168	7.05004	7.52768
4968_at	5.40273	5.13563	5.32298	5.48182	5.91926	5.43662	5.63657	5.19356	5.28569
4969_at	4.74817	3.92061	3.48991	3.70072	3.80113	6.61327	4.26536	4.41319	4.32182
496_at	4.21427	4.21078	4.20457	4.49021	4.45394	4.40099	4.20158	4.25814	4.1628
4973_at	4.77967	4.13033	4.86999	4.63701	4.81083	4.35344	4.28321	4.2496	5.47404
4974_at	5.07078	5.4544	5.0557	5.22407	5.34047	5.20984	5.14474	5.1465	5.11654
4975_at	4.25073	4.25073	4.42496	4.43678	4.19514	4.23799	4.25373	4.47254	4.13193
4976_at	6.47603	7.14664	6.46932	6.58647	6.33613	6.28976	6.55802	6.2404	6.34928
4978_at	4.45468	4.70644	4.44353	4.58928	4.50922	4.46061	4.40301	4.51113	4.59166
4982_at	4.03684	3.79976	3.9096	3.84526	4.0852	4.55154	4.36395	3.81501	4.27031
49855_at	5.337	5.15781	5.38936	5.03138	5.15653	5.36642	5.43787	4.82643	5.42981
49856_at	5.81402	5.97357	6.00642	5.59292	5.84732	5.70077	5.75329	5.30317	5.55747
4985_at	5.62911	5.97599	5.94529	5.64114	5.86461	5.55332	5.87568	5.83018	5.52033
49860_at	5.04937	5.6795	5.3037	5.318	5.35026	5.21789	5.37126	5.61856	5.14379
4986_at	5.42512	5.72602	5.52177	5.27437	5.33351	5.48679	5.39234	5.38417	5.50349
4987_at	5.27128	5.52443	5.4965	5.64974	5.41668	5.33234	5.14851	5.43057	5.32189
4988_at	4.39756	4.54752	4.36056	4.31712	4.35882	4.32424	4.4554	4.47449	4.42822
498_at	10.45014	10.7604	11.49559	11.13973	10.3256	11.20426	11.62579	11.39168	11.46031
4990_at	4.57343	4.64611	4.76924	4.71659	4.47932	4.5525	4.55872	4.6368	4.60551
4991_at	6.38909	6.97347	6.74921	6.66903	6.69354	6.52153	6.27141	6.36067	6.50971
