Probes	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
10000_at	6.5655	6.4632	5.9113	6.122	6.2672	6.9024	6.4588	6.3638	6.2335
10001_at	5.3718	4.7132	5.5294	5.4655	5.555	5.5849	5.953	5.4048	5.7447
10002_at	4.8417	5.1083	4.9179	5.0156	4.9822	4.8609	5.0824	4.9874	4.8405
10003_at	3.4504	3.5891	3.4239	3.6693	3.47	3.6372	3.5265	3.4732	3.5424
100048912_at	6.0389	7.266	5.753	6.1436	6.285	6.0111	5.7774	6.6502	6.3802
10004_at	4.921	5.1002	4.9971	5.1821	5.0873	5.0922	4.6808	4.9557	4.6815
10005_at	7.3169	6.8193	7.458	7.3838	7.1569	6.7327	6.6808	6.5594	7.0493
10006_at	7.5727	6.7972	7.3241	7.1518	6.9743	7.6716	7.7311	6.7673	7.2981
10007_at	8.0828	7.5102	7.3262	7.072	8.0894	8.0903	8.329	7.318	7.4415
100093698_at	4.2484	4.3751	4.2372	4.3061	4.2741	4.1739	4.1748	4.4412	4.2051
10009_at	3.4823	3.5904	3.5482	3.5358	3.4324	3.4096	3.5523	3.4675	3.5896
1000_at	5.6971	6.2525	5.7013	5.9319	6.0866	5.6769	5.5273	5.8256	5.7184
10010_at	5.9169	5.7273	5.7757	6.0097	6.0143	5.9982	6.0288	5.7806	5.8365
100126791_at	6.2167	5.927	5.8544	5.613	6.1024	7.8842	7.3511	6.8899	6.8621
100128124_at	4.6546	4.8629	5.112	5.0816	5.3898	4.9138	5.0967	5.262	4.8289
100128640_at	4.5665	5.3182	5.0696	4.8255	5.0024	4.5949	4.6214	4.7039	4.5537
100129128_at	4.7126	5.1013	4.6275	4.7869	4.6699	4.6769	4.5697	4.9032	4.6154
100129250_at	7.1868	7.2221	7.6682	7.1054	7.3945	6.9625	7.3185	7.05	7.1227
100129271_at	6.093	6.2222	6.2157	6.2092	6.1009	5.9636	6.1625	6.203	6.069
100129460_at	4.1041	4.3626	4.4191	4.1688	4.1958	4.071	4.1933	4.8975	4.1716
100129482_at	4.4138	4.8499	5.0262	4.4745	4.5805	4.429	4.4606	4.6516	4.3924
100129973_at	3.8352	4.0279	3.8079	3.9491	3.9028	3.83	3.9891	4.0629	3.6253
100130100_at	6.3589	6.6115	7.2505	7.9236	7.7775	6.8823	6.6577	6.8972	6.4555
100130331_at	4.0849	4.5362	4.2172	4.2944	4.1768	4.2247	4.1575	4.4473	4.3289
100130449_at	4.2473	5.407	5.3843	6.4326	4.8436	4.4137	5.1755	5.0387	5.5825
100131755_at	4.6469	4.9803	4.8106	4.8357	4.8958	4.814	4.668	4.8005	4.7393
100131825_at	4.8134	5.3852	4.9246	4.8795	5.0145	4.6208	4.7947	5.2677	4.9292
100131827_at	4.492	4.922	4.5188	4.7701	4.7038	4.4008	4.6319	4.6763	4.7068
100132341_at	7.2951	7.485	6.8778	7.4739	7.5726	7.0822	7.0485	7.0966	7.1061
100132476_at	3.4415	3.6383	3.5181	3.4792	3.6467	3.4883	3.5281	3.6217	3.5298
100134713_at	5.0396	5.3658	4.8332	5.0685	5.1916	4.9176	4.9285	4.8712	4.9203
100137047_at	6.1757	6.5403	6.8079	6.3332	6.5079	6.4832	6.5904	6.9331	6.4611
10013_at	7.1669	7.0772	7.2904	7.2817	7.9307	7.1282	7.276	7.2986	6.9898
10014_at	6.7876	6.1423	6.8436	6.4778	6.7439	6.6633	7.0749	6.5149	6.5126
10015_at	9.053	8.6581	9.2551	9.4053	9.1016	9.1536	9.5511	9.0516	9.2986
10016_at	9.4068	8.609	9.2033	8.9211	9.0238	9.3043	9.943	9.3734	8.9011
10017_at	5.0477	5.1524	4.9829	5.2053	5.2383	4.7701	4.8081	5.0277	4.7966
100188893_at	10.1184	9.9766	10.4202	9.6748	10.4773	10.2804	10.3793	9.9863	9.9461
10018_at	3.9497	4.0713	4.0113	4.0978	4.2171	3.9345	4.0117	4.0607	3.9794
10019_at	8.2486	8.0367	8.2351	8.1645	7.662	8.7215	7.6475	8.201	8.7231
1001_at	6.9956	7.1825	6.2381	8.4693	8.2581	6.9739	6.7471	7.4465	6.8399
10020_at	6.3142	7.3568	7.4776	5.9648	7.2006	6.4159	5.8883	6.1187	7.4084
10021_at	4.6066	4.9494	4.7247	5.2682	5.0197	4.663	4.6276	4.926	4.73
10022_at	4.185	4.5864	4.3014	4.2735	4.7229	4.3213	4.2028	4.5498	4.3464
10023_at	6.6956	6.9563	7.4241	6.4997	6.4139	6.7732	6.5084	6.6283	6.6567
10024_at	6.2645	7.2132	6.5501	6.9996	7.5262	6.3745	6.3626	6.4378	6.4413
10025_at	6.9908	6.799	7.4442	6.9494	6.9238	6.7572	6.9186	6.6386	6.4488
10026_at	6.6165	6.7483	7.6584	6.2636	5.6439	7.2246	6.5967	6.5124	7.6993
100272147_at	8.8135	8.5262	8.2643	7.7827	8.6353	8.2874	8.4459	8.0053	7.8661
100287932_at	7.6628	6.8041	7.7427	7.38	7.5752	7.9447	7.9538	7.0862	7.5983
100288413_at	4.5937	5.1114	4.4898	5.157	4.8638	4.7186	4.9095	4.7332	4.8019
100289410_at	4.9303	5.3188	5.0404	4.7491	5.3585	4.752	4.7419	4.7874	4.9583
100289678_at	7.2061	7.4948	7.1429	7.1149	7.4624	7.3157	7.4431	7.487	6.82
100293516_at	5.7751	5.783	6.6925	5.052	4.6625	5.0528	5.2467	4.6219	5.0424
1002_at	4.7839	5.1442	5.1127	5.0861	5.1265	4.9735	4.7942	5.0979	5.0488
100316904_at	7.0266	8.0289	6.7809	7.9197	7.6971	7.589	7.3507	7.6211	7.3158
10036_at	6.1218	6.3508	6.2279	6.5787	6.4862	6.0912	6.2109	6.2685	6.1517
10038_at	7.2732	7.3456	7.2589	7.1311	8.0187	7.4318	7.6915	7.0759	7.1779
10039_at	6.6471	6.3568	6.9441	6.827	6.745	6.894	7.1533	6.2749	6.6019
1003_at	5.4946	5.2872	5.5169	5.5043	4.9254	6.9784	6.2563	5.5164	5.6765
10040_at	7.3119	7.7921	8.0842	6.6204	8.042	7.148	8.3391	9.1951	8.7359
10042_at	7.5846	8.1325	7.8414	7.6036	7.9909	7.4473	8.2095	7.1156	8.1563
10043_at	6.4652	6.6424	6.9683	6.9344	6.524	6.2466	6.6069	6.458	6.5764
10045_at	5.3092	4.6316	5.3249	5.2843	4.8627	5.0759	5.0426	5.176	4.9165
10046_at	5.34	5.6241	5.4605	6.0833	5.6287	5.658	5.4425	5.8212	5.3593
10047_at	5.5566	6.4002	5.6505	5.7525	5.6803	5.4888	5.3173	5.5379	5.7244
10048_at	6.7958	6.7502	7.9312	7.5387	7.5668	7.0964	7.3684	6.9044	7.2427
100499177_at	7.0849	6.0486	6.5844	6.2491	7.1863	7.1521	7.6244	7.2458	7.1662
10049_at	7.5429	6.5555	6.3516	6.6601	6.2998	6.8982	7.4171	6.8264	6.8951
1004_at	4.1478	4.6264	4.1796	4.2089	4.2027	4.1905	4.1512	4.2797	4.1966
100505650_at	4.9991	5.0873	4.9151	5.0021	4.9977	4.9152	4.9609	5.1855	5.0521
100505741_at	3.4583	3.449	3.6705	3.5323	3.5223	3.571	3.4864	3.6521	3.5149
100505761_at	6.0463	6.1846	6.4906	5.7359	6.0219	6.1087	6.5961	6.6949	5.8727
100505870_at	5.9162	6.0477	6.2218	6.375	5.979	5.9199	5.8409	6.0244	5.8943
100505879_at	5.047	5.2495	5.1785	5.2767	5.3819	5.0711	5.1819	5.2672	5.0761
100505933_at	4.304	4.8022	4.3842	4.5171	4.5026	4.2973	4.3867	4.4818	4.3306
100506124_at	4.4672	4.754	4.552	4.5613	4.7487	4.4552	5.3779	4.8599	4.7077
100506144_at	7.8267	7.0377	7.562	7.2966	7.3568	8.3722	8.1873	7.5638	8.046
100506190_at	4.2693	4.3947	4.8059	5.0162	4.4246	4.6559	4.8254	5.18	4.6595
100506358_at	3.7894	4.1116	4.025	3.8884	3.9305	3.8445	3.9055	3.8621	3.8901
100506469_at	6.9691	7.4152	6.4331	6.5381	6.507	6.9973	6.6781	7.1885	6.4571
100506504_at	6.0833	6.3256	6.3423	6.4551	6.3514	6.1336	6.0317	6.3907	5.9251
100506571_at	6.4775	7.1362	6.6818	6.5579	6.4819	6.5532	6.3629	6.8098	6.345
100506581_at	5.5688	6.2617	5.8825	5.6282	5.3406	5.5052	5.435	5.6936	5.3043
100506863_at	3.5791	4.0827	3.4859	3.6762	3.8213	3.5099	3.668	3.8285	3.414
100506898_at	5.1067	5.1675	5.3146	5.0484	5.2331	4.8016	4.9761	5.1202	5.0307
100506963_at	6.3348	7.0106	6.2737	6.3166	6.566	6.5309	6.5878	6.4198	6.7109
100506972_at	4.5498	5.0046	4.6501	4.7373	5.0927	4.8091	4.8453	5.1793	4.6804
100507009_at	6.8	7.8102	6.5998	6.7849	6.8384	6.6219	6.145	6.9012	7.3154
100507331_at	6.2961	6.719	6.5596	6.405	7.0041	6.7701	6.5158	6.8753	6.1825
100507399_at	5.2705	5.5909	5.3976	5.0295	5.4033	5.4249	5.1648	5.1986	5.1521
100507424_at	6.9869	7.2621	7.0311	7.3207	7.4204	7.1187	7.4182	7.5808	7.1489
100507436_at	6.2973	6.4594	6.1733	5.79	4.4477	6.3804	5.7784	6.7225	6.327
100507577_at	7.9084	6.1558	7.7936	7.2157	6.9707	7.5966	7.5685	7.0452	7.9671
100507605_at	3.6049	3.8413	3.7082	3.7003	3.7882	3.5917	3.5854	3.8374	3.6811
100507630_at	4.5654	5.0053	4.7333	4.8867	4.95	4.5628	4.5922	4.6819	4.6842
10050_at	5.375	5.8577	5.4317	5.6031	5.7152	5.4693	5.315	5.7423	5.5001
10051_at	7.1948	7.784	6.7225	6.285	8.5546	7.4908	7.7535	6.5052	8.537
10052_at	4.5815	5.1244	4.6136	4.9418	4.6249	4.527	4.7866	5.0362	4.6239
100533107_at	6.486	7.2044	6.7271	6.6059	6.7165	6.442	6.5234	6.6671	6.4508
100533178_at	5.4659	6.3186	5.8523	6.3425	6.1311	5.8457	5.9558	6.1589	5.7716
10053_at	8.5131	8.1845	8.5098	7.9726	7.9924	8.0272	8.0737	8.3681	8.3974
10054_at	9.5372	9.7729	9.0222	8.8419	9.428	9.177	9.0366	8.7118	9.3771
10055_at	9.0678	9.624	8.6063	9.5309	8.7455	8.8709	8.967	8.6387	9.039
10057_at	8.4276	8.6789	7.4123	8.2037	6.8286	7.7426	7.0701	7.833	8.2511
10058_at	6.5164	7.5369	6.8351	7.023	6.7594	6.8762	7.0598	7.0024	6.7053
10059_at	6.4072	5.8518	6.465	5.818	6.7394	5.5257	6.2634	5.9219	6.4909
1005_at	5.0896	5.212	5.0695	5.3927	5.0053	5.2729	5.0631	5.2716	6.9392
10060_at	4.1438	4.7294	4.0936	4.4025	4.1898	4.2046	4.0189	4.1017	4.2049
10061_at	5.9647	6.0627	6.2041	6.1308	5.9829	5.8355	6.139	5.7919	5.5518
10062_at	6.6207	6.93	6.4288	7.3721	7.9505	7.0163	7.5892	7.1131	7.1088
100653021_at	5.7324	6.4603	5.7786	6.2631	6.0956	5.7038	5.9631	5.84	5.9001
10066_at	8.0928	8.5196	8.6793	8.5624	8.3335	8.4945	8.0679	8.4584	8.7489
10067_at	8.8477	8.7865	9.3153	8.5787	9.0207	8.7823	9.384	8.6165	8.8416
10069_at	7.7971	8.601	8.124	7.94	7.8378	7.8708	8.0001	7.9392	7.8566
1006_at	4.413	4.8801	4.5026	4.5905	4.4415	4.2462	4.3437	4.6464	4.4234
10072_at	7.3367	7.9114	6.8784	7.4153	7.1922	6.5764	7.4685	7.4466	7.1024
10073_at	7.2259	7.2344	7.787	6.8185	6.9378	7.4966	7.9192	7.2107	7.2834
10075_at	6.5386	6.5989	6.5907	7.0032	6.7229	6.3018	6.6684	6.4846	6.6118
10076_at	6.7302	6.7936	6.9964	6.8657	6.6904	6.8108	6.2479	6.8455	6.8726
10077_at	6.1514	6.7997	6.2784	6.7468	6.8838	6.2786	6.3438	6.5359	6.4158
10078_at	6.8718	6.9938	6.8926	7.1494	6.8843	6.7505	6.949	6.7223	6.777
10079_at	9.1929	8.727	7.4231	7.8723	7.5568	8.1351	8.5801	8.9752	7.9846
1007_at	4.381	4.5531	4.5729	4.3472	4.7419	4.2738	4.1785	4.481	4.4659
10083_at	5.683	6.3247	5.7138	6.0427	5.9598	5.6693	5.5133	5.9838	5.8769
10084_at	7.0509	6.3352	7.7393	7.1956	7.4235	6.4561	7.2911	6.9422	6.9005
10085_at	4.0456	4.2989	4.115	4.1606	4.0577	4.1068	4.02	4.2214	4.4597
100861554_at	5.1318	5.8381	5.3398	5.2159	5.2604	5.0838	5.0164	5.2618	5.3323
100862671_at	7.4952	7.1799	7.074	7.4615	7.3106	7.1534	7.4596	7.5146	7.1728
10086_at	6.7443	7.2867	7.1662	6.8094	7.015	7.0505	7.0229	7.3853	7.1027
10087_at	5.5769	5.229	5.5273	5.5892	5.5206	5.246	4.9082	5.7064	5.7381
10089_at	5.237	5.5032	5.505	5.4537	5.2955	5.2541	5.1574	5.4817	5.332
1008_at	4.296	4.7206	4.5311	4.5357	4.631	4.2758	4.3788	4.5081	4.3513
10090_at	4.6686	4.9427	4.7004	5.1896	4.9118	5.0408	6.1233	5.0493	4.6439
10092_at	9.8779	8.7996	9.2326	9.8562	9.7059	10.0142	10.2279	9.8443	9.8727
10093_at	7.8228	7.2776	7.8965	8.1492	7.8325	7.3309	7.8014	7.6961	7.9294
10095_at	10.2109	10.3833	9.7667	11.0777	10.3708	10.6314	9.5896	10.5189	10.0664
10096_at	9.1455	8.9137	8.6483	8.9557	9.0798	9.1159	8.7959	8.8035	9.5414
10097_at	8.4703	8.0053	8.7108	8.946	8.6998	8.8728	9.0774	8.6179	9.1104
10098_at	6.6573	6.9325	10.3924	7.2351	6.19	6.1628	5.8563	6.6027	7.8125
100996325_at	3.4168	3.4253	3.4084	3.3865	3.361	3.3683	3.3822	3.3466	3.4016
100996460_at	7.1825	7.7812	7.8933	7.4891	7.2456	6.9063	7.5885	6.5901	7.2781
100996481_at	3.8814	4.1141	3.7408	3.9724	4.1659	3.8714	3.8149	4.0116	4.0573
100996482_at	3.4822	3.9783	3.6895	3.8492	3.7789	3.6086	3.5746	3.8611	3.6616
100996485_at	6.7801	7.4099	6.9145	6.7659	6.5221	6.8802	6.5737	7.1232	6.7656
100996487_at	6.6416	7.2605	7.4552	7.4161	7.4793	6.7487	6.9989	7.3577	7.0213
100996496_at	7.1715	7.4838	6.9719	7.1353	7.982	7.856	8.6086	7.7512	7.0864
100996516_at	5.7164	6.2556	6.0166	6.0566	6.0817	5.8442	5.8049	6.2443	5.8453
100996518_at	3.5766	3.9579	3.6702	3.6026	3.5976	3.6051	3.7156	3.6734	3.6065
10099_at	8.6385	6.7167	9.7545	7.6403	8.1792	8.7379	9.5853	8.7132	9.3328
1009_at	9.1217	7.9043	5.63	7.8729	5.9262	9.0474	6.8323	8.4724	8.9376
100_at	6.4497	6.3939	5.9006	6.4308	6.0629	6.1969	6.0633	6.3201	5.8901
10100_at	3.4541	3.5759	3.5077	3.6818	3.6268	3.451	3.464	3.6387	3.5605
10101_at	8.9336	8.2576	8.5454	8.4451	8.4643	8.3808	8.3434	8.9182	8.0894
10102_at	5.5185	5.7432	5.7381	5.1662	5.3603	5.1083	5.2944	5.3681	5.2973
10103_at	8.9655	8.3119	10.8524	8.9602	7.5509	8.3706	9.0565	8.7238	10.1002
101059911_at	5.3766	5.8109	5.4297	5.3885	5.7236	5.4231	5.2768	5.5917	5.9448
10105_at	7.864	7.4142	8.1042	7.8135	8.6828	8.2663	8.1408	7.4204	8.0117
101060069_at	5.5962	5.9087	5.5255	5.9502	6.2411	5.6175	5.5566	5.3825	5.2455
101060148_at	4.6023	4.847	4.7279	4.7239	4.8288	4.6756	4.6276	4.7389	4.6837
101060181_at	3.556	3.7065	3.8475	3.6165	3.6311	3.7068	3.7246	3.8174	3.5073
10106_at	7.744	8.1381	7.5535	7.576	7.4753	7.8343	7.2999	7.4981	7.7604
10107_at	5.3632	5.6951	5.4498	5.6056	5.5448	5.4499	5.3897	5.629	5.4001
10109_at	10.0407	10.1289	9.5666	9.8261	9.5525	10.163	9.7461	9.7545	10.1636
1010_at	3.7897	3.9315	3.6775	3.7863	4.0706	3.8313	3.8046	4.1369	3.865
10110_at	5.5	5.7638	5.5741	5.1902	5.4738	5.6181	5.4239	5.8585	5.5284
10111_at	6.1595	5.5275	5.8286	5.3866	5.2287	5.7584	6.2574	5.5642	5.8593
10112_at	6.3958	7.3753	5.5807	6.4389	7.5039	6.0041	5.8077	6.1883	6.6261
10113_at	8.0177	7.6153	8.6559	8.3245	7.7604	8.1027	8.871	8.0607	7.8876
10114_at	3.775	4.2899	3.7907	3.977	4.0164	3.8501	3.9896	3.8748	4.3024
10116_at	5.374	5.5237	5.487	5.1076	5.1326	5.3162	5.1533	5.0841	5.4645
10120_at	8.3559	8.2135	8.492	8.7345	8.522	8.6828	8.8303	8.5912	8.5131
10121_at	7.9435	7.9325	7.884	8.0166	7.5291	7.8275	7.8796	8.0716	7.7805
10123_at	7.1972	6.6363	6.4331	7.6067	7.0256	6.8174	5.5708	7.1539	7.0775
10125_at	6.7417	5.0315	4.7989	5.6909	7.1525	4.9769	4.0879	7.0204	7.8766
10126_at	7.055	7.0456	7.3092	7.4692	7.0137	7.2118	7.8772	6.8657	7.0864
10127_at	8.2086	7.5176	7.4571	7.5341	7.6573	7.8639	7.8185	8.0463	7.1867
10128_at	9.0232	8.9556	9.0265	8.5495	8.3927	8.7938	9.4463	8.6932	8.5841
10129_at	5.2773	4.8904	6.3752	4.7841	4.6267	5.4694	5.5438	5.0598	5.8627
1012_at	5.1961	5.5716	5.1732	5.6227	5.2738	5.081	4.832	5.0051	5.6716
10130_at	9.7449	9.2475	10.1924	10.0159	9.3317	9.4243	9.8459	9.6323	9.5276
10131_at	9.1729	8.9969	8.7144	8.4316	8.4164	8.3878	8.691	8.4158	8.309
10133_at	8.0611	7.9208	7.9175	7.2516	7.7675	8.0004	7.8416	8.0471	7.1165
10134_at	10.8787	10.6375	11.1079	10.8532	10.6466	10.1899	10.9761	10.2113	10.2334
10135_at	7.3044	6.2059	6.983	9.0551	7.1725	8.0624	7.8708	7.3437	6.8943
10136_at	5.4516	5.8643	5.506	5.6525	5.3752	5.6138	5.5998	5.6361	5.5528
10137_at	6.676	6.6926	6.4812	6.3406	6.3995	6.4762	6.502	6.2131	6.6071
10138_at	5.4765	5.0561	5.2523	5.4331	5.4599	5.3271	5.8234	5.501	5.7042
10139_at	6.9049	7.066	7.0623	7.0638	7.1038	6.8154	6.9586	7.2175	6.9784
1013_at	5.2117	5.3606	5.4734	5.6581	5.8264	5.4795	5.4772	5.7704	5.157
10140_at	9.5828	11.1228	9.8114	9.029	11.2273	9.627	9.7886	9.8121	9.2551
10141_at	4.412	5.5269	4.5494	4.4188	4.9074	4.3646	4.3549	4.6462	4.5656
10142_at	8.3137	6.5728	8.4272	8.0977	6.8762	8.562	7.811	7.8987	8.8245
10144_at	6.2182	6.2889	6.8079	6.4272	6.248	6.7571	6.0319	6.4255	6.7826
10146_at	8.1231	7.3764	7.751	7.9575	7.923	7.9759	8.2492	7.7112	8.4289
10147_at	6.6871	6.5907	6.6107	6.6214	7.4951	6.6355	6.8948	6.709	6.478
10148_at	5.6027	5.9231	5.9118	5.7301	6.5836	5.6459	5.4378	6.0086	5.5169
10149_at	4.7093	5.0668	4.9288	5.0626	4.9974	4.8434	4.6317	4.6384	5.4039
1014_at	4.5952	4.9759	5.1041	4.7309	4.9353	4.8157	4.8676	4.8411	4.6918
10150_at	5.6663	5.8872	6.4636	5.895	5.8248	5.9825	6.2976	5.8903	6.2193
10151_at	3.9547	3.7934	4.0233	4.2023	3.8903	3.8626	3.9784	4.1634	3.8777
10152_at	7.5127	7.947	7.565	7.7627	7.65	7.5683	7.7431	7.8613	7.8358
10153_at	9.2048	8.9735	9.4389	8.63	8.5256	8.7942	9.1753	8.8188	8.9471
10154_at	6.2206	6.243	6.1175	6.1801	6.0146	6.0431	5.7865	6.2075	7.1289
10155_at	9.6297	9.1738	9.556	9.757	9.6569	9.5078	10.3649	9.8099	9.1229
10157_at	4.2746	4.4438	4.3649	4.4197	4.242	4.4986	4.2334	4.4579	4.3179
10158_at	6.8936	5.9895	5.7838	10.509	5.7364	7.0128	7.3997	6.7794	7.4492
10159_at	10.1224	8.3329	10.1719	9.2939	8.7696	9.6478	11.4327	8.8469	10.2161
1015_at	5.5029	6.2256	5.4859	5.8242	5.8808	5.5632	5.3844	5.9667	5.9978
10160_at	8.78	7.504	8.9309	8.5921	8.4504	8.627	9.1541	8.6117	8.3623
10161_at	8.6449	7.2309	7.6201	7.0957	7.3086	8.4302	7.7627	8.283	8.0321
10162_at	6.1179	5.7968	6.7546	6.9587	6.026	6.0027	7.0133	6.0538	5.9338
10163_at	7.8012	7.3378	8.1869	7.7669	8.169	8.8902	8.9878	8.483	7.9714
10164_at	5.7274	6.3455	6.1716	6.0065	5.8662	5.7322	5.7467	6.0984	5.985
10165_at	5.3524	5.8642	5.407	5.5511	5.543	5.5225	5.623	5.6658	5.0584
10166_at	7.741	7.9682	7.984	7.027	7.554	7.637	8.1931	7.6285	7.8586
10168_at	4.858	5.1446	5.0434	5.0312	5.1493	4.9983	4.7588	5.1495	4.9952
1016_at	5.2061	5.3932	5.2556	5.6931	5.5276	5.5213	5.408	5.7808	5.2687
10170_at	6.6611	7.0867	6.6324	6.821	6.8486	7.0888	6.6333	7.1235	6.8738
10171_at	7.3911	7.8652	7.3642	7.2618	7.5519	7.4773	7.489	7.5809	7.3069
10174_at	6.4956	6.4886	6.7812	6.7828	6.5078	6.7526	6.7156	6.7276	6.7856
10175_at	9.2429	9.0343	9.3687	8.6758	8.2411	9.6784	9.7512	10.5602	9.7848
10178_at	3.7674	3.9557	3.7194	3.8023	3.7033	3.7036	3.64	3.9246	3.7394
10179_at	6.9686	7.368	6.448	7.2112	6.2018	7.5272	7.2959	7.4455	7.4097
1017_at	7.0321	7.2645	6.5655	6.8796	7.2541	6.811	7.1158	6.8593	7.003
10180_at	7.534	7.7843	6.8474	7.2741	8.096	7.5726	8.0346	7.9743	7.0579
10181_at	9.171	8.5046	8.8904	8.8887	9.6517	9.3387	9.6531	9.5526	9.3208
10184_at	8.1819	8.052	7.9052	8.8986	8.3419	8.3924	7.6785	8.4698	8.0607
10186_at	8.1558	7.1468	6.5787	7.7063	7.0311	9.4797	7.9197	8.6235	7.5872
10188_at	6.3493	6.8886	6.5239	6.8517	6.8459	6.4569	6.4477	6.6755	6.4462
10190_at	9.0454	8.6028	8.4667	7.9088	7.5039	8.5125	8.6142	8.6317	8.9303
10193_at	6.225	6.5584	6.4309	6.3506	6.2617	5.9383	6.4777	6.3131	6.37
10195_at	7.5866	7.0416	8.1068	8.908	7.9999	7.7807	7.8902	7.9262	7.5359
10196_at	6.2163	5.9562	5.9072	5.5021	5.5068	5.5065	5.933	5.6767	5.8844
10197_at	7.5527	7.5915	7.5638	6.9349	6.8383	7.2399	7.8908	7.5056	7.4702
10198_at	4.8149	4.6901	4.3986	4.4689	4.5964	4.3743	4.595	4.3688	4.625
10199_at	7.4768	7.4118	7.6491	7.8585	7.7386	7.6969	7.9809	7.4112	7.7679
1019_at	9.075	8.1648	9.133	9.7123	9.2835	9.0969	9.4704	9.2478	8.8095
101_at	5.4184	6.0113	5.7411	5.9591	6.0031	5.4669	5.9251	5.8436	5.8297
10200_at	8.4185	8.5892	8.6125	9.5056	9.3254	8.4198	7.7323	8.9676	7.8896
10201_at	6.0283	5.967	5.9442	6.0495	6.4684	6.1533	5.8478	6.1031	6.2107
10202_at	11.5931	9.2826	5.3914	10.3262	5.217	6.8478	7.6374	11.4643	5.5651
10203_at	6.2947	5.6888	5.8145	6.2265	5.9869	6.6019	6.5533	6.1667	6.9122
10205_at	4.3295	4.4785	4.1395	4.8289	4.216	4.5318	4.1765	4.3076	4.5943
10206_at	7.6047	7.686	7.5308	6.8492	6.7797	7.5184	7.8467	7.3364	7.5568
10207_at	4.432	4.4564	4.5373	5.2539	4.4889	5.0882	4.8981	4.7835	4.4861
10208_at	7.2834	6.9536	6.5602	6.7915	7.4037	6.9566	6.7735	6.822	6.7732
10209_at	10.8343	11.0201	11.3117	11.3683	10.5531	11.2831	11.0854	11.0472	11.1366
1020_at	7.3683	6.8214	7.9766	7.1604	7.9166	6.7513	7.3494	7.2587	6.7072
10210_at	5.1736	4.3947	5.3934	4.6713	5.02	5.4121	5.414	4.811	5.2457
10211_at	9.5933	9.7944	10.4246	9.9615	10.0306	9.8377	9.7371	9.9098	10.048
10212_at	7.7467	8.1087	7.0183	8.4093	8.1735	7.1827	7.7648	7.7188	7.5086
10213_at	9.2996	9.7389	9.4471	9.4584	9.4161	8.982	9.2212	8.6313	9.6778
10214_at	5.5564	6.3289	5.4164	5.7377	5.7304	5.6799	5.4014	6.0282	5.7278
10215_at	4.451	4.7379	4.5418	4.6746	4.7375	4.5235	4.5457	4.6444	4.5154
10216_at	3.7617	3.9735	3.9349	3.9288	3.9129	3.8609	3.8957	4.1898	3.8417
10217_at	7.8232	7.6914	7.9192	7.9568	7.9058	8.1244	8.8179	7.7772	7.6521
10218_at	4.5835	5.2704	4.7448	4.7017	4.8956	6.4617	4.4175	4.7896	4.6943
10219_at	5.8573	6.4714	6.0822	6.4433	6.0954	6.0789	5.7849	6.449	6.2433
1021_at	4.8873	5.4668	5.16	5.2181	5.3923	4.9909	4.9338	5.4551	4.9613
10220_at	5.1711	5.1676	4.9973	5.3337	5.2838	4.9246	4.9104	5.1005	4.8801
10221_at	8.9858	9.2296	8.2806	8.6058	9.316	8.3521	7.9281	8.1821	9.0936
10223_at	6.067	6.9285	5.7629	6.3246	5.8237	6.1132	5.7607	6.7156	6.2572
10225_at	4.1325	4.4803	4.0564	4.5422	5.1558	4.206	4.1141	4.4135	4.3326
10226_at	8.9472	8.7539	8.5153	9.1519	8.5834	8.7691	8.5589	8.4338	8.9212
10227_at	7.3999	7.3517	7.572	7.4446	7.9002	7.1126	7.6608	7.1845	7.4658
10228_at	6.6102	6.4806	6.1759	6.181	6.791	6.3642	6.8784	6.0621	6.4489
10229_at	6.6897	6.5236	6.3156	6.2524	6.2548	6.0701	6.1286	6.1383	6.325
1022_at	8.3273	5.5879	8.0143	7.0617	6.4171	7.5054	7.8541	6.9004	7.3793
10230_at	6.0914	6.4431	6.0453	5.5713	6.245	5.8229	5.9686	6.2799	5.8897
10231_at	6.7817	6.759	5.562	5.7326	6.0237	6.879	5.7481	6.118	6.2656
10232_at	3.7985	3.8696	3.8904	3.6818	3.7817	3.7862	3.7887	3.752	3.7423
10233_at	6.2272	6.2563	6.3298	5.7074	6.3436	5.6355	6.0101	5.8999	5.3533
10234_at	8.2367	6.6636	4.6921	5.4391	5.0171	7.8766	5.7977	7.503	7.1016
10235_at	4.7455	4.799	4.5551	5.4507	4.8221	4.8262	4.7953	4.763	4.5891
10236_at	8.9477	8.9815	9.0249	8.783	8.952	9.125	9.4367	8.9106	9.2047
10237_at	8.7101	8.7836	8.6414	11.7301	7.7954	8.2891	8.6733	10.2337	8.1411
10238_at	6.2489	6.7876	6.8939	6.33	7.4039	6.1235	6.1876	6.4926	6.442
10240_at	6.6147	6.1209	6.4943	5.8515	5.975	6.1524	6.1862	6.0538	5.9091
10241_at	9.2507	9.7544	9.514	10.7702	8.5376	8.8572	9.1737	8.7589	8.8581
10242_at	5.8904	6.5917	6.2245	6.4996	6.3617	6.1252	6.1248	6.3794	6.4847
10243_at	5.2377	5.5128	6.14	5.2274	5.1445	5.2822	6.961	5.0936	5.2325
