Probes	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
219333_at	7.2108	7.6378	7.4281	7.6086	7.1601	6.8344	6.7688	6.6255	7.2342
2193_at	7.2833	7.2509	7.9903	7.1683	7.2675	6.5622	6.9688	7.1471	6.9642
2194_at	4.1248	4.5841	4.566	4.3355	4.314	4.0661	4.2899	4.3314	4.2572
2195_at	7.1153	7.4874	8.6582	8.755	9.8119	7.9688	8.5127	8.4104	7.0657
219654_at	8.5529	7.4306	6.4297	7.1351	6.8919	9.2148	7.3454	8.125	7.5692
219699_at	7.4642	7.5381	7.3889	7.3482	7.7253	7.4849	7.1521	7.5384	7.9176
2196_at	5.0415	5.3961	5.0845	5.0683	5.0634	5.1461	5.1768	5.3805	4.7846
2197_at	11.964	11.8082	12.1642	12.127	12.0406	11.9109	12.3097	12.0472	11.6285
2199_at	7.8998	6.9825	5.4353	7.4481	6.786	8.4286	7.0674	7.4783	8.0107
219_at	5.7299	5.9623	5.7882	5.8454	5.3721	5.6172	5.6454	5.6477	5.5524
21_at	7.391	7.5928	8.8429	6.9936	6.7094	7.1845	6.9193	7.7524	6.3789
2200_at	9.1852	7.3484	5.5679	7.8772	6.5282	9.0987	7.1736	8.1212	9.4126
220134_at	3.8366	3.8167	3.6004	3.9373	4.2152	3.7703	3.8167	3.7875	3.8171
2201_at	4.8179	4.834	4.4182	6.4874	4.602	4.9726	4.3866	5.1705	4.5083
2202_at	7.115	6.0425	7.5596	7.045	5.8367	8.6473	7.4182	7.0638	6.6458
2203_at	9.0724	7.9521	9.7281	9.6191	10.2881	8.7722	9.5343	8.6552	8.8942
2204_at	3.8832	4.2191	4.0541	4.0172	4.0325	3.8768	3.8901	4.0202	4.0319
2205_at	5.1303	4.0132	4.085	4.4145	4.0841	6.725	5.3324	5.7999	3.9479
2206_at	4.605	4.6981	4.276	4.4551	4.6688	5.0117	4.5092	4.9579	4.4563
2207_at	8.8609	7.6352	9.4793	9.1174	10.5096	9.1556	6.8469	8.478	9.0787
2208_at	4.4034	4.7929	4.6042	4.8444	4.7727	4.4656	4.4485	4.6144	4.3312
220988_at	8.2082	7.9765	8.2762	7.8046	8.1464	8.2472	8.5501	8.2022	8.081
220_at	7.0192	6.6241	5.6205	7.5013	6.6845	8.2558	6.14	7.0012	6.3722
221037_at	6.9067	5.6898	6.8787	6.4743	6.1348	7.108	9.1251	6.57	6.6538
221061_at	6.5917	6.4828	5.8385	6.8284	7.4758	6.8864	6.393	6.8811	6.4353
221092_at	7.1017	7.307	7.6603	7.3284	7.6392	7.5586	7.5466	7.7934	7.1307
221154_at	8.8384	8.1584	8.4746	7.6148	6.6218	8.9572	9.3244	8.2495	8.5835
221395_at	6.3389	6.1248	6.3374	6.4375	6.99	7.1184	6.7631	6.2652	6.7111
2213_at	6.4463	5.5406	5.2762	6.4646	7.0666	6.8998	5.7587	6.1773	5.6496
221443_at	8.2861	7.8539	8.1885	7.5223	8.0588	7.6795	8.3938	7.2257	7.6763
2215_at	5.6948	6.2309	6.1006	6.8498	5.6307	6.2274	5.1926	5.41	5.931
221692_at	4.9537	5.2141	4.9367	5.3492	5.2574	5.077	5.041	5.2088	4.9513
221749_at	7.2006	6.8618	6.564	8.0757	7.0204	7.825	7.9976	7.1219	7.2997
2217_at	8.8129	7.7923	10.068	8.9148	8.3554	9.056	8.5852	9.0334	8.6579
221823_at	4.1983	4.6661	4.3326	4.3704	4.4332	4.3845	4.2249	4.473	4.2817
221830_at	3.9021	4.0037	4.0163	3.9038	3.9617	3.8981	3.861	3.8899	3.9854
2218_at	5.7683	5.6653	5.2548	5.0767	5.1236	5.6717	5.6065	5.2935	5.6483
221981_at	3.8702	4.0195	3.9151	4.0771	4.103	4.1082	4.0575	4.1136	3.8899
2219_at	4.8912	5.284	5.0885	5.6452	5.5526	5.3258	5.0202	5.1728	4.8253
221_at	6.0858	6.3472	6.1881	6.5171	6.7496	6.1518	5.9674	6.2913	5.9771
2220_at	3.9566	4.1755	4.1833	3.909	4.1254	4.0827	3.9603	3.9551	4.0449
222161_at	7.4721	7.8315	7.5772	7.8061	8.5807	8.1333	8.6675	8.0562	7.4295
222255_at	3.9225	4.2429	4.2252	4.2277	4.0893	4.1479	4.0744	4.0741	4.118
2222_at	9.6858	8.572	10.3609	10.3094	8.9457	9.3584	10.1973	8.6222	10.2452
222487_at	5.7063	6.2173	6.0184	6.3208	6.1782	5.7982	5.9618	5.9088	5.4214
2224_at	7.9646	9.0895	8.0573	7.8054	8.0309	7.795	7.8101	7.4979	8.1885
222642_at	5.3668	5.6686	5.6178	5.6479	5.5431	5.3834	5.3644	5.8454	5.6033
222658_at	6.2906	6.9171	6.388	6.4459	6.5566	6.5173	6.3138	6.7854	6.6981
222_at	6.0387	5.9814	5.3264	7.3756	5.7858	6.0914	6.2758	5.6255	6.7968
2230_at	7.5687	6.5276	7.1523	7.2649	7.2132	7.6138	7.266	6.9582	7.7969
223117_at	3.8395	4.0088	4.0353	4.235	3.8725	3.936	3.9222	4.0991	3.7901
2232_at	6.121	7.4273	5.9763	5.3564	6.0999	5.3081	5.2964	5.6856	5.4022
2235_at	6.4656	6.5858	6.8781	6.177	6.394	6.6945	6.7765	6.6318	6.5361
2237_at	6.5665	6.723	6.5642	6.966	7.1032	6.1721	6.4162	6.3733	6.6227
2239_at	6.2893	5.8415	5.3062	5.5135	4.8641	6.6884	5.4041	5.4466	6.0646
223_at	10.6065	10.0172	10.0355	9.0922	10.6376	10.2628	11.0531	9.5884	10.6502
2241_at	5.7403	5.9437	5.56	5.6596	5.8949	5.9336	5.7952	6.1238	5.6136
2242_at	5.4656	5.356	5.3221	5.7971	5.6048	5.4903	5.4613	5.6286	5.957
2243_at	4.2268	4.5718	4.1603	4.2989	4.4336	4.0763	4.1247	4.3624	4.1906
2244_at	4.5538	4.6904	4.3974	4.7086	4.5706	4.4466	4.2851	5.1043	4.2638
2245_at	6.4091	6.8726	6.22	6.5759	6.8964	6.159	6.1681	6.528	6.5631
2246_at	5.8249	6.3857	5.538	6.0537	5.7737	6.3196	5.7588	6.2678	5.91
2247_at	4.099	4.194	4.0386	4.2153	4.3122	4.6467	4.2125	4.3212	4.1238
2248_at	4.156	4.2393	4.4386	4.6011	4.3702	4.0884	4.3107	4.2957	4.1298
224_at	8.6333	7.772	8.7704	7.4254	7.5689	8.0242	7.4857	8.0142	8.6026
2250_at	4.3435	4.7217	4.4358	4.5747	4.4541	4.461	4.4063	4.6722	4.5784
2251_at	6.2748	6.5402	6.5015	6.8371	6.7916	6.4598	6.507	6.5883	6.6156
2252_at	4.105	4.2354	4.0701	4.5039	4.0654	4.4081	4.0581	4.524	4.2899
2253_at	3.9202	3.9964	3.9929	4.0834	4.0968	3.9313	4.0574	3.7587	3.8659
2254_at	4.9057	5.4592	5.0833	5.066	5.1417	5.1498	4.8136	5.1948	4.8788
2257_at	3.8268	4.0281	4.1144	3.9992	4.0089	3.8733	3.9479	4.0592	4.5296
