Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
9349_at	12.61888	12.4932	12.70462	12.34147	13.13575	12.75167	12.88117	12.95842	12.4945
9350_at	5.50878	6.1866	5.54502	5.73828	5.94135	5.68668	5.62438	5.86453	5.7145
9351_at	4.33968	4.5468	4.43142	4.53968	4.54225	4.42958	4.37798	4.93742	4.3501
9352_at	9.68628	9.9646	10.25752	8.98228	9.48745	9.87938	10.31208	10.07592	10.0953
9353_at	7.33618	7.3098	6.59192	7.18728	7.13005	7.62768	6.51998	7.29572	6.9991
9354_at	8.66358	7.8876	7.96402	8.27238	8.20375	8.20287	8.71428	8.29202	8.354
9355_at	4.10398	4.5859	4.21402	4.31558	4.39185	4.20058	4.08048	4.40003	4.2617
9356_at	4.70078	5.1831	5.03342	5.18098	5.22435	5.00638	4.92778	5.44493	4.9453
9358_at	8.02298	6.3508	5.47992	5.79608	6.04645	8.22928	6.03138	6.66582	6.4859
93594_at	5.01348	5.6232	4.11652	5.12478	6.62805	4.63848	4.23488	4.36242	4.4799
9360_at	7.20748	7.0473	7.25622	6.85797	7.14215	6.93358	6.99218	6.18752	7.4397
9361_at	8.11958	8.2473	8.37352	8.36098	8.55965	7.98308	8.20198	8.38912	7.7456
9362_at	5.21958	6.0204	5.50812	5.65438	5.57425	5.06918	5.24158	5.63102	5.199
9363_at	4.27308	4.7924	4.30042	4.77238	4.57975	4.33108	4.20698	4.68623	4.6088
93643_at	6.97938	7.3186	7.21732	7.26148	7.49795	7.20238	7.23238	7.33842	7.1585
9364_at	4.92588	4.8425	4.79772	4.75018	4.87435	4.99258	5.08968	5.05592	5.1789
9365_at	3.63088	3.6335	3.58692	3.68408	3.66925	3.57188	3.59228	3.86242	3.6617
93664_at	8.08358	8.098	6.26832	8.54147	8.22135	8.12628	7.56788	7.97813	7.9386
9366_at	3.42128	3.6185	3.52742	3.60928	3.53595	3.47758	3.36458	3.53962	3.5346
9367_at	8.19528	7.2976	8.38202	8.69338	7.68055	8.34798	7.96468	8.68523	7.8989
9368_at	9.69648	9.4779	9.81722	10.02978	9.76725	8.55858	9.85028	10.24512	7.7416
9369_at	4.14578	4.5516	5.07682	4.50718	4.40445	4.28968	4.20948	4.39813	4.3565
9370_at	8.15628	4.8076	5.07782	4.67507	5.41205	7.20118	8.62398	7.99212	6.8366
9371_at	8.50108	7.421	7.85222	7.40548	8.13955	7.85828	8.06738	7.75852	7.4034
9372_at	4.60978	5.1725	4.95312	5.02757	5.02595	4.95058	4.70688	5.41823	5.0308
9373_at	4.92278	5.007	5.19602	4.73288	5.06665	4.96248	4.98678	5.13243	5.2379
9374_at	7.39988	8.093	8.03442	7.71087	8.13945	7.77378	7.63528	8.10642	7.8442
9375_at	10.13858	8.7259	10.69142	10.29658	9.52125	10.29838	10.73818	10.19882	10.1279
9376_at	5.12928	5.2549	5.33782	5.54118	5.46385	4.96378	5.23168	5.75122	5.1954
9377_at	9.10968	9.3344	9.72392	8.62268	8.65695	9.41637	9.38218	9.47002	9.6837
9378_at	4.23658	4.9449	4.41392	4.48258	4.64155	4.56488	4.35458	4.65882	4.4773
9379_at	4.60918	4.981	4.73502	4.68908	4.94055	4.89318	4.78068	5.06472	4.7298
9380_at	8.79198	9.376	9.09062	8.44517	8.50425	8.99838	9.12628	9.02712	8.8262
9381_at	4.90628	5.4121	5.06142	5.35158	5.28435	5.13058	5.04578	5.45563	5.0786
9388_at	4.17618	4.5078	3.98222	5.22088	4.33345	4.28008	4.00088	4.86652	4.1615
9389_at	7.32398	7.7073	7.48602	8.16238	7.56445	7.73258	7.21328	7.89892	7.3997
9390_at	5.46418	6.3923	5.74952	6.02688	5.98495	5.64088	5.37318	6.04992	5.7683
9391_at	6.82718	7.2264	6.85092	6.81658	7.37255	6.81238	6.71388	6.76872	6.7879
9392_at	5.75098	6.0231	6.37822	6.51418	5.82455	5.46918	5.64928	5.96142	6.2409
93973_at	4.95288	5.3655	5.10512	4.96697	5.28945	4.72538	4.73748	5.05652	5.1739
93974_at	8.28408	8.8337	9.44182	7.84308	8.53185	8.59007	8.60588	8.64142	8.771
9397_at	4.78328	4.9202	4.52172	4.55788	4.85145	4.88878	4.72708	4.75982	4.4999
9398_at	5.29818	6.0836	5.37322	5.69288	5.98555	5.55208	5.21048	5.79512	5.6962
9399_at	6.86828	7.1398	6.73172	6.95327	6.69605	6.89448	6.47628	6.87642	6.961
939_at	6.25978	6.8153	5.88422	7.55278	7.77865	5.83318	5.78298	6.39822	6.3691
93_at	5.99558	6.6555	6.33152	6.46188	6.42635	5.98358	6.00118	6.33622	6.2999
9400_at	5.31678	5.5088	5.36882	5.60468	5.50885	5.17388	5.21768	5.39013	5.2902
9401_at	5.73108	7.0482	6.27092	6.71068	6.76795	6.30838	6.09958	6.41772	5.7509
94025_at	6.02288	5.8933	5.46292	5.87988	5.70255	5.21128	4.87288	5.88053	5.0016
94026_at	5.60398	6.3764	5.70332	5.75418	5.89405	5.50388	5.62158	6.05232	5.7633
9402_at	5.22008	5.7311	5.59562	5.59588	5.90625	5.24768	5.23248	5.36702	5.2767
9403_at	8.15638	7.2111	8.52132	7.85728	7.03445	8.56257	8.46807	8.87842	8.5366
9404_at	7.46978	7.4693	7.07682	8.20808	9.07685	7.52698	6.86618	7.58983	7.6093
9407_at	5.86188	6.6006	6.04432	6.20378	6.23405	6.13678	5.93008	6.67082	6.4001
94081_at	6.35678	7.4775	9.23422	6.89808	7.29235	6.94638	7.27218	7.71002	7.0949
9409_at	6.84088	6.9724	6.86152	7.21518	6.69835	6.54908	6.57448	6.84452	6.9561
940_at	4.20018	4.5426	4.44872	4.56528	4.56045	4.37198	4.08868	4.56552	4.367
94104_at	6.16788	6.9205	5.89862	6.00558	6.52325	6.11068	6.28828	6.34173	5.954
9410_at	6.93638	7.4825	7.49902	7.26508	7.23015	7.18178	7.24638	7.20402	7.198
9411_at	8.62398	7.0779	8.26432	8.17208	5.65575	9.15478	9.23068	8.57222	7.6479
9412_at	7.42258	6.8267	6.62182	5.90598	5.69755	7.33248	7.70928	7.13372	7.3891
94134_at	6.51018	6.3741	5.92942	6.08638	5.45535	6.30068	6.63668	6.35072	6.9448
9413_at	6.63288	6.2305	8.12582	6.13847	5.95375	6.45748	7.06298	6.55102	6.4308
9414_at	7.05798	6.0261	6.58732	7.14318	6.36595	7.14338	7.28428	6.54112	7.4091
9415_at	7.46838	8.2725	8.68572	9.52708	9.21555	6.80978	8.26168	7.83792	7.9916
9416_at	7.69678	7.2399	7.48682	7.60718	8.15945	6.98518	7.56128	7.74192	7.3988
9419_at	5.59448	5.8371	5.78542	5.02218	5.18415	5.22128	5.42618	5.23212	5.7919
941_at	4.56708	5.1178	4.57262	5.03548	4.96655	4.77818	4.39278	4.89003	4.7368
9420_at	4.07328	4.5471	4.04622	5.61238	4.40625	4.12208	4.01298	4.39072	4.24
9421_at	5.50908	6.0522	5.72952	5.85388	5.48405	5.70468	5.47228	5.87952	5.5597
9422_at	6.42498	7.1444	6.94302	6.56658	6.50355	6.86908	6.55468	6.73482	7.2281
94239_at	7.39768	6.6815	7.59162	7.46798	6.93945	7.90918	8.16627	7.97902	7.7458
9423_at	4.32738	4.5857	4.59952	4.28458	4.55295	4.21088	4.29218	4.39362	4.2684
9425_at	6.53518	6.5964	6.86432	6.98558	6.65105	6.40828	6.41498	6.50363	6.968
9427_at	5.51208	6.4653	5.88912	6.01488	6.54795	5.76148	5.74528	6.13023	5.6862
9429_at	5.31288	5.9959	5.70312	5.13548	4.96925	5.30558	4.94408	5.59402	5.5593
942_at	5.28398	5.4726	5.62542	5.47598	5.82865	5.18968	4.82318	5.35372	5.5992
9435_at	4.79048	4.8754	4.39822	5.21818	4.96965	4.90498	4.79598	4.86683	4.7831
9436_at	6.82298	7.6948	6.93622	7.04098	7.06005	7.00288	6.69948	7.13112	7.0186
9437_at	5.39098	6.0624	5.49682	5.85358	5.62295	5.29868	5.38568	5.58352	5.6667
9439_at	7.45578	7.0618	7.27412	6.87088	7.29385	7.21528	7.73428	7.13692	7.4712
943_at	5.88328	6.4156	5.68372	6.05908	5.98245	6.07548	5.75608	5.85952	5.7272
9440_at	6.79078	6.2397	6.73952	6.42498	6.47415	6.78988	7.00058	6.78042	6.7847
9442_at	6.05968	6.6077	6.16572	6.39668	6.32365	6.00768	6.03768	6.11193	6.1807
9443_at	7.54198	6.8419	6.45462	6.29048	6.31545	6.61678	6.49698	6.72182	6.8954
9444_at	6.45818	6.2199	6.08302	6.35758	6.33185	6.63088	5.87478	6.27012	6.607
9445_at	11.01088	10.4284	10.96482	10.64637	10.27945	11.31508	10.81117	10.85512	11.3448
9446_at	10.22518	10.6644	10.24992	9.79078	10.14565	10.10258	9.45597	9.85782	9.9416
9447_at	5.97458	6.7032	6.57682	6.84988	6.93925	5.97538	5.73488	6.38642	6.0833
9448_at	6.60588	7.072	5.53132	6.41178	5.82125	6.75298	5.90018	6.33823	6.3866
944_at	5.77778	6.4046	6.10502	6.13058	6.04255	6.11768	5.80678	6.65202	6.0614
