Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
835_at	5.19139	5.52558	5.16593	5.34582	5.16058	5.1464	5.09667	5.23546	5.407
83604_at	6.94243	6.31242	5.72073	5.99669	5.88478	7.06328	6.30725	6.21363	6.39497
8360_at	4.58656	4.26463	4.53629	4.46292	4.58656	4.33487	4.58929	4.88325	4.5285
8361_at	3.83078	4.3781	4.3345	4.45176	3.7661	3.6976	3.85441	3.9716	4.06569
83637_at	7.66012	8.40923	7.63964	8.27778	8.49665	7.83865	8.13754	8.53061	7.82813
83638_at	7.99759	8.22968	8.02873	8.46557	8.1053	8.15262	7.92866	8.36941	7.88133
8364_at	9.53016	9.22418	8.62787	9.2288	9.4471	7.89211	7.38105	8.74202	9.76041
83658_at	10.30001	9.82321	10.30188	9.47119	10.16965	9.79656	9.61173	9.86027	10.01882
8365_at	4.17245	4.20214	6.03472	7.16564	4.36492	4.05228	4.06283	4.8972	4.33531
83660_at	6.58614	6.77584	6.34583	6.56475	6.56062	6.79464	6.79389	6.94116	6.28872
8366_at	3.96895	4.04483	4.06247	4.2502	4.00484	3.79542	3.97456	3.9556	3.91534
8367_at	4.67188	4.69602	5.17831	5.87639	5.20567	5.06368	5.10756	5.0429	4.90075
8368_at	3.83381	3.78975	3.96654	3.92203	3.88775	3.8163	3.79409	3.67144	3.79593
83696_at	6.96676	7.67339	7.16958	7.0907	7.94245	6.94992	6.93444	6.93215	7.07865
8369_at	4.2799	4.4042	4.42039	4.31135	4.2282	4.16766	4.43649	4.23696	4.21689
836_at	6.49775	7.5747	6.56422	6.90873	6.98239	6.78889	6.94546	6.89005	6.61976
83700_at	7.96189	8.31733	7.11134	7.19367	7.14208	8.67005	7.25363	8.51457	7.53625
83714_at	5.02844	5.20232	4.80872	4.98306	4.97905	5.3054	4.9666	5.06636	4.94526
83716_at	8.52336	7.80231	6.05044	8.24583	6.846	9.87933	6.96016	8.44291	8.04065
83729_at	3.58404	3.70384	3.80423	3.63391	3.62681	3.60905	3.61364	3.67384	3.59379
8372_at	4.96789	5.17237	5.46536	4.58575	5.01243	4.83251	4.87109	4.9284	4.76887
83737_at	5.80085	6.07909	5.86978	5.98248	5.88894	5.75976	5.76575	5.81846	6.12961
83743_at	7.23485	7.98987	7.59882	7.62931	8.35524	7.62832	7.56101	7.53168	7.13752
83744_at	5.33026	5.49182	5.33453	5.18021	5.18191	5.3064	5.39574	5.45009	5.34827
83759_at	7.88166	8.20095	7.3799	7.24645	8.64384	7.71894	7.25917	8.05609	7.87005
83786_at	6.69579	7.42649	6.79079	6.87513	6.40948	6.33797	6.64553	7.00858	7.22337
8379_at	5.1464	4.29735	6.09909	5.5879	5.52444	5.07228	5.81054	5.13837	5.05621
837_at	6.54428	5.99548	6.07154	6.89706	6.3766	7.13076	6.72019	6.33502	5.89109
8382_at	8.53409	5.33026	7.36057	5.85915	5.57153	7.10624	8.00826	6.52295	6.97115
8383_at	4.73504	5.05082	4.38886	4.75045	4.8839	4.67766	4.64612	4.84532	4.8558
838_at	5.74386	5.98687	5.68644	6.15191	5.93431	5.71944	5.85731	5.72671	5.82889
8390_at	5.871	6.44205	6.00268	5.92855	5.90599	5.92622	5.8261	6.09384	6.05094
8392_at	6.08823	6.97302	6.35095	6.28813	6.43885	6.25189	6.38607	6.45775	6.26277
83937_at	5.89587	5.60174	5.81447	5.94644	7.1617	5.62372	5.62744	5.85421	5.92288
83941_at	7.5437	7.53168	7.62344	6.62295	6.15215	7.80078	7.532	7.39525	7.68258
83942_at	4.16148	4.29646	4.44539	4.54259	4.44824	4.09884	4.24093	4.43708	4.06004
8394_at	6.70054	7.21673	6.527	6.93444	6.94275	6.95629	6.85068	7.17075	7.13028
83955_at	11.67799	11.976	11.251	11.27781	11.21696	11.6967	11.93035	11.46031	11.15691
