Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
8809_at	4.14684	3.98829	3.72365	3.94927	4.19604	4.08224	3.96615	3.85897	3.7687
8811_at	4.24406	4.16205	4.50113	4.53595	4.32594	4.17404	4.28901	4.42321	4.22144
8812_at	5.17688	5.57002	5.45171	5.29456	5.30316	5.17874	5.06016	5.23648	5.36331
8813_at	9.63877	9.39989	8.78007	8.25741	7.901	9.04641	8.63663	8.61045	8.8392
8814_at	4.02697	4.056	4.1432	4.10309	4.30131	4.06544	3.94349	4.23021	4.22841
8815_at	9.78356	8.88219	9.20573	10.19112	11.20426	9.21922	9.73514	9.52342	9.74352
8817_at	5.64921	5.5387	5.55829	5.329	5.37902	5.73751	5.35505	5.62034	5.39089
8818_at	6.90659	6.74188	6.91407	7.03349	6.60066	6.21583	6.83572	6.44497	7.24434
8819_at	5.70033	5.94962	5.92805	6.21027	6.00513	5.55404	6.07132	5.83154	7.16757
881_at	5.90279	6.38761	6.34517	6.00352	6.2968	6.04164	6.13527	6.19256	5.88995
8820_at	4.87505	4.8078	5.27437	4.8843	5.03503	4.84531	5.06486	4.95229	4.90211
8821_at	5.73241	5.49508	4.90899	6.19072	4.60344	6.58609	4.75819	5.54167	6.8651
8822_at	4.86126	5.36312	5.18375	4.90524	5.07523	4.88948	4.98398	4.70694	4.94343
8823_at	5.06085	4.97512	5.36478	4.72832	5.11555	5.04373	5.091	5.35132	5.12478
8824_at	7.49331	8.77606	7.68118	7.7617	7.66649	7.5186	7.18962	7.66681	7.27374
8825_at	4.88974	5.06016	5.40622	4.87505	4.81454	4.94928	4.87602	5.05402	4.89047
8826_at	7.98938	7.52794	7.93984	8.99421	8.37721	8.61687	7.87863	8.25372	8.88761
8828_at	4.67779	4.69425	4.78786	4.74413	4.79759	4.93734	4.75165	4.79792	4.76442
8829_at	5.51068	4.76498	5.21203	5.41111	5.3488	6.34922	5.63889	5.39607	5.87118
8832_at	5.94551	6.02142	5.90451	5.87277	6.59042	5.91454	5.65254	5.90953	6.06985
8834_at	7.51752	7.67382	7.77171	7.35145	7.20384	7.53506	6.98974	7.49394	7.54805
8835_at	5.75974	5.56544	5.85808	5.46998	5.33767	6.64339	6.98233	6.02038	5.54818
8836_at	6.2956	6.93143	5.68179	6.62708	6.47745	7.48307	5.77934	6.39479	5.82064
8837_at	6.88658	7.10412	7.15181	7.82004	8.08472	6.96376	6.70255	6.96661	7.12928
8838_at	4.21255	4.54643	4.13973	4.07407	4.26012	4.24293	4.19407	4.32508	4.31718
8839_at	7.3609	6.27991	6.26141	6.40499	5.93509	7.54082	6.23032	7.03957	7.05087
883_at	6.6389	7.03745	6.9021	6.68219	6.75103	6.86942	6.68384	6.89623	6.69132
8840_at	5.62174	5.55383	5.45963	5.51804	5.43821	5.59873	5.5089	5.80929	5.65179
8841_at	8.65729	8.04461	8.18727	8.37994	8.30848	8.2616	8.49099	8.1273	8.04268
8842_at	6.59523	4.73502	4.68573	9.15604	6.17917	7.66917	6.92758	6.01889	4.53694
8844_at	4.71767	5.02064	4.84092	4.94221	4.87296	4.80626	4.72381	4.86424	4.80942
8846_at	7.69113	7.94598	7.65281	7.68727	7.1602	7.6334	7.52947	7.24059	8.21003
8848_at	9.90129	10.24634	9.93208	10.33739	8.73018	10.12039	9.41502	10.01546	9.94706
8850_at	6.05218	5.48064	6.18707	5.40269	5.38441	5.48774	5.1628	5.226	5.86092
8851_at	4.15278	4.39336	4.18755	4.32255	4.31255	4.06334	4.22542	4.18234	4.13903
8852_at	4.36376	4.54515	4.55905	4.70793	4.52343	4.49861	4.33409	4.58147	4.38947
8853_at	7.0263	6.66664	7.0672	6.91295	4.70644	6.87253	7.02568	6.82523	7.89949
8854_at	5.43645	5.69656	5.4268	5.51952	5.55404	5.53885	5.44983	5.63249	5.36925
8856_at	5.6292	6.14302	6.01833	6.11378	6.07041	5.74955	5.79247	5.88574	5.85144
8857_at	7.61606	6.77488	9.95695	6.75467	6.38738	7.29477	6.31455	6.78574	9.74016
8858_at	6.01098	6.46189	6.54868	6.25189	6.06313	6.02681	6.13527	6.30679	6.29045
8859_at	7.33465	8.00264	7.92367	7.73967	7.29275	7.61767	7.32694	8.20555	7.7914
885_at	4.56723	4.44594	4.53474	4.62826	4.3304	4.63906	4.4257	4.45957	4.48002
8861_at	7.74208	7.98243	7.97232	8.04015	7.9003	7.68963	7.56022	7.92206	7.87436
8863_at	6.82286	7.03894	7.24059	6.46257	6.63222	8.1831	6.91092	7.47494	7.81771
8864_at	5.92671	6.31564	6.80546	5.98987	5.87619	6.01863	6.05156	5.88995	6.1521
8867_at	4.45538	4.74033	4.38099	4.47034	4.38081	4.41766	4.39756	4.30058	4.595
8869_at	7.30679	8.88674	7.50078	7.70163	7.57655	7.22137	6.52388	7.51649	7.05451
886_at	5.18457	5.23014	5.43098	5.28496	5.00622	5.14481	5.1271	4.92486	4.90026
8870_at	9.66996	11.19814	11.90737	9.525	10.29144	10.49466	10.92369	10.62649	10.1458
8871_at	6.27892	6.28506	6.7957	6.16099	6.29103	6.28148	6.22023	6.48498	6.95569
8872_at	8.30286	8.21919	8.67826	8.63702	8.47804	8.77917	8.89933	8.56908	8.33178
8874_at	6.8998	7.05719	6.74347	6.68539	6.99572	7.03397	7.1251	6.85394	6.75003
8875_at	5.40622	5.7697	5.20769	6.17253	6.45306	5.09435	5.1658	5.39577	5.4175
8876_at	3.90084	3.83242	3.92516	3.9595	4.98742	3.846	3.91006	3.72256	3.89367
8877_at	7.60655	7.71418	6.43195	7.71784	7.49324	7.61915	6.75569	7.59798	7.7928
8878_at	7.46532	7.46402	8.43121	7.42203	7.34806	7.58627	7.5743	7.6274	7.70771
8879_at	6.81288	6.86097	6.60077	6.62335	6.55555	6.7979	7.21376	6.96141	6.83776
887_at	4.54183	4.93081	4.68338	4.73982	4.60953	4.55303	4.55221	4.64956	4.77728
8880_at	7.80178	8.1069	8.08309	8.28568	8.42907	7.90324	8.34996	8.00897	8.3999
8881_at	8.69835	8.59641	8.75776	7.49849	8.62154	8.80597	9.00826	8.7202	8.36732
8882_at	7.16849	7.25295	6.75565	7.28859	7.12183	7.04435	6.90521	7.09433	6.63025
8883_at	9.10255	8.56848	9.02777	8.46786	8.56386	8.48805	8.62836	8.38031	8.07084
8884_at	7.69619	8.35689	7.32938	9.28117	8.69113	7.87651	9.01624	8.59441	7.59214
8886_at	7.98379	7.79922	7.64407	7.84016	8.29358	7.88922	8.11509	7.94092	7.93164
8887_at	9.07389	8.9392	9.09371	9.30988	8.44543	8.9096	9.1105	9.03889	8.9319
8888_at	6.98974	6.96254	7.01859	6.84698	6.9383	6.83739	6.95302	6.90179	6.84452
8890_at	8.51342	8.97953	9.10396	8.75195	8.61161	8.47001	9.03093	8.59543	8.61325
8891_at	8.05598	7.92612	8.25335	8.35949	7.89524	8.13924	8.13443	8.14173	8.09321
8892_at	7.28839	7.00848	7.13143	6.9446	6.26838	7.11628	7.07866	6.69906	7.02834
8893_at	7.79992	8.88124	7.92612	8.30098	7.89652	7.89486	8.06199	8.24004	7.79524
8894_at	6.87672	7.09585	6.98649	6.9631	6.35706	6.64165	6.69099	7.0197	6.59718
8895_at	8.69997	7.71784	8.57526	8.47778	9.35294	8.47886	8.47067	7.96111	8.53262
8896_at	8.43874	8.39208	8.00396	8.65841	8.14894	8.53522	8.79801	8.191	7.73604
8897_at	5.69418	5.92854	6.08822	6.32422	6.12983	5.75365	6.22229	5.72155	5.78746
8898_at	6.43195	5.77359	5.89687	5.67026	5.91106	6.04641	5.86952	5.93051	5.97655
8899_at	6.54203	5.91611	6.25002	6.19595	6.31098	6.62169	7.11299	6.1348	7.07223
889_at	5.60144	4.79389	5.02651	4.72899	4.79912	5.49129	5.5683	4.70377	5.47237
88_at	4.637	4.97417	4.7259	4.66597	4.96275	4.6711	4.65663	4.77948	4.70755
8900_at	4.48623	5.32345	4.50315	4.82847	4.62536	4.46558	4.44504	4.5979	4.4115
8904_at	8.59905	6.7161	7.74577	8.10535	8.40514	7.91763	8.20038	8.11056	7.88542
8905_at	6.43591	6.42261	6.06745	6.31985	6.74938	6.65365	6.12644	5.67871	6.97511
8906_at	7.90195	7.48002	7.53141	7.65002	7.75924	7.74916	8.19264	7.80404	7.93228
8908_at	5.62112	5.8417	5.09861	5.79728	5.29104	5.43713	6.06126	5.64114	5.18137
8909_at	4.71674	4.93621	4.70472	4.54589	4.9509	4.73797	4.67187	4.74712	4.71321
890_at	5.22016	6.09194	5.18661	5.68058	6.84492	5.31239	5.39975	5.62621	6.01163
8910_at	9.80903	4.96481	4.80487	7.42736	4.96981	8.60954	7.04639	7.58507	6.84839
8911_at	5.93923	6.04048	6.09153	5.95995	5.64704	5.92287	5.98803	5.94673	6.08812
8912_at	7.10754	6.92494	6.79637	6.96842	6.4895	6.71352	6.42579	7.02023	6.77883
8913_at	4.68666	4.63393	4.71767	4.69002	4.69601	4.68666	4.72652	4.74444	4.61722
8914_at	6.11601	6.73258	5.84954	6.31127	7.0015	5.97981	6.0745	6.17718	6.05898
8915_at	6.78462	7.09851	6.36844	5.85378	6.07894	6.89059	6.96223	6.37603	6.98982
8916_at	5.00396	5.04373	4.92009	5.01329	4.91085	5.1497	4.88319	5.19726	5.20131
891_at	6.63977	6.68483	5.4142	6.3952	7.14273	5.92467	6.30851	6.04194	6.75947
8924_at	6.37255	6.40878	7.26944	5.77388	6.47873	6.85621	7.29879	6.86298	6.44906
8925_at	7.1588	9.21277	7.76687	7.15284	7.44369	7.24834	7.35864	7.39464	7.09673
8927_at	4.93022	5.26577	4.6041	4.81989	4.99338	4.73707	4.89979	5.00723	4.65192
8928_at	5.34143	5.28759	5.8708	5.19926	5.78258	5.39607	5.749	5.84147	5.26379
8929_at	5.23114	5.94245	5.1668	5.49636	5.22167	5.02754	5.38766	5.37522	5.43237
892_at	9.27674	8.94368	9.24884	9.32622	9.02378	9.95816	9.87588	9.30389	9.57409
8930_at	7.87651	8.03337	7.26889	6.95899	7.8541	7.36547	7.38788	6.63358	7.63036
8932_at	5.45963	5.81812	5.52656	5.54909	5.54037	5.53648	5.52057	5.5972	5.70761
8933_at	9.24621	10.00586	9.15604	10.00093	9.74016	9.64712	9.09737	9.95293	9.2522
8934_at	7.05719	6.1421	5.82264	6.13353	6.69042	6.55212	6.4453	5.96063	6.26074
8935_at	5.25214	5.03688	5.14481	5.08028	5.15834	5.54581	5.38984	5.1497	5.61038
8936_at	4.04968	4.1833	4.21209	3.97222	4.87587	4.3838	4.12868	4.47804	4.07114
8938_at	7.19213	7.56647	7.50316	6.96518	7.15012	6.98594	6.55	7.22503	6.51923
8939_at	6.06963	5.66868	5.99926	5.09831	5.55461	5.73673	6.00248	4.72899	5.7697
8940_at	4.21761	4.12037	4.48554	4.4115	4.36181	4.22731	4.35619	4.22157	4.28564
8941_at	4.16205	4.32715	4.30034	4.22687	4.62826	4.14765	4.22171	4.28393	4.19805
8942_at	5.19237	5.0865	5.13628	7.61729	6.25122	5.28856	5.21728	6.184	5.17674
8943_at	7.25283	7.0214	7.75627	7.83514	7.05245	6.7704	7.17122	7.07276	7.1752
8945_at	6.24643	6.57602	6.33198	6.31929	6.01988	6.07962	6.40475	6.38594	6.34629
894_at	5.87611	5.60593	5.37902	5.95202	6.19975	5.86193	5.26016	5.97516	5.58858
8968_at	4.03549	3.85826	4.03944	4.15381	3.95699	3.88755	4.01137	4.0791	3.95183
896_at	8.13103	8.22577	8.45364	8.44514	8.70652	8.20954	7.68614	8.42608	8.38443
8971_at	8.79502	7.18612	8.27768	7.93698	9.62275	8.33762	8.4935	7.59695	8.71125
8972_at	4.84631	4.73054	4.30332	4.50581	4.14377	4.595	4.06208	4.45156	4.15838
8973_at	5.53401	5.72268	5.53648	6.04641	5.63531	5.71077	5.84829	5.66278	5.56763
8974_at	7.9756	8.15261	8.05023	7.91458	6.9176	8.10198	6.99816	8.15828	7.58717
8975_at	6.91069	6.98935	7.37085	7.36378	8.05211	6.63977	6.64213	6.9202	7.62542
